location_name,value,count,filename
上海,"[(317, 2, 3), (318, 4, 5)]",2,11_SZUH_YUNWEI
东莞,"[(105, 7, 8), (299, 7, 8)]",2,11_SZUH_YUNWEI
东门,"[(92, 1, 2), (145, 17, 18), (145, 31, 32), (302, 3, 4)]",4,11_SZUH_YUNWEI
北京,"[(84, 11, 12), (275, 8, 9)]",2,11_SZUH_YUNWEI
华强,"[(198, 5, 6)]",1,11_SZUH_YUNWEI
华强北,"[(303, 7, 8)]",1,11_SZUH_YUNWEI
南山,"[(103, 0, 1), (112, 9, 10), (118, 8, 9), (119, 12, 13), (122, 14, 15), (122, 20, 21)]",6,11_SZUH_YUNWEI
后海,"[(302, 8, 9), (303, 5, 6)]",2,11_SZUH_YUNWEI
太阳广场,"[(56, 9, 11)]",1,11_SZUH_YUNWEI
太阳百货,"[(91, 9, 11)]",1,11_SZUH_YUNWEI
宝安,"[(104, 10, 11)]",1,11_SZUH_YUNWEI
布吉,"[(47, 6, 7), (47, 11, 12), (48, 5, 6), (50, 6, 7), (63, 5, 6), (118, 4, 5), (118, 7, 8), (119, 0, 1), (182, 12, 13), (186, 12, 13), (187, 7, 8), (192, 5, 6), (221, 6, 7), (252, 9, 10)]",14,11_SZUH_YUNWEI
广州,"[(4, 12, 13)]",1,11_SZUH_YUNWEI
惠州,"[(105, 5, 6)]",1,11_SZUH_YUNWEI
松岗,"[(157, 4, 5), (157, 14, 15), (157, 26, 27), (157, 45, 46)]",4,11_SZUH_YUNWEI
梅林,"[(29, 3, 4), (29, 20, 21)]",2,11_SZUH_YUNWEI
洪湖站,"[(209, 2, 3)]",1,11_SZUH_YUNWEI
深圳,"[(1, 8, 9), (2, 4, 5), (2, 11, 12), (4, 21, 22), (8, 5, 6), (9, 8, 9), (12, 1, 2), (16, 6, 7), (32, 4, 5), (77, 2, 3), (79, 13, 14), (79, 21, 22), (82, 4, 5), (83, 4, 5), (83, 20, 21), (85, 1, 2), (86, 6, 7), (87, 15, 16), (101, 9, 10), (104, 2, 3), (123, 8, 9), (134, 4, 5), (157, 40, 41), (248, 10, 11), (248, 20, 21), (250, 10, 11), (250, 19, 20), (255, 9, 10), (255, 14, 15), (256, 9, 10), (257, 11, 12), (258, 4, 5), (276, 3, 4), (281, 5, 6), (290, 9, 10), (296, 3, 4), (297, 7, 8), (297, 12, 13), (300, 2, 3), (301, 7, 8), (319, 4, 5), (319, 9, 10), (322, 1, 2), (323, 9, 10), (323, 12, 13), (324, 4, 5), (331, 5, 6), (334, 6, 7), (338, 5, 6)]",49,11_SZUH_YUNWEI
白马服装批发市场,"[(91, 12, 16)]",1,11_SZUH_YUNWEI
福田,"[(31, 5, 6), (98, 10, 11), (107, 5, 6), (108, 0, 1), (110, 12, 13), (111, 7, 8), (112, 7, 8), (193, 2, 3), (196, 3, 4), (302, 5, 6)]",10,11_SZUH_YUNWEI
福田公园,"[(109, 9, 11)]",1,11_SZUH_YUNWEI
福田区,"[(21, 6, 7), (21, 8, 9), (24, 2, 3), (25, 5, 6), (25, 18, 19), (26, 5, 6), (97, 1, 2)]",7,11_SZUH_YUNWEI
罗湖,"[(4, 4, 5), (30, 13, 14), (31, 3, 4), (48, 3, 4), (50, 3, 4), (63, 3, 4), (109, 19, 20), (110, 0, 1), (111, 11, 12), (112, 15, 16), (182, 8, 9), (221, 4, 5)]",12,11_SZUH_YUNWEI
罗湖区,"[(19, 4, 5), (20, 5, 6), (21, 18, 19), (22, 5, 6), (23, 5, 6), (25, 13, 14), (28, 7, 8), (29, 12, 13), (97, 3, 4), (98, 6, 7)]",10,11_SZUH_YUNWEI
翠竹,"[(29, 13, 14)]",1,11_SZUH_YUNWEI
老街,"[(145, 28, 29)]",1,11_SZUH_YUNWEI
草埔,"[(252, 10, 11)]",1,11_SZUH_YUNWEI
龙华,"[(104, 8, 9)]",1,11_SZUH_YUNWEI
龙岗,"[(119, 1, 2), (120, 0, 1), (125, 7, 8), (127, 3, 4)]",4,11_SZUH_YUNWEI
