location_name,value,count,filename
上海,"[(218, 9, 10), (221, 2, 3), (222, 0, 1)]",3,12_SZUL_Roson
下沙站,"[(128, 12, 13)]",1,12_SZUL_Roson
前海,"[(54, 23, 24)]",1,12_SZUL_Roson
北京,"[(218, 11, 12), (220, 5, 6), (221, 8, 9), (225, 2, 3), (239, 4, 5)]",5,12_SZUL_Roson
北环,"[(88, 65, 66)]",1,12_SZUL_Roson
南山,"[(37, 40, 41), (54, 13, 14), (57, 8, 9), (64, 42, 43), (72, 0, 1), (90, 14, 15), (122, 17, 18), (182, 15, 16), (205, 29, 30)]",9,12_SZUL_Roson
坪山,"[(58, 7, 8), (60, 11, 12), (60, 21, 22), (61, 36, 37), (71, 10, 11), (71, 17, 18), (71, 73, 74), (75, 25, 26), (75, 87, 88), (78, 8, 9), (85, 1, 2), (90, 5, 6), (91, 5, 6), (94, 16, 17), (102, 6, 7), (104, 4, 5), (106, 1, 2), (207, 0, 1), (212, 13, 14)]",19,12_SZUL_Roson
宝安,"[(54, 15, 16), (58, 11, 12), (61, 23, 24), (75, 27, 28), (76, 0, 1), (90, 12, 13), (207, 6, 7)]",7,12_SZUL_Roson
宝安区,"[(58, 18, 19), (58, 22, 23)]",2,12_SZUL_Roson
岗厦北,"[(216, 6, 7), (216, 49, 50)]",2,12_SZUL_Roson
布吉,"[(13, 30, 31)]",1,12_SZUL_Roson
平安大厦,"[(53, 64, 66)]",1,12_SZUL_Roson
广州,"[(218, 5, 6), (221, 10, 11), (225, 1, 2), (233, 31, 32), (233, 33, 34), (234, 2, 3), (234, 28, 29)]",7,12_SZUL_Roson
惠州,"[(71, 25, 26), (79, 4, 5)]",2,12_SZUL_Roson
成都,"[(218, 7, 8), (221, 0, 1), (222, 2, 3)]",3,12_SZUL_Roson
新洲路,"[(19, 2, 3), (25, 11, 12), (25, 22, 23), (32, 11, 12)]",4,12_SZUL_Roson
横岗,"[(93, 3, 4), (94, 4, 5), (212, 11, 12)]",3,12_SZUL_Roson
泰然九路,"[(25, 49, 50)]",1,12_SZUL_Roson
深圳,"[(2, 7, 8), (2, 28, 29), (3, 8, 9), (3, 20, 21), (4, 18, 19), (4, 46, 47), (4, 79, 80), (4, 83, 84), (4, 90, 91), (12, 7, 8), (13, 4, 5), (17, 2, 3), (17, 19, 20), (40, 4, 5), (40, 17, 18), (42, 4, 5), (45, 10, 11), (46, 21, 22), (46, 38, 39), (46, 60, 61), (47, 9, 10), (49, 12, 13), (50, 11, 12), (51, 6, 7), (53, 4, 5), (53, 9, 10), (56, 4, 5), (64, 34, 35), (66, 8, 9), (69, 5, 6), (71, 20, 21), (75, 6, 7), (88, 18, 19), (88, 46, 47), (88, 84, 85), (97, 6, 7), (109, 9, 10), (163, 12, 13), (165, 6, 7), (167, 11, 12), (167, 22, 23), (169, 24, 25), (184, 6, 7), (192, 4, 5), (198, 15, 16), (203, 5, 6), (203, 12, 13), (205, 3, 4), (205, 49, 50), (208, 12, 13), (210, 7, 8), (210, 14, 15), (222, 10, 11), (231, 12, 13), (234, 0, 1), (234, 6, 7), (234, 26, 27), (234, 33, 34), (235, 5, 6), (236, 4, 5), (237, 4, 5)]",61,12_SZUL_Roson
深圳市,"[(71, 85, 86)]",1,12_SZUL_Roson
清水河,"[(14, 2, 3)]",1,12_SZUL_Roson
滨河,"[(32, 19, 20)]",1,12_SZUL_Roson
滨河大道,"[(25, 45, 47)]",1,12_SZUL_Roson
滨河路,"[(34, 13, 14), (88, 72, 73)]",2,12_SZUL_Roson
盐田,"[(241, 36, 37)]",1,12_SZUL_Roson
福田,"[(13, 18, 19), (14, 15, 16), (53, 55, 56), (53, 57, 58), (57, 6, 7), (61, 7, 8), (64, 36, 37), (66, 16, 17), (71, 87, 88), (205, 27, 28), (241, 34, 35)]",11,12_SZUL_Roson
福田区,"[(9, 5, 6), (11, 5, 6), (15, 4, 5), (16, 10, 11)]",4,12_SZUL_Roson
福荣路,"[(19, 5, 6), (25, 20, 21), (25, 42, 43), (32, 13, 14), (32, 17, 18), (34, 6, 7)]",6,12_SZUL_Roson
罗湖,"[(13, 24, 25), (13, 32, 33), (37, 38, 39), (53, 17, 18), (53, 19, 20), (53, 42, 43), (57, 4, 5), (61, 5, 6), (64, 23, 24), (64, 25, 26), (66, 13, 14), (122, 19, 20), (182, 4, 5), (205, 25, 26)]",14,12_SZUL_Roson
罗湖区,"[(14, 8, 9), (53, 30, 31)]",2,12_SZUL_Roson
车公庙,"[(211, 28, 29), (211, 31, 32)]",2,12_SZUL_Roson
龙华,"[(66, 26, 27), (207, 2, 3)]",2,12_SZUL_Roson
龙岗,"[(13, 22, 23), (82, 4, 5), (83, 3, 4), (90, 7, 8), (93, 5, 6), (94, 6, 7), (102, 8, 9), (104, 6, 7), (106, 3, 4), (178, 12, 13), (178, 18, 19), (207, 4, 5)]",12,12_SZUL_Roson
