location_name,value,count,filename
上海宾馆,"[(94, 20, 22), (94, 29, 31), (94, 32, 34)]",3,12_SZUL_张律师
东莞,"[(314, 0, 1), (315, 45, 46), (316, 38, 39), (316, 53, 54)]",4,12_SZUL_张律师
中山,"[(313, 21, 22)]",1,12_SZUL_张律师
仙湖,"[(84, 28, 29)]",1,12_SZUL_张律师
关外,"[(223, 34, 35)]",1,12_SZUL_张律师
前海,"[(118, 38, 39)]",1,12_SZUL_张律师
北京,"[(157, 28, 29), (290, 5, 6), (293, 0, 1)]",3,12_SZUL_张律师
华强,"[(72, 8, 9), (74, 4, 5)]",2,12_SZUL_张律师
华强北,"[(30, 5, 6), (68, 14, 15), (69, 2, 3), (80, 14, 15), (84, 11, 12), (94, 18, 19), (104, 34, 35), (113, 18, 19), (175, 36, 37)]",9,12_SZUL_张律师
华强北路,"[(80, 27, 29)]",1,12_SZUL_张律师
南山,"[(112, 10, 11), (113, 3, 4), (113, 5, 6), (118, 31, 32), (119, 0, 1), (128, 48, 49), (134, 2, 3), (176, 26, 27), (178, 51, 52), (225, 13, 14), (279, 32, 33)]",11,12_SZUL_张律师
南山区,"[(118, 0, 1), (137, 23, 24)]",2,12_SZUL_张律师
南澳,"[(317, 2, 3)]",1,12_SZUL_张律师
坪地,"[(147, 21, 22), (148, 26, 27)]",2,12_SZUL_张律师
坪山,"[(147, 19, 20), (148, 8, 9)]",2,12_SZUL_张律师
太宁路,"[(79, 31, 32)]",1,12_SZUL_张律师
宁静路,"[(49, 65, 66)]",1,12_SZUL_张律师
宝安,"[(107, 0, 1), (118, 36, 37), (127, 18, 19), (134, 17, 18), (279, 34, 35)]",5,12_SZUL_张律师
岗夏,"[(199, 44, 45), (199, 54, 55)]",2,12_SZUL_张律师
广州,"[(290, 9, 10), (292, 5, 6), (292, 37, 38), (297, 22, 23), (297, 25, 26), (302, 22, 23), (303, 5, 6), (316, 0, 1)]",8,12_SZUL_张律师
惠州,"[(314, 2, 3), (315, 17, 18), (315, 44, 45), (317, 12, 13), (318, 10, 11)]",5,12_SZUL_张律师
无锡,"[(290, 13, 14), (293, 13, 14)]",2,12_SZUL_张律师
梅林,"[(50, 6, 7), (50, 11, 12), (67, 2, 3), (67, 6, 7), (67, 21, 22), (68, 6, 7), (69, 6, 7), (70, 2, 3), (71, 0, 1), (72, 6, 7), (72, 14, 15), (74, 7, 8), (79, 26, 27), (80, 10, 11), (83, 24, 25), (84, 33, 34), (106, 2, 3), (168, 14, 15), (175, 13, 14), (223, 2, 3), (223, 21, 22), (224, 22, 23), (243, 29, 30)]",23,12_SZUL_张律师
梅林关,"[(131, 28, 29)]",1,12_SZUL_张律师
梅林区域,"[(114, 1, 3)]",1,12_SZUL_张律师
梅林站,"[(223, 50, 51)]",1,12_SZUL_张律师
民乐,"[(130, 6, 7)]",1,12_SZUL_张律师
深南路,"[(159, 12, 13), (246, 8, 9)]",2,12_SZUL_张律师
深圳,"[(2, 5, 6), (3, 21, 22), (4, 15, 16), (9, 5, 6), (11, 13, 14), (15, 17, 18), (20, 18, 19), (25, 41, 42), (26, 16, 17), (49, 18, 19), (52, 17, 18), (62, 7, 8), (77, 12, 13), (85, 3, 4), (85, 17, 18), (88, 11, 12), (89, 38, 39), (91, 10, 11), (93, 18, 19), (94, 8, 9), (95, 5, 6), (102, 11, 12), (108, 6, 7), (108, 10, 11), (121, 20, 21), (124, 6, 7), (150, 4, 5), (151, 9, 10), (152, 3, 4), (154, 0, 1), (157, 12, 13), (158, 9, 10), (159, 4, 5), (186, 73, 74), (194, 24, 25), (202, 12, 13), (202, 29, 30), (204, 16, 17), (207, 83, 84), (208, 15, 16), (212, 9, 10), (221, 6, 7), (230, 12, 13), (234, 6, 7), (249, 16, 17), (249, 21, 22), (251, 5, 6), (254, 10, 11), (262, 10, 11), (264, 3, 4), (266, 15, 16), (278, 9, 10), (283, 20, 21), (293, 18, 19), (295, 12, 13), (297, 3, 4), (297, 42, 43), (297, 48, 49), (299, 1, 2), (300, 7, 8), (305, 4, 5), (309, 5, 6), (309, 13, 14), (311, 11, 12), (312, 4, 5), (312, 21, 22), (313, 2, 3), (316, 28, 29)]",68,12_SZUL_张律师
清湖,"[(129, 11, 12), (139, 6, 7), (223, 40, 41)]",3,12_SZUL_张律师
白石龙,"[(130, 3, 4), (131, 21, 22)]",2,12_SZUL_张律师
百仕达,"[(49, 68, 69)]",1,12_SZUL_张律师
盐田,"[(112, 4, 5)]",1,12_SZUL_张律师
福田,"[(49, 48, 49), (51, 18, 19), (59, 0, 1), (59, 2, 3), (60, 4, 5), (61, 8, 9), (112, 8, 9), (117, 17, 18), (133, 28, 29), (279, 28, 29)]",10,12_SZUL_张律师
福田区,"[(10, 3, 4), (49, 27, 28), (137, 21, 22)]",3,12_SZUL_张律师
红山,"[(130, 0, 1), (139, 4, 5), (140, 8, 9)]",3,12_SZUL_张律师
罗湖,"[(49, 61, 62), (60, 8, 9), (79, 30, 31), (94, 27, 28), (105, 11, 12), (105, 19, 20), (112, 12, 13), (127, 16, 17), (225, 18, 19), (279, 30, 31)]",10,12_SZUL_张律师
莲塘,"[(84, 26, 27)]",1,12_SZUL_张律师
蛇口,"[(315, 6, 7), (318, 2, 3)]",2,12_SZUL_张律师
车公庙,"[(176, 13, 14), (199, 34, 35), (199, 60, 61), (199, 69, 70), (199, 82, 83), (279, 9, 10), (280, 6, 7)]",7,12_SZUL_张律师
重庆,"[(17, 8, 9), (18, 9, 10)]",2,12_SZUL_张律师
香港,"[(191, 41, 42), (191, 48, 49), (208, 23, 24), (208, 35, 36), (208, 56, 57), (209, 26, 27)]",6,12_SZUL_张律师
龙岗,"[(107, 2, 3), (128, 50, 51), (223, 42, 43), (316, 32, 33)]",4,12_SZUL_张律师
