location_name,value,count,filename
上沙,"[(19, 10, 11), (28, 21, 22), (33, 2, 3)]",3,12_SZUL_美丽
上海,"[(226, 5, 6), (229, 4, 5), (230, 30, 31), (234, 4, 5)]",4,12_SZUL_美丽
东莞,"[(205, 11, 12), (249, 24, 25)]",2,12_SZUL_美丽
中国,"[(155, 11, 12), (228, 23, 24)]",2,12_SZUL_美丽
中山,"[(249, 31, 32)]",1,12_SZUL_美丽
光明区,"[(83, 20, 21)]",1,12_SZUL_美丽
凤岗,"[(205, 13, 14), (249, 28, 29)]",2,12_SZUL_美丽
北京,"[(43, 13, 14), (44, 0, 1), (44, 15, 16), (44, 27, 28), (44, 44, 45), (46, 6, 7), (110, 5, 6), (114, 4, 5), (114, 7, 8), (226, 3, 4), (228, 6, 7), (228, 10, 11), (230, 18, 19)]",13,12_SZUL_美丽
华强北,"[(19, 16, 17), (22, 3, 4), (22, 6, 7)]",3,12_SZUL_美丽
南山,"[(17, 18, 19), (17, 32, 33), (22, 8, 9), (22, 12, 13), (29, 18, 19), (75, 46, 47), (84, 35, 36), (133, 5, 6), (210, 11, 12), (215, 8, 9)]",10,12_SZUL_美丽
坪山,"[(105, 0, 1)]",1,12_SZUL_美丽
坪山区,"[(79, 12, 13)]",1,12_SZUL_美丽
城中村,"[(19, 12, 13), (19, 14, 15)]",2,12_SZUL_美丽
大浪,"[(134, 19, 20)]",1,12_SZUL_美丽
大鹏,"[(134, 2, 3)]",1,12_SZUL_美丽
宝安,"[(22, 14, 15), (22, 19, 20), (75, 44, 45), (79, 14, 15), (133, 3, 4), (210, 8, 9), (215, 5, 6)]",7,12_SZUL_美丽
布吉站,"[(214, 13, 15)]",1,12_SZUL_美丽
广州,"[(226, 20, 21), (229, 10, 11)]",2,12_SZUL_美丽
惠州,"[(205, 9, 10), (249, 26, 27)]",2,12_SZUL_美丽
成都,"[(226, 7, 8), (229, 6, 7), (230, 11, 12), (230, 28, 29)]",4,12_SZUL_美丽
所城,"[(134, 3, 4)]",1,12_SZUL_美丽
武汉,"[(226, 9, 10), (229, 8, 9), (230, 32, 33)]",3,12_SZUL_美丽
沙井,"[(79, 19, 20), (83, 3, 4), (90, 5, 6), (90, 11, 12), (91, 39, 40)]",5,12_SZUL_美丽
深圳,"[(1, 21, 22), (1, 30, 31), (1, 56, 57), (2, 9, 10), (7, 5, 6), (10, 9, 10), (20, 6, 7), (25, 16, 17), (38, 13, 14), (38, 16, 17), (40, 7, 8), (42, 5, 6), (42, 10, 11), (44, 8, 9), (44, 19, 20), (44, 35, 36), (45, 5, 6), (58, 4, 5), (58, 11, 12), (59, 21, 22), (62, 8, 9), (63, 11, 12), (63, 26, 27), (63, 55, 56), (64, 8, 9), (65, 16, 17), (65, 28, 29), (65, 65, 66), (66, 29, 30), (66, 42, 43), (68, 18, 19), (68, 32, 33), (69, 6, 7), (70, 1, 2), (73, 10, 11), (75, 5, 6), (80, 6, 7), (82, 6, 7), (106, 9, 10), (108, 5, 6), (126, 5, 6), (134, 0, 1), (141, 6, 7), (161, 7, 8), (169, 17, 18), (170, 5, 6), (170, 14, 15), (174, 5, 6), (188, 6, 7), (198, 19, 20), (201, 6, 7), (203, 11, 12), (204, 9, 10), (204, 22, 23), (206, 13, 14), (209, 4, 5), (209, 16, 17), (210, 5, 6), (224, 18, 19), (230, 42, 43), (231, 4, 5), (236, 5, 6), (241, 6, 7), (241, 11, 12), (241, 23, 24), (243, 5, 6), (243, 51, 52), (247, 8, 9), (247, 29, 30)]",69,12_SZUL_美丽
深圳北站,"[(214, 9, 11)]",1,12_SZUL_美丽
深圳市,"[(249, 15, 16)]",1,12_SZUL_美丽
甘坑,"[(134, 5, 6)]",1,12_SZUL_美丽
福永,"[(30, 21, 22), (30, 25, 26), (79, 16, 17), (83, 5, 6)]",4,12_SZUL_美丽
福田,"[(18, 9, 10), (22, 21, 22), (30, 57, 58), (75, 18, 19), (75, 27, 28), (75, 48, 49), (84, 34, 35), (215, 14, 15), (220, 0, 1), (222, 19, 20)]",10,12_SZUL_美丽
福田站,"[(217, 11, 12), (222, 29, 30)]",2,12_SZUL_美丽
福田高铁站,"[(220, 2, 4)]",1,12_SZUL_美丽
罗湖,"[(75, 42, 43), (76, 5, 6), (76, 18, 19), (78, 10, 11), (78, 12, 13), (78, 31, 32)]",6,12_SZUL_美丽
西丽,"[(29, 27, 28)]",1,12_SZUL_美丽
观澜,"[(83, 25, 26)]",1,12_SZUL_美丽
车公庙,"[(19, 6, 7), (118, 9, 10), (118, 11, 12), (124, 9, 10), (143, 8, 9), (144, 2, 3), (144, 8, 9), (210, 3, 4), (215, 11, 12)]",9,12_SZUL_美丽
车公庙站,"[(125, 8, 10)]",1,12_SZUL_美丽
长春,"[(48, 6, 7), (48, 8, 9), (48, 18, 19)]",3,12_SZUL_美丽
黄冈,"[(124, 4, 5), (129, 0, 1)]",2,12_SZUL_美丽
龙岗,"[(75, 40, 41), (83, 7, 8), (83, 9, 10), (133, 7, 8)]",4,12_SZUL_美丽
