location_name,value,count,filename
上步,"[(147, 29, 30)]",1,13_SZTULJK_HYZ
上沙,"[(177, 21, 22)]",1,13_SZTULJK_HYZ
上海,"[(416, 6, 7), (417, 10, 11)]",2,13_SZTULJK_HYZ
下沙,"[(177, 19, 20), (179, 10, 11), (192, 36, 37), (239, 7, 8), (240, 5, 6), (240, 7, 8)]",6,13_SZTULJK_HYZ
东乐花园,"[(259, 14, 16)]",1,13_SZTULJK_HYZ
东昌路,"[(145, 4, 5), (145, 6, 7)]",2,13_SZTULJK_HYZ
东莞,"[(226, 7, 8), (227, 3, 4)]",2,13_SZTULJK_HYZ
东门,"[(156, 12, 13), (156, 41, 42), (156, 69, 70)]",3,13_SZTULJK_HYZ
东门老街,"[(156, 14, 16), (156, 20, 22)]",2,13_SZTULJK_HYZ
东门街,"[(44, 20, 21)]",1,13_SZTULJK_HYZ
中英街,"[(162, 5, 6)]",1,13_SZTULJK_HYZ
仙湖,"[(312, 38, 39), (324, 12, 13)]",2,13_SZTULJK_HYZ
俄罗斯,"[(414, 36, 37)]",1,13_SZTULJK_HYZ
光明农场,"[(382, 4, 6), (382, 7, 9), (382, 27, 29)]",3,13_SZTULJK_HYZ
八卦岭,"[(147, 33, 34), (148, 3, 4), (149, 3, 4), (149, 7, 8), (209, 45, 46), (209, 64, 65), (210, 23, 24), (211, 9, 10), (211, 21, 22), (211, 31, 32), (220, 9, 10), (229, 9, 10), (229, 17, 18), (286, 13, 14)]",14,13_SZTULJK_HYZ
前海,"[(195, 7, 8), (197, 3, 4), (198, 7, 8), (198, 22, 23), (440, 4, 5), (470, 22, 23)]",6,13_SZTULJK_HYZ
北京,"[(416, 4, 5), (417, 17, 18), (419, 20, 21), (420, 7, 8), (427, 8, 9)]",5,13_SZTULJK_HYZ
北环,"[(265, 43, 44)]",1,13_SZTULJK_HYZ
华强北,"[(209, 21, 22), (209, 24, 25), (209, 41, 42), (220, 5, 6), (223, 1, 2), (285, 64, 65)]",6,13_SZTULJK_HYZ
华强大厦,"[(218, 15, 17)]",1,13_SZTULJK_HYZ
南山,"[(174, 10, 11), (184, 8, 9), (185, 3, 4), (186, 13, 14), (193, 36, 37), (411, 9, 10), (412, 3, 4)]",7,13_SZTULJK_HYZ
双龙,"[(387, 4, 5), (387, 6, 7)]",2,13_SZTULJK_HYZ
和平路,"[(42, 12, 13)]",1,13_SZTULJK_HYZ
园岭,"[(138, 17, 18), (138, 25, 26)]",2,13_SZTULJK_HYZ
坪山,"[(198, 29, 30), (198, 48, 49), (198, 52, 53), (203, 8, 9), (205, 13, 14)]",5,13_SZTULJK_HYZ
坪山镇,"[(199, 5, 6)]",1,13_SZTULJK_HYZ
天安门广场,"[(67, 19, 21)]",1,13_SZTULJK_HYZ
宝安,"[(174, 12, 13), (190, 30, 31), (190, 33, 34), (193, 38, 39), (193, 42, 43), (198, 41, 42), (364, 17, 18)]",7,13_SZTULJK_HYZ
宝安广场,"[(470, 39, 41)]",1,13_SZTULJK_HYZ
山湖居,"[(264, 48, 49), (264, 50, 51)]",2,13_SZTULJK_HYZ
岗厦,"[(179, 12, 13), (179, 15, 16), (231, 3, 4), (233, 12, 13), (239, 9, 10), (371, 3, 4), (442, 13, 14)]",7,13_SZTULJK_HYZ
岗厦北,"[(373, 10, 11)]",1,13_SZTULJK_HYZ
布吉,"[(166, 13, 14), (440, 6, 7)]",2,13_SZTULJK_HYZ
布吉街,"[(166, 18, 19)]",1,13_SZTULJK_HYZ
布心,"[(114, 20, 21), (260, 11, 12), (261, 3, 4), (264, 13, 14), (264, 17, 18), (280, 18, 19), (284, 15, 16), (285, 55, 56), (288, 6, 7)]",9,13_SZTULJK_HYZ
布心路,"[(264, 68, 69), (265, 23, 24)]",2,13_SZTULJK_HYZ
广州,"[(32, 29, 30), (33, 1, 2), (33, 28, 29), (346, 11, 12), (402, 36, 37), (402, 43, 44), (413, 10, 11), (416, 1, 2), (417, 3, 4), (419, 21, 22), (424, 8, 9), (427, 18, 19)]",12,13_SZTULJK_HYZ
广西,"[(18, 22, 23)]",1,13_SZTULJK_HYZ
建设路,"[(156, 33, 34)]",1,13_SZTULJK_HYZ
德兴花园,"[(44, 6, 8)]",1,13_SZTULJK_HYZ
文锦渡,"[(45, 14, 15)]",1,13_SZTULJK_HYZ
文锦路,"[(38, 42, 43)]",1,13_SZTULJK_HYZ
新秀村,"[(312, 20, 21)]",1,13_SZTULJK_HYZ
木头龙,"[(105, 10, 11)]",1,13_SZTULJK_HYZ
梅林,"[(247, 23, 24)]",1,13_SZTULJK_HYZ
梧桐山,"[(324, 17, 18)]",1,13_SZTULJK_HYZ
沙头角,"[(64, 3, 4), (64, 11, 12), (158, 7, 8), (159, 3, 4), (312, 36, 37), (380, 15, 16)]",6,13_SZTULJK_HYZ
沙河大街,"[(33, 32, 34)]",1,13_SZTULJK_HYZ
海山,"[(312, 34, 35), (325, 16, 17), (327, 15, 16), (329, 9, 10), (456, 13, 14)]",5,13_SZTULJK_HYZ
淘金山,"[(264, 44, 45)]",1,13_SZTULJK_HYZ
深南路,"[(38, 12, 13), (38, 39, 40), (46, 16, 17), (77, 2, 3)]",4,13_SZTULJK_HYZ
深南路上海宾馆,"[(38, 1, 4)]",1,13_SZTULJK_HYZ
深圳,"[(12, 12, 13), (12, 17, 18), (18, 38, 39), (19, 12, 13), (28, 17, 18), (29, 5, 6), (30, 1, 2), (30, 18, 19), (32, 10, 11), (33, 16, 17), (33, 64, 65), (34, 3, 4), (35, 1, 2), (37, 15, 16), (43, 13, 14), (44, 1, 2), (45, 3, 4), (52, 36, 37), (52, 40, 41), (55, 5, 6), (57, 10, 11), (61, 19, 20), (65, 10, 11), (65, 36, 37), (65, 39, 40), (83, 13, 14), (83, 48, 49), (86, 19, 20), (87, 8, 9), (87, 28, 29), (88, 9, 10), (88, 22, 23), (90, 3, 4), (94, 0, 1), (131, 58, 59), (131, 78, 79), (132, 3, 4), (134, 11, 12), (290, 12, 13), (320, 48, 49), (346, 45, 46), (356, 8, 9), (369, 25, 26), (369, 64, 65), (372, 12, 13), (372, 16, 17), (372, 37, 38), (373, 8, 9), (373, 34, 35), (373, 38, 39), (379, 3, 4), (380, 3, 4), (388, 12, 13), (389, 11, 12), (389, 19, 20), (389, 84, 85), (392, 4, 5), (393, 49, 50), (402, 2, 3), (404, 5, 6), (404, 11, 12), (419, 25, 26), (425, 4, 5), (426, 8, 9), (427, 4, 5), (427, 16, 17), (435, 30, 31), (470, 51, 52), (471, 5, 6), (481, 20, 21), (490, 14, 15), (492, 7, 8), (494, 6, 7)]",73,13_SZTULJK_HYZ
深圳大戏院,"[(275, 17, 20)]",1,13_SZTULJK_HYZ
深圳市,"[(227, 8, 9)]",1,13_SZTULJK_HYZ
深圳港湾,"[(463, 29, 30)]",1,13_SZTULJK_HYZ
深圳湾,"[(364, 21, 22), (459, 16, 17), (460, 3, 4), (461, 3, 4), (463, 4, 5), (463, 6, 7), (463, 8, 9), (463, 10, 11)]",8,13_SZTULJK_HYZ
深房广场,"[(156, 30, 32), (156, 54, 56)]",2,13_SZTULJK_HYZ
滨河,"[(138, 12, 13)]",1,13_SZTULJK_HYZ
田贝,"[(140, 18, 19), (147, 13, 14), (289, 1, 2), (297, 7, 8)]",4,13_SZTULJK_HYZ
皇岗,"[(233, 31, 32), (442, 33, 34), (442, 38, 39)]",3,13_SZTULJK_HYZ
盐田,"[(325, 11, 12), (380, 13, 14)]",2,13_SZTULJK_HYZ
福田,"[(170, 21, 22), (183, 21, 22), (183, 26, 27), (192, 33, 34), (193, 32, 33), (389, 53, 54), (442, 8, 9), (442, 11, 12)]",8,13_SZTULJK_HYZ
