location_name,value,count,filename
上步路,"[(142, 60, 61)]",1,13_SZTULJK_LJP
上海,"[(274, 49, 50), (275, 5, 6), (279, 9, 10), (280, 13, 14), (286, 6, 7), (287, 1, 2)]",6,13_SZTULJK_LJP
上海市,"[(278, 5, 6)]",1,13_SZTULJK_LJP
下梅林,"[(40, 5, 6)]",1,13_SZTULJK_LJP
东湖,"[(54, 3, 4)]",1,13_SZTULJK_LJP
东湖公园,"[(55, 3, 5), (57, 10, 12), (60, 5, 7)]",3,13_SZTULJK_LJP
东莞,"[(229, 68, 69), (234, 93, 94)]",2,13_SZTULJK_LJP
东门,"[(158, 3, 4), (158, 20, 21)]",2,13_SZTULJK_LJP
丰盛町,"[(298, 52, 53), (300, 39, 40)]",2,13_SZTULJK_LJP
主山,"[(147, 74, 75)]",1,13_SZTULJK_LJP
关内,"[(220, 11, 12)]",1,13_SZTULJK_LJP
前海,"[(62, 3, 4), (177, 13, 14), (193, 48, 49)]",3,13_SZTULJK_LJP
前海路,"[(61, 23, 24), (63, 5, 6), (64, 0, 1), (66, 11, 12), (68, 15, 16)]",5,13_SZTULJK_LJP
北京,"[(274, 47, 48), (275, 4, 5), (278, 3, 4), (279, 8, 9), (280, 11, 12), (286, 4, 5), (287, 0, 1)]",7,13_SZTULJK_LJP
北环,"[(41, 81, 82)]",1,13_SZTULJK_LJP
华强北,"[(156, 33, 34)]",1,13_SZTULJK_LJP
南山,"[(35, 29, 30), (61, 22, 23), (61, 32, 33), (68, 14, 15), (123, 41, 42), (125, 7, 8), (182, 20, 21), (183, 0, 1), (183, 32, 33), (189, 12, 13), (191, 6, 7), (193, 46, 47), (203, 16, 17), (229, 12, 13), (229, 43, 44), (233, 43, 44)]",16,13_SZTULJK_LJP
南山区,"[(64, 4, 5), (65, 0, 1), (233, 18, 19)]",3,13_SZTULJK_LJP
南山科技园,"[(186, 29, 31), (188, 9, 11), (193, 25, 27)]",3,13_SZTULJK_LJP
博丰大厦,"[(72, 43, 45), (82, 6, 8)]",2,13_SZTULJK_LJP
博罗,"[(235, 5, 6)]",1,13_SZTULJK_LJP
园林大厦,"[(71, 54, 56)]",1,13_SZTULJK_LJP
坪山,"[(170, 3, 4)]",1,13_SZTULJK_LJP
坪山区,"[(161, 10, 11), (162, 1, 2), (163, 4, 5), (165, 1, 2)]",4,13_SZTULJK_LJP
城中村,"[(220, 0, 1)]",1,13_SZTULJK_LJP
大厦,"[(38, 59, 60)]",1,13_SZTULJK_LJP
大湾区,"[(177, 3, 4)]",1,13_SZTULJK_LJP
宝安,"[(13, 11, 12), (13, 26, 27), (68, 26, 27), (139, 9, 10), (176, 6, 7), (176, 12, 13), (207, 31, 32), (207, 46, 47), (223, 26, 27), (223, 42, 43), (223, 44, 45), (228, 3, 4), (230, 4, 5), (231, 14, 15), (231, 42, 43), (231, 63, 64), (232, 15, 16), (233, 32, 33), (233, 41, 42), (233, 57, 58)]",20,13_SZTULJK_LJP
宝安中心区,"[(193, 51, 53)]",1,13_SZTULJK_LJP
布吉,"[(139, 5, 6), (207, 23, 24)]",2,13_SZTULJK_LJP
布心,"[(180, 4, 5)]",1,13_SZTULJK_LJP
广州,"[(123, 14, 15), (280, 15, 16), (286, 1, 2), (286, 9, 10)]",4,13_SZTULJK_LJP
新洲河,"[(200, 15, 16)]",1,13_SZTULJK_LJP
智园,"[(229, 44, 45)]",1,13_SZTULJK_LJP
松岗,"[(176, 15, 16), (223, 34, 35), (224, 2, 3)]",3,13_SZTULJK_LJP
梅林,"[(25, 9, 10), (25, 12, 13), (35, 25, 26), (38, 51, 52), (45, 12, 13), (71, 27, 28), (169, 27, 28), (169, 30, 31), (169, 44, 45)]",9,13_SZTULJK_LJP
梅林关,"[(139, 1, 2)]",1,13_SZTULJK_LJP
武汉,"[(29, 38, 39), (280, 17, 18), (285, 14, 15)]",3,13_SZTULJK_LJP
民治,"[(35, 36, 37), (35, 38, 39)]",2,13_SZTULJK_LJP
沙井,"[(224, 0, 1)]",1,13_SZTULJK_LJP
河源,"[(234, 89, 90)]",1,13_SZTULJK_LJP
深南大道,"[(206, 59, 61)]",1,13_SZTULJK_LJP
深圳,"[(5, 21, 22), (5, 32, 33), (17, 3, 4), (19, 17, 18), (29, 46, 47), (29, 53, 54), (35, 46, 47), (86, 22, 23), (87, 38, 39), (105, 65, 66), (108, 20, 21), (111, 14, 15), (111, 44, 45), (115, 19, 20), (116, 11, 12), (117, 2, 3), (123, 9, 10), (123, 17, 18), (140, 15, 16), (140, 20, 21), (142, 10, 11), (142, 15, 16), (146, 20, 21), (147, 20, 21), (147, 70, 71), (149, 43, 44), (149, 45, 46), (153, 4, 5), (153, 20, 21), (186, 10, 11), (189, 8, 9), (190, 7, 8), (202, 23, 24), (223, 6, 7), (231, 44, 45), (241, 14, 15), (258, 35, 36), (258, 45, 46), (271, 17, 18), (274, 24, 25), (274, 54, 55), (281, 11, 12), (282, 3, 4), (290, 21, 22), (301, 24, 25), (301, 27, 28), (303, 3, 4), (305, 11, 12), (307, 8, 9), (311, 7, 8), (317, 6, 7), (323, 60, 61), (325, 2, 3)]",53,13_SZTULJK_LJP
深圳国际会展中心,"[(237, 25, 29)]",1,13_SZTULJK_LJP
深圳市,"[(142, 43, 44), (234, 74, 75)]",2,13_SZTULJK_LJP
深圳湾公园,"[(195, 35, 37), (195, 53, 55), (196, 3, 5)]",3,13_SZTULJK_LJP
深圳特区,"[(113, 13, 15), (123, 34, 36)]",2,13_SZTULJK_LJP
深港,"[(216, 2, 3)]",1,13_SZTULJK_LJP
清水河,"[(72, 49, 50), (82, 5, 6)]",2,13_SZTULJK_LJP
湖北,"[(29, 32, 33)]",1,13_SZTULJK_LJP
片区,"[(189, 13, 14)]",1,13_SZTULJK_LJP
白石洲,"[(35, 31, 32)]",1,13_SZTULJK_LJP
皇岗,"[(22, 4, 5)]",1,13_SZTULJK_LJP
皇岗村,"[(21, 8, 9), (23, 3, 4), (24, 2, 3), (35, 20, 21)]",4,13_SZTULJK_LJP
盐田,"[(125, 14, 15)]",1,13_SZTULJK_LJP
福田,"[(21, 5, 6), (22, 3, 4), (104, 10, 11), (125, 12, 13), (142, 25, 26), (142, 66, 67), (147, 21, 22), (186, 24, 25), (187, 17, 18), (187, 22, 23), (191, 4, 5)]",11,13_SZTULJK_LJP
福田CBD,"[(193, 18, 20)]",1,13_SZTULJK_LJP
福田区,"[(25, 6, 7), (145, 13, 14), (146, 11, 12), (177, 57, 58), (177, 59, 60)]",5,13_SZTULJK_LJP
科技园,"[(293, 26, 27)]",1,13_SZTULJK_LJP
笋岗,"[(179, 14, 15)]",1,13_SZTULJK_LJP
红树林公园,"[(198, 9, 11), (198, 16, 18)]",2,13_SZTULJK_LJP
红树林深圳湾公园,"[(333, 14, 17)]",1,13_SZTULJK_LJP
绿映居,"[(68, 6, 7)]",1,13_SZTULJK_LJP
罗湖,"[(13, 17, 18), (13, 28, 29), (49, 3, 4), (50, 6, 7), (61, 40, 41), (72, 48, 49), (81, 16, 17), (82, 3, 4), (104, 2, 3), (125, 10, 11), (142, 63, 64), (156, 23, 24), (178, 1, 2), (178, 17, 18), (178, 45, 46), (179, 2, 3), (207, 26, 27), (207, 44, 45)]",18,13_SZTULJK_LJP
罗湖东湖公园,"[(53, 36, 39)]",1,13_SZTULJK_LJP
罗湖区域,"[(203, 19, 21)]",1,13_SZTULJK_LJP
罗湖火车站,"[(243, 18, 20)]",1,13_SZTULJK_LJP
罗湖站,"[(203, 58, 59)]",1,13_SZTULJK_LJP
老东门,"[(179, 4, 5)]",1,13_SZTULJK_LJP
联通大厦,"[(152, 9, 11)]",1,13_SZTULJK_LJP
荣超,"[(152, 15, 16)]",1,13_SZTULJK_LJP
荣超大厦,"[(145, 53, 55)]",1,13_SZTULJK_LJP
莲塘,"[(179, 10, 11)]",1,13_SZTULJK_LJP
莲花山,"[(145, 21, 22), (149, 79, 80), (153, 15, 16)]",3,13_SZTULJK_LJP
蛇口,"[(193, 42, 43), (194, 1, 2), (203, 46, 47)]",3,13_SZTULJK_LJP
西乡,"[(176, 14, 15), (223, 32, 33), (223, 52, 53)]",3,13_SZTULJK_LJP
贵州,"[(235, 3, 4)]",1,13_SZTULJK_LJP
车公庙,"[(293, 71, 72), (294, 6, 7), (298, 12, 13), (298, 28, 29), (300, 34, 35)]",5,13_SZTULJK_LJP
车公庙站,"[(293, 23, 25)]",1,13_SZTULJK_LJP
通业业,"[(41, 70, 71)]",1,13_SZTULJK_LJP
通业大厦,"[(71, 30, 32)]",1,13_SZTULJK_LJP
通业花园,"[(41, 72, 74)]",1,13_SZTULJK_LJP
重庆,"[(280, 19, 20), (285, 26, 27)]",2,13_SZTULJK_LJP
龙华,"[(35, 34, 35)]",1,13_SZTULJK_LJP
龙岗,"[(104, 6, 7), (159, 9, 10), (159, 19, 20), (160, 1, 2), (161, 1, 2), (169, 5, 6), (169, 52, 53), (176, 4, 5), (205, 5, 6), (205, 7, 8), (205, 21, 22), (231, 57, 58), (232, 18, 19)]",13,13_SZTULJK_LJP
龙岗区,"[(162, 5, 6), (163, 7, 8), (165, 3, 4), (165, 8, 9)]",4,13_SZTULJK_LJP
