location_name,value,count,filename
万象城,"[(323, 3, 4)]",1,14_SZUlsr-wuxin
下沙,"[(22, 2, 3)]",1,14_SZUlsr-wuxin
东莞,"[(171, 29, 30)]",1,14_SZUlsr-wuxin
中山,"[(171, 35, 36)]",1,14_SZUlsr-wuxin
丽湖,"[(602, 8, 9)]",1,14_SZUlsr-wuxin
二外,"[(376, 9, 10)]",1,14_SZUlsr-wuxin
光明安,"[(204, 22, 23)]",1,14_SZUlsr-wuxin
关内,"[(146, 4, 5), (147, 3, 4), (165, 5, 6), (165, 13, 14), (165, 43, 44)]",5,14_SZUlsr-wuxin
关外,"[(198, 39, 40)]",1,14_SZUlsr-wuxin
前海,"[(22, 8, 9), (318, 48, 49), (329, 12, 13)]",3,14_SZUlsr-wuxin
北京,"[(572, 5, 6), (572, 7, 8), (587, 8, 9), (587, 12, 13)]",4,14_SZUlsr-wuxin
北环,"[(375, 13, 14)]",1,14_SZUlsr-wuxin
南头关,"[(148, 4, 5), (153, 14, 15), (160, 26, 27)]",3,14_SZUlsr-wuxin
南山,"[(4, 32, 33), (4, 38, 39), (11, 11, 12), (33, 8, 9), (34, 3, 4), (35, 11, 12), (54, 11, 12), (81, 5, 6), (147, 6, 7), (149, 20, 21), (160, 20, 21), (221, 51, 52), (600, 6, 7)]",13,14_SZUlsr-wuxin
固戍,"[(481, 22, 23), (481, 34, 35)]",2,14_SZUlsr-wuxin
塘朗,"[(596, 34, 35)]",1,14_SZUlsr-wuxin
壹方城,"[(320, 1, 2)]",1,14_SZUlsr-wuxin
大兴,"[(226, 13, 14), (231, 14, 15), (232, 34, 35), (332, 18, 19), (503, 25, 26)]",5,14_SZUlsr-wuxin
安托山,"[(373, 3, 4), (376, 14, 15)]",2,14_SZUlsr-wuxin
宝安,"[(81, 10, 11), (198, 51, 52), (304, 11, 12), (329, 19, 20)]",4,14_SZUlsr-wuxin
广东,"[(414, 14, 15)]",1,14_SZUlsr-wuxin
广州,"[(411, 26, 27), (575, 4, 5), (575, 11, 12), (577, 3, 4), (577, 11, 12), (580, 3, 4), (581, 6, 7), (582, 5, 6)]",8,14_SZUlsr-wuxin
惠州,"[(171, 32, 33)]",1,14_SZUlsr-wuxin
新疆,"[(101, 19, 20)]",1,14_SZUlsr-wuxin
月亮湾,"[(289, 49, 50), (596, 11, 12)]",2,14_SZUlsr-wuxin
月亮湾花园,"[(289, 51, 53)]",1,14_SZUlsr-wuxin
桃园,"[(612, 3, 4), (613, 3, 4), (621, 14, 15)]",3,14_SZUlsr-wuxin
梅林关,"[(150, 8, 9), (150, 10, 11), (151, 3, 4), (153, 9, 10), (377, 9, 10)]",5,14_SZUlsr-wuxin
武汉,"[(412, 3, 4)]",1,14_SZUlsr-wuxin
深圳,"[(1, 43, 44), (2, 9, 10), (86, 8, 9), (91, 7, 8), (91, 10, 11), (91, 24, 25), (96, 32, 33), (128, 41, 42), (136, 10, 11), (143, 8, 9), (162, 9, 10), (182, 9, 10), (182, 74, 75), (196, 42, 43), (235, 0, 1), (279, 1, 2), (405, 11, 12), (411, 24, 25), (465, 7, 8), (466, 3, 4), (477, 21, 22), (493, 14, 15), (573, 4, 5), (574, 4, 5), (575, 14, 15), (577, 18, 19), (578, 5, 6), (579, 5, 6), (586, 6, 7), (587, 3, 4), (588, 1, 2), (618, 20, 21)]",32,14_SZUlsr-wuxin
清湖,"[(248, 7, 8), (248, 57, 58), (249, 3, 4)]",3,14_SZUlsr-wuxin
番禺,"[(581, 8, 9)]",1,14_SZUlsr-wuxin
白石洲,"[(343, 17, 18), (344, 7, 8), (344, 10, 11)]",3,14_SZUlsr-wuxin
盐田,"[(81, 16, 17), (514, 3, 4), (514, 13, 14)]",3,14_SZUlsr-wuxin
福田,"[(4, 22, 23), (81, 7, 8), (149, 22, 23), (150, 12, 13), (151, 10, 11), (165, 19, 20), (221, 57, 58), (243, 22, 23)]",8,14_SZUlsr-wuxin
福田站,"[(234, 19, 20)]",1,14_SZUlsr-wuxin
竹村,"[(250, 16, 17)]",1,14_SZUlsr-wuxin
红岭,"[(382, 4, 5), (385, 7, 8), (532, 6, 7), (535, 10, 11)]",4,14_SZUlsr-wuxin
罗湖,"[(20, 0, 1), (33, 10, 11), (34, 5, 6), (35, 13, 14), (54, 7, 8), (81, 14, 15), (149, 24, 25), (221, 54, 55), (229, 27, 28), (281, 24, 25), (286, 7, 8), (304, 8, 9)]",12,14_SZUlsr-wuxin
罗湖站,"[(234, 16, 17), (303, 17, 18)]",2,14_SZUlsr-wuxin
观澜,"[(248, 35, 36), (250, 20, 21)]",2,14_SZUlsr-wuxin
赤湾,"[(510, 4, 5), (511, 5, 6), (514, 1, 2)]",3,14_SZUlsr-wuxin
车公庙,"[(165, 30, 31), (165, 36, 37)]",2,14_SZUlsr-wuxin
釜山,"[(486, 9, 10)]",1,14_SZUlsr-wuxin
香港,"[(619, 3, 4), (619, 42, 43)]",2,14_SZUlsr-wuxin
高德,"[(575, 24, 25)]",1,14_SZUlsr-wuxin
麒麟山庄,"[(596, 21, 23)]",1,14_SZUlsr-wuxin
龙华,"[(81, 12, 13), (151, 7, 8), (208, 6, 7), (234, 21, 22), (234, 23, 24), (247, 17, 18), (248, 16, 17), (395, 10, 11)]",8,14_SZUlsr-wuxin
龙华县,"[(248, 2, 3)]",1,14_SZUlsr-wuxin
