location_name,value,count,filename
上步路,"[(15, 22, 23)]",1,15_PKU+DYE_Xin
上海,"[(122, 19, 20), (122, 22, 23), (122, 28, 29), (122, 57, 58), (123, 3, 4), (127, 6, 7), (132, 3, 4), (136, 3, 4)]",8,15_PKU+DYE_Xin
上海宾馆,"[(135, 9, 11), (141, 0, 2), (143, 1, 3), (143, 9, 11), (143, 19, 21)]",5,15_PKU+DYE_Xin
东莞,"[(410, 9, 10), (411, 12, 13), (411, 42, 43)]",3,15_PKU+DYE_Xin
东门,"[(178, 48, 49)]",1,15_PKU+DYE_Xin
丽湖公园,"[(47, 1, 3), (48, 3, 5)]",2,15_PKU+DYE_Xin
九龙,"[(416, 12, 13), (416, 22, 23)]",2,15_PKU+DYE_Xin
仙湖,"[(107, 3, 4), (144, 9, 10)]",2,15_PKU+DYE_Xin
仙湖植物园,"[(108, 5, 7)]",1,15_PKU+DYE_Xin
保利剧院,"[(407, 5, 7), (407, 11, 13), (408, 10, 12)]",3,15_PKU+DYE_Xin
前海,"[(371, 9, 10), (371, 18, 19), (378, 6, 7), (378, 12, 13), (385, 6, 7), (403, 33, 34)]",6,15_PKU+DYE_Xin
前海湾站,"[(403, 42, 44)]",1,15_PKU+DYE_Xin
前湾公园站,"[(403, 45, 48)]",1,15_PKU+DYE_Xin
前湾站,"[(403, 39, 41)]",1,15_PKU+DYE_Xin
北京,"[(295, 23, 24), (298, 3, 4)]",2,15_PKU+DYE_Xin
区域,"[(402, 26, 27)]",1,15_PKU+DYE_Xin
南山,"[(48, 6, 7), (154, 15, 16), (345, 5, 6), (345, 11, 12), (345, 23, 24), (372, 14, 15), (373, 42, 43), (374, 18, 19), (377, 0, 1), (402, 28, 29), (402, 49, 50), (403, 3, 4), (403, 11, 12), (403, 20, 21), (405, 4, 5)]",15,15_PKU+DYE_Xin
南山市,"[(293, 29, 30)]",1,15_PKU+DYE_Xin
厦门,"[(295, 7, 8), (295, 19, 20), (304, 2, 3), (304, 4, 5)]",4,15_PKU+DYE_Xin
后海,"[(375, 15, 16), (405, 15, 16), (405, 16, 17), (405, 22, 23)]",4,15_PKU+DYE_Xin
后海站,"[(376, 10, 11), (376, 26, 27), (408, 4, 5)]",3,15_PKU+DYE_Xin
坂田,"[(159, 46, 47), (159, 50, 51)]",2,15_PKU+DYE_Xin
妈湾站,"[(403, 49, 51)]",1,15_PKU+DYE_Xin
宝安区,"[(42, 5, 6), (42, 9, 10)]",2,15_PKU+DYE_Xin
广州,"[(295, 26, 27)]",1,15_PKU+DYE_Xin
