location_name,value,count,filename
万象城,"[(233, 17, 18)]",1,15_PKU+DYE_Xuan
亚洲,"[(447, 12, 13)]",1,15_PKU+DYE_Xuan
南山,"[(35, 5, 6), (152, 12, 13), (162, 1, 2), (220, 23, 24), (245, 21, 22)]",5,15_PKU+DYE_Xuan
南山区,"[(34, 4, 5), (34, 12, 13)]",2,15_PKU+DYE_Xuan
四川大厦,"[(107, 23, 25), (132, 8, 10), (133, 8, 10)]",3,15_PKU+DYE_Xuan
坪山,"[(157, 16, 17)]",1,15_PKU+DYE_Xuan
大浪,"[(152, 44, 45)]",1,15_PKU+DYE_Xuan
宝安,"[(152, 42, 43)]",1,15_PKU+DYE_Xuan
法国,"[(431, 6, 7), (433, 3, 4), (434, 0, 1)]",3,15_PKU+DYE_Xuan
深圳,"[(3, 13, 14), (3, 41, 42), (3, 71, 72), (13, 4, 5), (20, 9, 10), (23, 6, 7), (71, 1, 2), (157, 1, 2), (209, 13, 14), (209, 36, 37), (211, 6, 7), (216, 17, 18), (256, 6, 7), (304, 7, 8), (350, 12, 13), (388, 3, 4), (417, 10, 11), (430, 7, 8), (457, 6, 7), (459, 3, 4), (464, 1, 2)]",21,15_PKU+DYE_Xuan
益田,"[(32, 4, 5), (44, 29, 30), (360, 2, 3)]",3,15_PKU+DYE_Xuan
益田石厦,"[(130, 4, 6)]",1,15_PKU+DYE_Xuan
盐田,"[(157, 14, 15)]",1,15_PKU+DYE_Xuan
石厦,"[(44, 30, 31), (53, 9, 10), (360, 5, 6)]",3,15_PKU+DYE_Xuan
福田,"[(152, 17, 18), (220, 16, 17), (237, 7, 8), (237, 14, 15), (245, 19, 20), (316, 2, 3), (323, 18, 19), (332, 6, 7), (332, 22, 23), (426, 2, 3)]",10,15_PKU+DYE_Xuan
福田区,"[(31, 13, 14), (32, 3, 4), (40, 8, 9), (44, 1, 2), (44, 18, 19), (44, 25, 26), (129, 7, 8), (328, 5, 6), (332, 10, 11), (332, 14, 15)]",10,15_PKU+DYE_Xuan
粤海门,"[(75, 26, 27), (176, 23, 24), (179, 32, 33), (195, 6, 7), (281, 10, 11), (284, 1, 2)]",6,15_PKU+DYE_Xuan
罗湖,"[(134, 5, 6), (156, 7, 8), (218, 0, 1), (222, 11, 12), (232, 1, 2), (245, 17, 18), (314, 3, 4), (316, 4, 5), (316, 9, 10)]",9,15_PKU+DYE_Xuan
西丽,"[(34, 6, 7), (139, 10, 11), (139, 14, 15), (183, 20, 21), (353, 8, 9), (360, 21, 22)]",6,15_PKU+DYE_Xuan
西丽站,"[(186, 4, 5)]",1,15_PKU+DYE_Xuan
车公庙,"[(418, 3, 4)]",1,15_PKU+DYE_Xuan
龙华,"[(153, 2, 3)]",1,15_PKU+DYE_Xuan
龙岗,"[(153, 4, 5), (156, 1, 2)]",2,15_PKU+DYE_Xuan
