location_name,value,count,filename
万象城,"[(47, 7, 8)]",1,17_SCNUC_小于先生
东京,"[(286, 64, 65), (289, 1, 2)]",2,17_SCNUC_小于先生
东京湾,"[(286, 66, 67)]",1,17_SCNUC_小于先生
东莞,"[(254, 39, 40), (270, 27, 28), (286, 9, 10), (290, 37, 38), (291, 8, 9)]",5,17_SCNUC_小于先生
东门,"[(43, 32, 33)]",1,17_SCNUC_小于先生
佛山,"[(283, 11, 12)]",1,17_SCNUC_小于先生
光明,"[(59, 8, 9), (60, 16, 17), (85, 25, 26), (86, 1, 2)]",4,17_SCNUC_小于先生
光明科学城,"[(86, 6, 8)]",1,17_SCNUC_小于先生
关外,"[(75, 10, 11)]",1,17_SCNUC_小于先生
凤岗,"[(270, 29, 30)]",1,17_SCNUC_小于先生
前海,"[(82, 26, 27), (83, 2, 3)]",2,17_SCNUC_小于先生
华强北,"[(48, 7, 8)]",1,17_SCNUC_小于先生
南山,"[(25, 7, 8), (25, 10, 11), (64, 39, 40), (69, 39, 40), (81, 43, 44), (82, 1, 2), (82, 23, 24), (90, 40, 41), (94, 7, 8), (252, 13, 14)]",10,17_SCNUC_小于先生
南山区,"[(64, 8, 9), (64, 13, 14), (69, 13, 14)]",3,17_SCNUC_小于先生
口岸,"[(98, 58, 59)]",1,17_SCNUC_小于先生
国贸,"[(47, 5, 6)]",1,17_SCNUC_小于先生
坪山,"[(59, 11, 12), (60, 22, 23), (79, 19, 20), (91, 10, 11), (147, 9, 10), (250, 12, 13), (251, 15, 16), (252, 0, 1), (254, 14, 15), (269, 11, 12)]",10,17_SCNUC_小于先生
坪山区,"[(98, 38, 39)]",1,17_SCNUC_小于先生
坪山新区,"[(91, 4, 6)]",1,17_SCNUC_小于先生
坪山高铁站,"[(91, 1, 3), (98, 32, 34), (106, 10, 12)]",3,17_SCNUC_小于先生
大亚湾,"[(254, 35, 36)]",1,17_SCNUC_小于先生
大运公园,"[(150, 13, 15)]",1,17_SCNUC_小于先生
大鹏,"[(59, 19, 20), (79, 15, 16)]",2,17_SCNUC_小于先生
宝安,"[(54, 7, 8), (75, 8, 9), (77, 7, 8), (79, 9, 10), (195, 3, 4)]",5,17_SCNUC_小于先生
宝安区,"[(53, 22, 23), (58, 15, 16), (77, 14, 15), (228, 24, 25)]",4,17_SCNUC_小于先生
宝安县,"[(52, 49, 50), (53, 8, 9)]",2,17_SCNUC_小于先生
岗厦,"[(148, 12, 13)]",1,17_SCNUC_小于先生
岗厦北地铁站,"[(260, 18, 20)]",1,17_SCNUC_小于先生
布吉,"[(148, 25, 26), (259, 15, 16), (264, 13, 14)]",3,17_SCNUC_小于先生
平湖火车站,"[(272, 9, 11)]",1,17_SCNUC_小于先生
广东,"[(290, 0, 1)]",1,17_SCNUC_小于先生
广州,"[(121, 27, 28), (121, 35, 36), (206, 3, 4), (206, 6, 7), (207, 1, 2), (208, 1, 2), (209, 0, 1), (219, 8, 9), (221, 13, 14), (224, 0, 1), (240, 0, 1), (265, 8, 9), (268, 23, 24), (272, 29, 30), (282, 18, 19), (283, 9, 10)]",16,17_SCNUC_小于先生
建设路,"[(43, 27, 28)]",1,17_SCNUC_小于先生
惠州,"[(254, 34, 35), (286, 12, 13), (286, 15, 16), (286, 40, 41), (287, 17, 18), (290, 35, 36)]",6,17_SCNUC_小于先生
新区,"[(59, 12, 13)]",1,17_SCNUC_小于先生
松岗,"[(79, 11, 12)]",1,17_SCNUC_小于先生
沙田,"[(147, 11, 12)]",1,17_SCNUC_小于先生
深圳,"[(2, 6, 7), (2, 63, 64), (9, 14, 15), (14, 13, 14), (16, 9, 10), (18, 5, 6), (22, 22, 23), (30, 5, 6), (51, 8, 9), (51, 13, 14), (55, 25, 26), (56, 1, 2), (63, 3, 4), (65, 9, 10), (69, 12, 13), (70, 0, 1), (71, 44, 45), (77, 18, 19), (81, 4, 5), (81, 13, 14), (85, 9, 10), (89, 13, 14), (90, 22, 23), (94, 16, 17), (96, 6, 7), (102, 29, 30), (104, 15, 16), (105, 1, 2), (113, 16, 17), (114, 16, 17), (119, 30, 31), (126, 8, 9), (132, 5, 6), (172, 19, 20), (172, 26, 27), (173, 0, 1), (185, 4, 5), (185, 13, 14), (187, 16, 17), (199, 5, 6), (199, 13, 14), (205, 0, 1), (205, 23, 24), (208, 4, 5), (211, 0, 1), (216, 7, 8), (222, 0, 1), (225, 0, 1), (225, 9, 10), (228, 26, 27), (243, 9, 10), (250, 7, 8), (253, 0, 1), (254, 1, 2), (258, 20, 21), (259, 3, 4), (259, 31, 32), (262, 63, 64), (264, 16, 17), (265, 30, 31), (268, 4, 5), (271, 8, 9), (280, 6, 7), (282, 0, 1), (286, 54, 55), (290, 31, 32), (296, 21, 22), (298, 7, 8), (299, 3, 4)]",69,17_SCNUC_小于先生
深圳市,"[(52, 35, 36), (55, 15, 16), (58, 20, 21), (59, 1, 2), (69, 42, 43), (81, 36, 37), (83, 5, 6), (90, 6, 7)]",8,17_SCNUC_小于先生
深圳湾,"[(64, 15, 16), (69, 4, 5), (81, 18, 19)]",3,17_SCNUC_小于先生
深圳经济特区,"[(52, 45, 48)]",1,17_SCNUC_小于先生
深惠路,"[(277, 78, 79)]",1,17_SCNUC_小于先生
澳门,"[(290, 12, 13)]",1,17_SCNUC_小于先生
福田,"[(43, 36, 37), (44, 8, 9), (67, 1, 2), (67, 7, 8), (67, 15, 16), (67, 19, 20), (76, 1, 2), (77, 23, 24), (90, 36, 37), (97, 10, 11), (97, 12, 13), (98, 57, 58), (252, 5, 6), (259, 21, 22)]",14,17_SCNUC_小于先生
福田区,"[(20, 7, 8), (27, 7, 8), (84, 5, 6)]",3,17_SCNUC_小于先生
福田站,"[(260, 13, 14)]",1,17_SCNUC_小于先生
站,"[(174, 9, 10)]",1,17_SCNUC_小于先生
粤港澳大湾区,"[(287, 3, 7), (290, 3, 6)]",2,17_SCNUC_小于先生
经济特区,"[(81, 5, 7)]",1,17_SCNUC_小于先生
罗湖,"[(47, 3, 4), (66, 5, 6), (66, 9, 10), (74, 17, 18), (74, 19, 20), (77, 22, 23), (90, 38, 39), (120, 15, 16), (174, 8, 9), (174, 11, 12), (176, 5, 6)]",11,17_SCNUC_小于先生
罗湖站,"[(175, 1, 3)]",1,17_SCNUC_小于先生
蛇口,"[(18, 24, 25), (25, 15, 16), (25, 22, 23), (37, 9, 10)]",4,17_SCNUC_小于先生
观澜,"[(80, 2, 3)]",1,17_SCNUC_小于先生
香港,"[(97, 35, 36), (121, 10, 11), (175, 16, 17), (200, 11, 12), (201, 0, 1), (203, 1, 2), (204, 9, 10), (205, 5, 6), (205, 33, 34), (218, 14, 15), (239, 3, 4), (239, 8, 9), (265, 6, 7), (290, 10, 11)]",14,17_SCNUC_小于先生
黄木岗,"[(148, 5, 6), (155, 20, 21), (259, 19, 20), (260, 15, 16)]",4,17_SCNUC_小于先生
黄木岗站,"[(152, 18, 20), (157, 0, 2)]",2,17_SCNUC_小于先生
黄阁坑,"[(223, 4, 5)]",1,17_SCNUC_小于先生
龙华,"[(60, 19, 20), (89, 3, 4), (89, 5, 6), (90, 1, 2), (90, 19, 20), (90, 33, 34), (90, 49, 50), (105, 2, 3), (252, 17, 18)]",9,17_SCNUC_小于先生
龙华新区,"[(59, 15, 17)]",1,17_SCNUC_小于先生
龙城,"[(13, 16, 17), (14, 7, 8), (26, 17, 18), (78, 24, 25)]",4,17_SCNUC_小于先生
龙城公园站,"[(152, 13, 16)]",1,17_SCNUC_小于先生
龙岗,"[(14, 5, 6), (28, 7, 8), (33, 4, 5), (37, 4, 5), (41, 6, 7), (43, 24, 25), (44, 6, 7), (54, 8, 9), (54, 11, 12), (75, 7, 8), (77, 11, 12), (78, 5, 6), (78, 17, 18), (79, 13, 14), (92, 11, 12), (132, 13, 14), (195, 2, 3), (243, 7, 8), (254, 17, 18), (269, 8, 9), (270, 2, 3), (270, 17, 18), (271, 6, 7), (272, 16, 17), (275, 1, 2), (277, 39, 40), (286, 28, 29)]",27,17_SCNUC_小于先生
龙岗区,"[(13, 15, 16), (19, 8, 9), (21, 5, 6), (26, 9, 10), (26, 16, 17), (53, 24, 25), (58, 16, 17), (133, 17, 18), (134, 31, 32)]",9,17_SCNUC_小于先生
龙岗大道,"[(277, 82, 84)]",1,17_SCNUC_小于先生
龙岩,"[(43, 25, 26)]",1,17_SCNUC_小于先生
龙平路,"[(277, 69, 70)]",1,17_SCNUC_小于先生
