location_name,value,count,filename
东莞,"[(331, 3, 4), (423, 10, 11), (423, 16, 17), (423, 20, 21), (424, 11, 12), (426, 2, 3), (427, 1, 2), (430, 1, 2), (430, 11, 12), (432, 1, 2), (433, 1, 2)]",11,19_sustech_qk_He
凤岗,"[(425, 4, 5), (426, 3, 4), (426, 6, 7), (426, 31, 32)]",4,19_sustech_qk_He
前海,"[(114, 69, 70)]",1,19_sustech_qk_He
南山,"[(114, 65, 66), (225, 17, 18)]",2,19_sustech_qk_He
坂田,"[(16, 2, 3), (41, 9, 10), (97, 11, 12), (137, 3, 4), (137, 9, 10), (137, 18, 19), (143, 7, 8)]",7,19_sustech_qk_He
坂田市场,"[(143, 3, 5)]",1,19_sustech_qk_He
坪山,"[(404, 20, 21)]",1,19_sustech_qk_He
塘厦,"[(426, 5, 6), (426, 32, 33)]",2,19_sustech_qk_He
大亚湾,"[(269, 21, 22), (450, 15, 16), (451, 7, 8)]",3,19_sustech_qk_He
大湾,"[(445, 11, 12)]",1,19_sustech_qk_He
宝安,"[(44, 16, 17), (46, 0, 1), (48, 3, 4), (54, 4, 5), (57, 6, 7), (61, 32, 33), (66, 2, 3), (170, 1, 2)]",8,19_sustech_qk_He
尚美国际,"[(61, 10, 12)]",1,19_sustech_qk_He
岗厦,"[(221, 6, 7), (222, 1, 2), (223, 3, 4), (399, 23, 24), (402, 1, 2), (402, 4, 5)]",6,19_sustech_qk_He
布吉,"[(95, 7, 8), (97, 6, 7), (97, 22, 23), (197, 20, 21)]",4,19_sustech_qk_He
平湖,"[(94, 3, 4), (95, 0, 1)]",2,19_sustech_qk_He
广州,"[(197, 34, 35), (199, 2, 3), (314, 20, 21), (315, 1, 2), (315, 8, 9), (316, 3, 4), (316, 19, 20), (320, 2, 3), (321, 8, 9)]",9,19_sustech_qk_He
惠州,"[(278, 32, 33), (331, 5, 6), (400, 17, 18), (404, 24, 25), (406, 10, 11), (435, 1, 2), (436, 9, 10), (436, 23, 24), (442, 1, 2), (445, 2, 3), (446, 2, 3)]",11,19_sustech_qk_He
桃园,"[(47, 8, 9), (48, 4, 5)]",2,19_sustech_qk_He
沙田,"[(183, 2, 3), (399, 19, 20), (400, 2, 3), (400, 5, 6), (453, 4, 5)]",5,19_sustech_qk_He
深圳,"[(8, 5, 6), (26, 14, 15), (27, 3, 4), (30, 2, 3), (41, 5, 6), (80, 12, 13), (111, 5, 6), (112, 1, 2), (112, 4, 5), (114, 5, 6), (114, 71, 72), (117, 13, 14), (122, 11, 12), (189, 12, 13), (194, 1, 2), (195, 3, 4), (195, 8, 9), (197, 24, 25), (197, 28, 29), (201, 4, 5), (239, 13, 14), (254, 1, 2), (254, 11, 12), (269, 20, 21), (293, 22, 23), (314, 7, 8), (316, 8, 9), (319, 3, 4), (320, 23, 24), (321, 11, 12), (330, 8, 9), (367, 7, 8), (368, 4, 5), (369, 2, 3), (370, 3, 4), (397, 39, 40), (398, 5, 6), (399, 8, 9), (399, 11, 12), (399, 37, 38), (400, 13, 14), (404, 64, 65), (404, 68, 69), (431, 2, 3), (434, 2, 3), (445, 4, 5), (446, 9, 10), (456, 7, 8), (481, 4, 5), (483, 22, 23)]",50,19_sustech_qk_He
深圳书城,"[(191, 9, 11)]",1,19_sustech_qk_He
深圳北,"[(244, 0, 1)]",1,19_sustech_qk_He
福永,"[(495, 6, 7), (500, 28, 29)]",2,19_sustech_qk_He
福田,"[(44, 3, 4), (63, 6, 7), (114, 60, 61), (243, 14, 15), (399, 14, 15), (399, 42, 43), (404, 16, 17), (493, 5, 6), (500, 23, 24)]",9,19_sustech_qk_He
竹子林,"[(63, 10, 11)]",1,19_sustech_qk_He
罗湖,"[(114, 36, 37), (404, 14, 15)]",2,19_sustech_qk_He
茶光,"[(225, 16, 17)]",1,19_sustech_qk_He
西丽,"[(223, 16, 17), (224, 5, 6), (477, 6, 7), (478, 0, 1), (492, 10, 11), (493, 0, 1), (493, 11, 12)]",7,19_sustech_qk_He
西乡,"[(57, 8, 9), (58, 5, 6)]",2,19_sustech_qk_He
观澜,"[(86, 11, 12), (86, 18, 19), (90, 8, 9), (94, 2, 3)]",4,19_sustech_qk_He
车公庙,"[(63, 8, 9), (209, 21, 22), (209, 25, 26), (216, 14, 15)]",4,19_sustech_qk_He
长岭陂,"[(475, 15, 16), (475, 35, 36), (476, 29, 30)]",3,19_sustech_qk_He
龙岗,"[(16, 1, 2), (17, 1, 2), (41, 10, 11), (404, 18, 19)]",4,19_sustech_qk_He
