location_name,value,count,filename
三联公园,"[(131, 30, 32)]",1,1_SZUZJY_深圳本地人林女士
东莞,"[(77, 13, 14)]",1,1_SZUZJY_深圳本地人林女士
东门,"[(72, 24, 25), (72, 26, 27)]",2,1_SZUZJY_深圳本地人林女士
光明,"[(44, 0, 1), (51, 15, 16), (53, 26, 27), (77, 19, 20)]",4,1_SZUZJY_深圳本地人林女士
关内,"[(51, 34, 35)]",1,1_SZUZJY_深圳本地人林女士
南山,"[(43, 9, 10), (45, 12, 13), (50, 34, 35), (53, 16, 17), (54, 18, 19), (54, 52, 53), (77, 38, 39), (87, 32, 33), (87, 39, 40), (87, 56, 57), (88, 0, 1), (89, 4, 5), (112, 4, 5)]",13,1_SZUZJY_深圳本地人林女士
南山科技园,"[(169, 18, 20), (195, 8, 10)]",2,1_SZUZJY_深圳本地人林女士
坪山,"[(53, 32, 33)]",1,1_SZUZJY_深圳本地人林女士
增城,"[(134, 26, 27)]",1,1_SZUZJY_深圳本地人林女士
大浪,"[(20, 22, 23)]",1,1_SZUZJY_深圳本地人林女士
官田,"[(22, 16, 17), (28, 16, 17), (32, 43, 44)]",3,1_SZUZJY_深圳本地人林女士
官田站,"[(144, 16, 17)]",1,1_SZUZJY_深圳本地人林女士
宝安,"[(11, 6, 7), (14, 2, 3), (43, 11, 12), (45, 16, 17), (46, 28, 29), (46, 50, 51), (46, 60, 61), (46, 68, 69), (50, 30, 31), (53, 23, 24), (67, 7, 8), (67, 10, 11), (72, 8, 9), (72, 16, 17), (74, 4, 5)]",15,1_SZUZJY_深圳本地人林女士
宝安区,"[(47, 13, 14)]",1,1_SZUZJY_深圳本地人林女士
梅林关,"[(102, 31, 32)]",1,1_SZUZJY_深圳本地人林女士
民治,"[(20, 26, 27)]",1,1_SZUZJY_深圳本地人林女士
河背,"[(8, 36, 37)]",1,1_SZUZJY_深圳本地人林女士
浪民治,"[(11, 19, 20)]",1,1_SZUZJY_深圳本地人林女士
深圳,"[(1, 33, 34), (1, 61, 62), (4, 8, 9), (12, 13, 14), (15, 3, 4), (34, 2, 3), (37, 11, 12), (37, 23, 24), (41, 9, 10), (47, 23, 24), (50, 42, 43), (69, 6, 7), (76, 3, 4), (81, 12, 13), (84, 8, 9), (84, 27, 28), (86, 5, 6), (87, 84, 85), (93, 6, 7), (94, 16, 17), (119, 3, 4), (148, 1, 2), (174, 8, 9), (185, 11, 12), (186, 3, 4), (186, 19, 20), (189, 15, 16), (190, 6, 7), (190, 9, 10), (202, 5, 6), (204, 3, 4), (206, 6, 7), (208, 4, 5), (209, 1, 2), (209, 7, 8), (212, 14, 15), (213, 7, 8), (213, 74, 75), (213, 84, 85), (214, 37, 38), (214, 62, 63), (214, 70, 71), (214, 80, 81)]",43,1_SZUZJY_深圳本地人林女士
深圳市,"[(74, 29, 30), (85, 3, 4), (92, 5, 6)]",3,1_SZUZJY_深圳本地人林女士
清远,"[(134, 28, 29)]",1,1_SZUZJY_深圳本地人林女士
石岩,"[(11, 7, 8), (17, 7, 8), (22, 10, 11), (28, 22, 23), (32, 42, 43)]",5,1_SZUZJY_深圳本地人林女士
福田,"[(45, 10, 11), (50, 28, 29), (53, 17, 18), (54, 19, 20), (59, 4, 5), (65, 0, 1), (74, 34, 35), (77, 33, 34), (120, 16, 17)]",9,1_SZUZJY_深圳本地人林女士
福田区,"[(87, 46, 47)]",1,1_SZUZJY_深圳本地人林女士
罗湖,"[(45, 14, 15), (50, 33, 34), (53, 18, 19), (58, 3, 4), (59, 2, 3), (74, 36, 37), (77, 35, 36)]",7,1_SZUZJY_深圳本地人林女士
蛇口,"[(20, 18, 19), (22, 14, 15), (28, 11, 12)]",3,1_SZUZJY_深圳本地人林女士
观澜,"[(20, 24, 25)]",1,1_SZUZJY_深圳本地人林女士
贵州,"[(77, 15, 16)]",1,1_SZUZJY_深圳本地人林女士
香港,"[(120, 19, 20), (198, 9, 10), (198, 13, 14), (200, 5, 6), (203, 2, 3), (204, 6, 7)]",6,1_SZUZJY_深圳本地人林女士
龙华,"[(8, 8, 9), (11, 17, 18), (11, 33, 34), (13, 7, 8), (17, 12, 13), (17, 21, 22), (20, 20, 21), (22, 12, 13), (28, 13, 14), (46, 43, 44), (46, 49, 50), (51, 16, 17), (53, 24, 25), (67, 23, 24), (98, 3, 4), (102, 6, 7), (102, 8, 9), (102, 64, 65), (112, 5, 6), (120, 12, 13), (131, 15, 16)]",21,1_SZUZJY_深圳本地人林女士
龙华地铁站,"[(144, 4, 6)]",1,1_SZUZJY_深圳本地人林女士
龙华站,"[(195, 6, 7), (195, 20, 21)]",2,1_SZUZJY_深圳本地人林女士
龙岗,"[(50, 8, 9), (51, 17, 18), (53, 27, 28), (67, 21, 22), (77, 17, 18)]",5,1_SZUZJY_深圳本地人林女士
龙门,"[(134, 24, 25)]",1,1_SZUZJY_深圳本地人林女士
