location_name,value,count,filename
万象城,"[(82, 18, 19), (177, 12, 13), (177, 14, 15)]",3,2_JNU LLW_DB
东站,"[(131, 65, 66)]",1,2_JNU LLW_DB
南山,"[(18, 6, 7), (84, 26, 27), (84, 70, 71), (85, 8, 9), (100, 28, 29), (271, 33, 34), (280, 14, 15), (326, 10, 11)]",8,2_JNU LLW_DB
南山区,"[(17, 2, 3)]",1,2_JNU LLW_DB
吉祥,"[(95, 39, 40)]",1,2_JNU LLW_DB
安托山,"[(74, 40, 41)]",1,2_JNU LLW_DB
宝安,"[(84, 46, 47), (86, 3, 4), (100, 37, 38), (307, 24, 25)]",4,2_JNU LLW_DB
宝安机场,"[(309, 74, 76)]",1,2_JNU LLW_DB
岗厦,"[(354, 10, 11), (356, 72, 73)]",2,2_JNU LLW_DB
布吉,"[(6, 6, 7), (21, 8, 9), (84, 56, 57), (85, 14, 15), (100, 35, 36), (129, 8, 9), (131, 55, 56), (135, 9, 10), (135, 26, 27), (150, 1, 2), (185, 26, 27), (354, 8, 9), (356, 6, 7), (356, 15, 16)]",14,2_JNU LLW_DB
广东省,"[(350, 26, 27)]",1,2_JNU LLW_DB
广州,"[(204, 21, 22), (206, 44, 45), (370, 26, 27), (378, 13, 14), (383, 13, 14), (388, 10, 11), (389, 6, 7), (391, 4, 5)]",8,2_JNU LLW_DB
文锦渡,"[(123, 21, 22)]",1,2_JNU LLW_DB
杭州,"[(370, 14, 15), (383, 9, 10)]",2,2_JNU LLW_DB
桂园,"[(14, 34, 35)]",1,2_JNU LLW_DB
深圳,"[(12, 11, 12), (61, 13, 14), (66, 4, 5), (66, 28, 29), (66, 49, 50), (72, 27, 28), (73, 4, 5), (73, 16, 17), (76, 18, 19), (76, 27, 28), (83, 11, 12), (84, 12, 13), (86, 12, 13), (87, 5, 6), (97, 24, 25), (115, 30, 31), (117, 11, 12), (157, 16, 17), (191, 9, 10), (196, 8, 9), (197, 3, 4), (264, 12, 13), (270, 12, 13), (270, 22, 23), (271, 17, 18), (274, 13, 14), (275, 74, 75), (275, 85, 86), (290, 27, 28), (333, 19, 20), (334, 39, 40), (336, 55, 56), (336, 71, 72), (337, 4, 5), (342, 4, 5), (343, 5, 6), (345, 18, 19), (348, 7, 8), (351, 9, 10), (378, 17, 18), (387, 11, 12), (387, 17, 18), (387, 23, 24), (394, 21, 22), (395, 4, 5), (397, 1, 2), (409, 13, 14), (411, 10, 11)]",48,2_JNU LLW_DB
深大,"[(362, 10, 11)]",1,2_JNU LLW_DB
清远,"[(56, 45, 46)]",1,2_JNU LLW_DB
珠海,"[(206, 23, 24), (208, 5, 6)]",2,2_JNU LLW_DB
福田,"[(66, 68, 69), (70, 6, 7), (82, 52, 53), (84, 69, 70), (100, 19, 20), (123, 16, 17), (123, 17, 18), (125, 12, 13), (280, 12, 13)]",9,2_JNU LLW_DB
福田区,"[(43, 31, 32), (66, 69, 70)]",2,2_JNU LLW_DB
科苑,"[(364, 3, 4)]",1,2_JNU LLW_DB
红岭岭,"[(274, 30, 31)]",1,2_JNU LLW_DB
罗湖,"[(79, 15, 16), (82, 38, 39), (84, 68, 69), (100, 10, 11), (123, 25, 26), (125, 15, 16), (131, 57, 58), (172, 7, 8), (185, 29, 30), (271, 57, 58), (280, 13, 14), (294, 88, 89), (295, 2, 3), (326, 8, 9), (356, 20, 21)]",15,2_JNU LLW_DB
罗湖区,"[(14, 32, 33), (43, 39, 40), (66, 80, 81), (67, 14, 15), (70, 12, 13), (70, 19, 20), (109, 3, 4)]",7,2_JNU LLW_DB
老街,"[(174, 4, 5)]",1,2_JNU LLW_DB
肇庆,"[(56, 40, 41), (204, 23, 24), (208, 10, 11)]",3,2_JNU LLW_DB
蛇口,"[(271, 36, 37)]",1,2_JNU LLW_DB
街道,"[(14, 35, 36)]",1,2_JNU LLW_DB
车公庙,"[(354, 14, 15), (356, 74, 75)]",2,2_JNU LLW_DB
青岛,"[(370, 9, 10)]",1,2_JNU LLW_DB
韶关,"[(56, 37, 38), (208, 8, 9)]",2,2_JNU LLW_DB
香港,"[(123, 31, 32), (125, 4, 5), (139, 9, 10), (141, 20, 21), (206, 26, 27), (370, 23, 24), (383, 11, 12), (388, 16, 17), (389, 10, 11), (391, 5, 6), (392, 6, 7)]",11,2_JNU LLW_DB
黄贝岭,"[(274, 29, 30)]",1,2_JNU LLW_DB
龙华,"[(86, 7, 8), (100, 39, 40), (309, 11, 12), (356, 65, 66)]",4,2_JNU LLW_DB
龙岗,"[(95, 18, 19), (95, 42, 43), (307, 28, 29), (356, 17, 18)]",4,2_JNU LLW_DB
