location_name,value,count,filename
上海,"[(386, 3, 4), (388, 7, 8)]",2,2_JNU LLW_LXS
中心,"[(378, 3, 4)]",1,2_JNU LLW_LXS
中心路,"[(214, 24, 25)]",1,2_JNU LLW_LXS
六合村,"[(497, 1, 2)]",1,2_JNU LLW_LXS
前海,"[(223, 8, 9), (229, 5, 6), (229, 6, 7), (232, 49, 50), (271, 11, 12), (276, 3, 4), (280, 5, 6), (281, 14, 15), (286, 4, 5), (286, 13, 14), (287, 3, 4), (292, 10, 11), (300, 8, 9), (327, 2, 3), (402, 39, 40), (402, 44, 45)]",16,2_JNU LLW_LXS
华强北,"[(243, 8, 9), (245, 5, 6), (254, 3, 4)]",3,2_JNU LLW_LXS
华润,"[(264, 11, 12)]",1,2_JNU LLW_LXS
华润大厦,"[(268, 11, 13)]",1,2_JNU LLW_LXS
南山,"[(214, 8, 9), (214, 16, 17), (215, 3, 4), (219, 12, 13), (219, 17, 18), (232, 36, 37), (240, 5, 6), (241, 6, 7), (256, 11, 12), (257, 6, 7), (257, 13, 14), (258, 6, 7), (258, 13, 14), (260, 4, 5), (261, 3, 4), (264, 3, 4), (400, 3, 4), (401, 3, 4), (402, 6, 7), (402, 12, 13)]",20,2_JNU LLW_LXS
南山区,"[(290, 1, 2), (401, 9, 10)]",2,2_JNU LLW_LXS
后海,"[(292, 5, 6)]",1,2_JNU LLW_LXS
后海大道,"[(214, 19, 20), (219, 19, 20)]",2,2_JNU LLW_LXS
后海滨,"[(214, 21, 22)]",1,2_JNU LLW_LXS
城中村,"[(424, 3, 4), (445, 29, 30)]",2,2_JNU LLW_LXS
大冲,"[(264, 16, 17), (424, 7, 8), (424, 9, 10), (488, 8, 9)]",4,2_JNU LLW_LXS
大冲村,"[(264, 1, 2), (264, 4, 5), (268, 3, 4), (269, 3, 4), (424, 5, 6)]",5,2_JNU LLW_LXS
平山,"[(664, 17, 18)]",1,2_JNU LLW_LXS
成都,"[(666, 11, 12), (666, 13, 14), (667, 6, 7)]",3,2_JNU LLW_LXS
木棉湾,"[(557, 9, 10), (563, 19, 20), (563, 20, 21)]",3,2_JNU LLW_LXS
木棉湾地铁站,"[(489, 6, 8)]",1,2_JNU LLW_LXS
松岗,"[(39, 3, 4), (39, 6, 7), (133, 19, 20), (135, 6, 7)]",4,2_JNU LLW_LXS
松岗村,"[(38, 4, 5)]",1,2_JNU LLW_LXS
横岗,"[(353, 3, 4), (354, 5, 6), (358, 5, 6), (467, 5, 6), (470, 3, 4), (470, 6, 7), (488, 27, 28), (493, 9, 10), (494, 3, 4), (495, 3, 4), (559, 11, 12)]",11,2_JNU LLW_LXS
水贝,"[(135, 10, 11)]",1,2_JNU LLW_LXS
沙河,"[(219, 23, 24)]",1,2_JNU LLW_LXS
洪湖,"[(126, 6, 7), (127, 4, 5), (131, 8, 9), (143, 6, 7)]",4,2_JNU LLW_LXS
洪湖公园,"[(126, 12, 14), (126, 23, 25)]",2,2_JNU LLW_LXS
深圳,"[(6, 8, 9), (12, 13, 14), (24, 8, 9), (24, 13, 14), (43, 5, 6), (44, 3, 4), (45, 11, 12), (45, 18, 19), (47, 11, 12), (48, 4, 5), (49, 6, 7), (52, 12, 13), (53, 8, 9), (60, 9, 10), (183, 10, 11), (187, 5, 6), (189, 8, 9), (198, 14, 15), (198, 28, 29), (199, 3, 4), (199, 14, 15), (234, 9, 10), (235, 3, 4), (258, 4, 5), (411, 6, 7), (413, 8, 9), (446, 7, 8), (480, 7, 8), (499, 5, 6), (506, 11, 12), (507, 5, 6), (512, 4, 5), (512, 6, 7), (513, 16, 17), (591, 12, 13), (591, 33, 34), (593, 7, 8), (597, 29, 30), (616, 22, 23), (624, 12, 13), (627, 1, 2), (628, 12, 13), (629, 3, 4), (636, 3, 4), (645, 24, 25), (658, 3, 4), (659, 8, 9), (668, 4, 5), (668, 9, 10), (668, 12, 13), (669, 4, 5)]",51,2_JNU LLW_LXS
深圳市,"[(244, 11, 12), (245, 3, 4)]",2,2_JNU LLW_LXS
深港,"[(311, 3, 4)]",1,2_JNU LLW_LXS
滨海大,"[(214, 20, 21)]",1,2_JNU LLW_LXS
爱联,"[(563, 22, 23)]",1,2_JNU LLW_LXS
田庙,"[(383, 4, 5)]",1,2_JNU LLW_LXS
白石洲,"[(531, 6, 7)]",1,2_JNU LLW_LXS
福山,"[(383, 3, 4), (383, 6, 7), (392, 4, 5), (394, 3, 4)]",4,2_JNU LLW_LXS
福济,"[(488, 20, 21)]",1,2_JNU LLW_LXS
福田,"[(166, 9, 10), (168, 3, 4), (169, 7, 8), (201, 9, 10), (206, 10, 11), (214, 5, 6), (232, 34, 35), (241, 4, 5), (256, 9, 10), (257, 5, 6), (346, 5, 6), (402, 9, 10), (405, 8, 9), (446, 14, 15), (447, 3, 4)]",15,2_JNU LLW_LXS
福田区,"[(205, 3, 4), (206, 5, 6)]",2,2_JNU LLW_LXS
福田汽车站,"[(653, 0, 2)]",1,2_JNU LLW_LXS
福田滨海大道,"[(232, 20, 23)]",1,2_JNU LLW_LXS
福田站,"[(659, 11, 12)]",1,2_JNU LLW_LXS
福福田,"[(446, 9, 10)]",1,2_JNU LLW_LXS
罗湖,"[(24, 15, 16), (29, 14, 15), (39, 5, 6), (62, 5, 6), (64, 10, 11), (65, 5, 6), (68, 5, 6), (69, 4, 5), (115, 3, 4), (115, 7, 8), (116, 3, 4), (118, 7, 8), (124, 3, 4), (133, 11, 12), (133, 17, 18), (166, 8, 9), (168, 1, 2), (169, 6, 7), (170, 4, 5), (527, 5, 6), (528, 3, 4), (531, 10, 11)]",22,2_JNU LLW_LXS
罗湖站,"[(646, 3, 4)]",1,2_JNU LLW_LXS
莲塘,"[(62, 7, 8), (64, 3, 4), (64, 9, 10), (64, 11, 12), (65, 6, 7), (91, 2, 3), (92, 4, 5), (135, 8, 9)]",8,2_JNU LLW_LXS
莲花山公园,"[(369, 4, 6)]",1,2_JNU LLW_LXS
蛇口,"[(298, 5, 6), (299, 3, 4), (301, 5, 6), (303, 3, 4), (304, 3, 4), (306, 0, 1), (330, 4, 5)]",7,2_JNU LLW_LXS
蛇口港,"[(302, 6, 7), (307, 3, 4), (321, 7, 8)]",3,2_JNU LLW_LXS
蛇口自贸区,"[(302, 12, 14)]",1,2_JNU LLW_LXS
赤湾,"[(315, 4, 5), (333, 3, 4), (333, 7, 8)]",3,2_JNU LLW_LXS
车公庙,"[(201, 10, 11)]",1,2_JNU LLW_LXS
铜锣湾,"[(254, 14, 15)]",1,2_JNU LLW_LXS
铜锣湾商场,"[(255, 5, 7)]",1,2_JNU LLW_LXS
长岭,"[(65, 7, 8), (66, 3, 4)]",2,2_JNU LLW_LXS
长岭村,"[(64, 12, 13)]",1,2_JNU LLW_LXS
龙岗,"[(465, 18, 19), (471, 3, 4), (494, 5, 6), (497, 5, 6)]",4,2_JNU LLW_LXS
龙岗大道,"[(471, 17, 19)]",1,2_JNU LLW_LXS
