location_name,value,count,filename
三亚,"[(15, 10, 11)]",1,2_JNU LLW_SYJZ
上海,"[(190, 4, 5), (191, 17, 18), (220, 8, 9), (222, 5, 6), (223, 3, 4), (228, 13, 14), (228, 32, 33), (229, 4, 5), (229, 36, 37), (229, 38, 39), (231, 41, 42), (231, 76, 77), (232, 4, 5), (233, 30, 31), (234, 26, 27), (288, 49, 50), (288, 54, 55), (288, 60, 61), (303, 0, 1)]",19,2_JNU LLW_SYJZ
上海宾馆,"[(27, 19, 21), (287, 46, 48), (297, 31, 33)]",3,2_JNU LLW_SYJZ
中国,"[(57, 5, 6)]",1,2_JNU LLW_SYJZ
前海,"[(56, 12, 13), (114, 16, 17), (116, 36, 37)]",3,2_JNU LLW_SYJZ
北京,"[(223, 6, 7), (225, 8, 9), (225, 13, 14), (225, 51, 52), (227, 3, 4), (227, 62, 63), (227, 68, 69), (228, 3, 4), (228, 9, 10), (231, 39, 40), (231, 78, 79), (232, 5, 6), (233, 29, 30), (234, 25, 26), (302, 4, 5)]",15,2_JNU LLW_SYJZ
华强北,"[(27, 23, 24), (287, 49, 50)]",2,2_JNU LLW_SYJZ
华强路,"[(156, 4, 5)]",1,2_JNU LLW_SYJZ
华润万象天地,"[(130, 23, 26)]",1,2_JNU LLW_SYJZ
南山,"[(53, 67, 68), (124, 3, 4), (162, 46, 47), (268, 54, 55), (289, 32, 33), (294, 4, 5), (294, 7, 8)]",7,2_JNU LLW_SYJZ
南山区,"[(4, 25, 26), (13, 13, 14), (15, 17, 18), (16, 18, 19), (300, 10, 11), (300, 14, 15)]",6,2_JNU LLW_SYJZ
同乐关,"[(85, 47, 48)]",1,2_JNU LLW_SYJZ
后海,"[(56, 9, 10), (59, 13, 14), (113, 12, 13), (114, 10, 11), (114, 14, 15), (116, 3, 4), (116, 31, 32), (165, 11, 12), (294, 20, 21)]",9,2_JNU LLW_SYJZ
大冲,"[(127, 16, 17), (128, 18, 19)]",2,2_JNU LLW_SYJZ
大铲湾,"[(118, 22, 23), (120, 2, 3)]",2,2_JNU LLW_SYJZ
天地区域,"[(300, 26, 28)]",1,2_JNU LLW_SYJZ
宝安,"[(56, 11, 12), (59, 15, 16), (69, 14, 15), (124, 4, 5), (212, 35, 36), (289, 33, 34), (294, 29, 30)]",7,2_JNU LLW_SYJZ
岗厦北,"[(307, 10, 11), (307, 12, 13)]",2,2_JNU LLW_SYJZ
广东,"[(296, 26, 27)]",1,2_JNU LLW_SYJZ
沈阳,"[(176, 72, 73)]",1,2_JNU LLW_SYJZ
沙河路,"[(99, 2, 3), (100, 3, 4)]",2,2_JNU LLW_SYJZ
海南,"[(15, 9, 10), (176, 69, 70)]",2,2_JNU LLW_SYJZ
深圳,"[(3, 8, 9), (7, 6, 7), (20, 6, 7), (47, 19, 20), (48, 28, 29), (48, 42, 43), (49, 24, 25), (53, 45, 46), (55, 4, 5), (57, 3, 4), (63, 31, 32), (65, 15, 16), (123, 17, 18), (125, 19, 20), (127, 37, 38), (127, 48, 49), (130, 29, 30), (136, 12, 13), (136, 15, 16), (137, 15, 16), (140, 8, 9), (142, 12, 13), (188, 3, 4), (190, 82, 83), (192, 5, 6), (201, 19, 20), (206, 2, 3), (212, 8, 9), (215, 2, 3), (216, 58, 59), (225, 4, 5), (225, 34, 35), (225, 71, 72), (226, 11, 12), (227, 13, 14), (227, 78, 79), (231, 7, 8), (231, 64, 65), (237, 9, 10), (237, 49, 50), (237, 74, 75), (238, 26, 27), (238, 35, 36), (244, 0, 1), (246, 16, 17), (249, 17, 18), (249, 43, 44), (249, 60, 61), (249, 66, 67), (250, 9, 10), (250, 15, 16), (250, 36, 37), (260, 31, 32), (260, 46, 47), (260, 72, 73), (261, 6, 7), (271, 7, 8), (273, 19, 20), (273, 49, 50), (280, 12, 13), (288, 32, 33), (290, 13, 14), (291, 13, 14), (291, 24, 25), (293, 19, 20), (294, 41, 42), (296, 1, 2), (296, 11, 12), (297, 15, 16), (303, 15, 16), (303, 61, 62), (306, 11, 12), (324, 34, 35), (324, 78, 79), (325, 21, 22), (327, 4, 5), (327, 20, 21), (328, 11, 12), (332, 86, 87)]",79,2_JNU LLW_SYJZ
深圳市,"[(4, 24, 25), (144, 3, 4), (201, 34, 35)]",3,2_JNU LLW_SYJZ
深圳机场,"[(136, 91, 93), (137, 1, 3), (164, 15, 17)]",3,2_JNU LLW_SYJZ
深圳机场深圳机场,"[(132, 10, 14)]",1,2_JNU LLW_SYJZ
深圳湾,"[(297, 2, 3), (298, 67, 68)]",2,2_JNU LLW_SYJZ
深圳火车站,"[(72, 12, 14)]",1,2_JNU LLW_SYJZ
福田,"[(49, 16, 17), (49, 33, 34), (59, 4, 5), (123, 33, 34), (268, 56, 57), (288, 36, 37), (289, 31, 32), (294, 2, 3)]",8,2_JNU LLW_SYJZ
罗湖,"[(27, 25, 26), (48, 60, 61), (48, 61, 62), (59, 3, 4), (68, 5, 6), (69, 17, 18), (85, 17, 18), (85, 32, 33), (123, 31, 32), (152, 21, 22), (216, 37, 38), (287, 51, 52), (287, 57, 58), (288, 34, 35), (293, 30, 31), (293, 37, 38), (293, 80, 81)]",17,2_JNU LLW_SYJZ
罗湖区,"[(49, 11, 12)]",1,2_JNU LLW_SYJZ
蛇口,"[(46, 74, 75), (47, 4, 5), (289, 34, 35)]",3,2_JNU LLW_SYJZ
阿里,"[(116, 7, 8)]",1,2_JNU LLW_SYJZ
香港,"[(48, 53, 54), (72, 9, 10), (79, 17, 18), (324, 23, 24)]",4,2_JNU LLW_SYJZ
香蜜湖,"[(289, 27, 28)]",1,2_JNU LLW_SYJZ
龙华,"[(176, 36, 37), (268, 62, 63)]",2,2_JNU LLW_SYJZ
龙岗,"[(268, 63, 64)]",1,2_JNU LLW_SYJZ
