location_name,value,count,filename
万象汇,"[(164, 22, 23), (164, 57, 58)]",2,3_SZTUWWX_许女士
上海,"[(379, 15, 16), (385, 4, 5), (386, 3, 4), (386, 6, 7), (386, 21, 22), (386, 34, 35), (386, 49, 50), (394, 0, 1)]",8,3_SZTUWWX_许女士
东门,"[(154, 13, 14)]",1,3_SZTUWWX_许女士
南山,"[(21, 4, 5), (63, 6, 7), (64, 3, 4), (114, 11, 12), (144, 2, 3), (144, 3, 4)]",6,3_SZTUWWX_许女士
南山区,"[(61, 33, 34), (61, 35, 36)]",2,3_SZTUWWX_许女士
南湾,"[(14, 3, 4), (45, 16, 17)]",2,3_SZTUWWX_许女士
南湾街道,"[(159, 4, 6)]",1,3_SZTUWWX_许女士
厦门,"[(377, 11, 12), (377, 21, 22)]",2,3_SZTUWWX_许女士
天虹,"[(71, 14, 15)]",1,3_SZTUWWX_许女士
宝安,"[(144, 37, 38), (144, 39, 40)]",2,3_SZTUWWX_许女士
岗厦,"[(251, 5, 6), (260, 6, 7), (261, 7, 8)]",3,3_SZTUWWX_许女士
布吉,"[(36, 2, 3), (71, 11, 12), (253, 26, 27), (254, 4, 5), (256, 0, 1), (258, 1, 2), (258, 6, 7)]",7,3_SZTUWWX_许女士
布吉站,"[(152, 15, 17)]",1,3_SZTUWWX_许女士
广州,"[(379, 12, 13), (380, 3, 4), (380, 10, 11)]",3,3_SZTUWWX_许女士
日本,"[(420, 41, 42)]",1,3_SZTUWWX_许女士
木棉湾,"[(162, 41, 42), (279, 37, 38), (279, 46, 47), (291, 16, 17), (293, 12, 13), (299, 10, 11), (316, 45, 46)]",7,3_SZTUWWX_许女士
杭州,"[(379, 19, 20)]",1,3_SZTUWWX_许女士
梅林,"[(220, 14, 15)]",1,3_SZTUWWX_许女士
梅林站,"[(212, 9, 10), (214, 23, 24)]",2,3_SZTUWWX_许女士
水山园,"[(302, 0, 1)]",1,3_SZTUWWX_许女士
深圳,"[(1, 38, 39), (5, 14, 15), (6, 11, 12), (10, 10, 11), (68, 7, 8), (88, 10, 11), (88, 31, 32), (90, 43, 44), (91, 30, 31), (91, 82, 83), (92, 26, 27), (93, 11, 12), (93, 52, 53), (98, 18, 19), (98, 29, 30), (112, 8, 9), (114, 1, 2), (150, 11, 12), (182, 18, 19), (184, 12, 13), (184, 23, 24), (185, 54, 55), (188, 86, 87), (195, 52, 53), (195, 61, 62), (332, 6, 7), (352, 3, 4), (352, 17, 18), (355, 14, 15), (356, 43, 44), (357, 4, 5), (357, 7, 8), (358, 13, 14), (367, 6, 7), (367, 22, 23), (369, 6, 7), (376, 14, 15), (377, 39, 40), (377, 67, 68), (377, 68, 69), (380, 26, 27), (382, 11, 12), (390, 2, 3), (394, 26, 27), (395, 10, 11), (399, 16, 17), (412, 7, 8)]",47,3_SZTUWWX_许女士
深圳书城,"[(100, 73, 75)]",1,3_SZTUWWX_许女士
深圳博物馆,"[(242, 13, 15)]",1,3_SZTUWWX_许女士
深大站,"[(371, 9, 10)]",1,3_SZTUWWX_许女士
百鸽笼,"[(164, 13, 14), (229, 16, 17), (229, 23, 24)]",3,3_SZTUWWX_许女士
石芽岭,"[(160, 1, 2)]",1,3_SZTUWWX_许女士
福田,"[(15, 22, 23), (16, 17, 18), (17, 24, 25), (18, 10, 11), (100, 35, 36), (100, 58, 59), (100, 62, 63), (102, 12, 13), (114, 10, 11), (143, 2, 3), (225, 29, 30), (226, 0, 1), (238, 13, 14), (263, 13, 14), (279, 9, 10), (279, 52, 53), (281, 0, 1), (360, 22, 23), (360, 32, 33)]",19,3_SZTUWWX_许女士
红岭北,"[(220, 3, 4), (220, 7, 8)]",2,3_SZTUWWX_许女士
罗湖,"[(100, 48, 49), (114, 6, 7), (142, 18, 19)]",3,3_SZTUWWX_许女士
翠竹,"[(316, 47, 48)]",1,3_SZTUWWX_许女士
老街,"[(154, 16, 17)]",1,3_SZTUWWX_许女士
莲花,"[(28, 1, 2)]",1,3_SZTUWWX_许女士
莲花村,"[(281, 8, 9), (291, 20, 21), (299, 15, 16)]",3,3_SZTUWWX_许女士
车公庙,"[(366, 5, 6), (366, 7, 8), (366, 19, 20)]",3,3_SZTUWWX_许女士
金光华,"[(142, 30, 31)]",1,3_SZTUWWX_许女士
香港,"[(403, 11, 12), (403, 19, 20), (420, 27, 28)]",3,3_SZTUWWX_许女士
黄贝岭,"[(229, 25, 26), (229, 30, 31), (248, 8, 9)]",3,3_SZTUWWX_许女士
龙岗,"[(35, 3, 4), (45, 8, 9), (142, 3, 4)]",3,3_SZTUWWX_许女士
龙岗区,"[(14, 12, 13)]",1,3_SZTUWWX_许女士
