location_name,value,count,filename
5环,"[(652, 36, 37)]",1,3_SZTUWWX_谭女士霍先生
上海,"[(477, 48, 49), (648, 10, 11)]",2,3_SZTUWWX_谭女士霍先生
东莞,"[(168, 7, 8), (168, 8, 9), (168, 14, 15)]",3,3_SZTUWWX_谭女士霍先生
东莞地区,"[(341, 13, 15)]",1,3_SZTUWWX_谭女士霍先生
中国,"[(639, 31, 32)]",1,3_SZTUWWX_谭女士霍先生
中海,"[(63, 64, 65), (694, 49, 50)]",2,3_SZTUWWX_谭女士霍先生
中银,"[(63, 73, 74), (63, 75, 76), (111, 11, 12)]",3,3_SZTUWWX_谭女士霍先生
中银花园,"[(96, 15, 17)]",1,3_SZTUWWX_谭女士霍先生
丹竹头,"[(365, 15, 16)]",1,3_SZTUWWX_谭女士霍先生
五环,"[(652, 30, 31)]",1,3_SZTUWWX_谭女士霍先生
关内,"[(336, 8, 9)]",1,3_SZTUWWX_谭女士霍先生
关外,"[(363, 4, 5), (363, 6, 7)]",2,3_SZTUWWX_谭女士霍先生
凤凰山公园,"[(152, 17, 19)]",1,3_SZTUWWX_谭女士霍先生
北京,"[(427, 8, 9), (477, 46, 47), (630, 11, 12), (630, 20, 21), (648, 7, 8), (652, 27, 28), (656, 7, 8)]",7,3_SZTUWWX_谭女士霍先生
北斗,"[(119, 52, 53)]",1,3_SZTUWWX_谭女士霍先生
南山,"[(308, 14, 15), (318, 10, 11), (318, 18, 19), (318, 30, 31), (319, 5, 6), (320, 7, 8), (323, 7, 8), (330, 6, 7), (330, 20, 21), (342, 9, 10), (609, 15, 16), (610, 9, 10), (610, 19, 20), (611, 17, 18), (612, 3, 4), (612, 6, 7)]",16,3_SZTUWWX_谭女士霍先生
南山区,"[(211, 37, 38), (214, 5, 6), (311, 30, 31)]",3,3_SZTUWWX_谭女士霍先生
南沙河,"[(216, 4, 5)]",1,3_SZTUWWX_谭女士霍先生
印度,"[(639, 19, 20)]",1,3_SZTUWWX_谭女士霍先生
