location_name,value,count,filename
中国,"[(195, 17, 18)]",1,4_UT_LJY_UU
人民公园,"[(520, 7, 9)]",1,4_UT_LJY_UU
仙湖,"[(295, 28, 29), (295, 51, 52), (523, 4, 5)]",3,4_UT_LJY_UU
公园,"[(236, 41, 42)]",1,4_UT_LJY_UU
前海,"[(158, 9, 10), (158, 31, 32), (161, 28, 29), (161, 44, 45), (171, 27, 28), (272, 15, 16)]",6,4_UT_LJY_UU
北京,"[(57, 5, 6), (540, 2, 3), (542, 4, 5), (542, 18, 19), (543, 12, 13), (551, 52, 53)]",6,4_UT_LJY_UU
华强北,"[(195, 12, 13), (195, 14, 15)]",2,4_UT_LJY_UU
华润大厦人才公园,"[(172, 69, 73)]",1,4_UT_LJY_UU
南山,"[(27, 16, 17), (28, 8, 9), (31, 49, 50), (31, 67, 68), (50, 15, 16), (71, 5, 6), (73, 27, 28), (73, 45, 46), (74, 15, 16), (99, 6, 7), (106, 9, 10), (108, 36, 37), (157, 12, 13), (157, 31, 32), (158, 0, 1), (159, 5, 6), (160, 1, 2), (162, 15, 16), (163, 15, 16), (171, 21, 22), (189, 10, 11), (189, 13, 14), (190, 3, 4), (190, 47, 48)]",24,4_UT_LJY_UU
南山体育,"[(161, 10, 12)]",1,4_UT_LJY_UU
口岸,"[(193, 24, 25)]",1,4_UT_LJY_UU
吉星花园,"[(103, 7, 9)]",1,4_UT_LJY_UU
国贸大厦,"[(154, 19, 21), (154, 36, 38)]",2,4_UT_LJY_UU
坪山,"[(23, 5, 6), (28, 42, 43), (28, 52, 53), (32, 7, 8), (32, 24, 25), (33, 12, 13), (81, 6, 7), (81, 10, 11), (83, 3, 4), (83, 32, 33), (84, 7, 8), (86, 3, 4), (90, 7, 8), (93, 1, 2), (208, 3, 4), (219, 17, 18), (220, 80, 81), (221, 18, 19), (221, 23, 24), (222, 6, 7), (223, 24, 25), (226, 55, 56), (235, 12, 13), (236, 38, 39), (278, 29, 30), (278, 37, 38), (295, 45, 46), (296, 47, 48), (299, 11, 12), (514, 38, 39), (520, 26, 27), (593, 12, 13), (593, 16, 17), (596, 12, 13), (598, 27, 28), (598, 45, 46)]",36,4_UT_LJY_UU
坪山新区,"[(28, 27, 29)]",1,4_UT_LJY_UU
大中华区,"[(237, 35, 36)]",1,4_UT_LJY_UU
天安门,"[(552, 3, 4)]",1,4_UT_LJY_UU
宝安,"[(299, 6, 7)]",1,4_UT_LJY_UU
岗厦北,"[(532, 14, 15)]",1,4_UT_LJY_UU
布吉,"[(30, 9, 10), (30, 21, 22), (31, 25, 26), (31, 40, 41), (53, 3, 4), (53, 8, 9), (56, 45, 46), (64, 20, 21), (65, 9, 10), (68, 5, 6), (71, 3, 4), (74, 17, 18), (99, 14, 15), (99, 19, 20), (106, 13, 14), (108, 19, 20), (108, 57, 58), (111, 4, 5), (398, 28, 29), (403, 16, 17), (403, 20, 21), (409, 5, 6), (409, 19, 20)]",23,4_UT_LJY_UU
布吉站,"[(369, 32, 34)]",1,4_UT_LJY_UU
布吉镇,"[(26, 29, 30)]",1,4_UT_LJY_UU
广州,"[(57, 3, 4), (540, 7, 8), (546, 13, 14), (601, 6, 7)]",4,4_UT_LJY_UU
惠阳,"[(223, 45, 46), (226, 82, 83)]",2,4_UT_LJY_UU
日本,"[(345, 14, 15)]",1,4_UT_LJY_UU
木岗,"[(585, 57, 58)]",1,4_UT_LJY_UU
桃源村,"[(50, 27, 28), (73, 46, 47)]",2,4_UT_LJY_UU
深圳,"[(7, 7, 8), (8, 13, 14), (8, 21, 22), (9, 13, 14), (11, 12, 13), (18, 7, 8), (25, 13, 14), (25, 32, 33), (36, 14, 15), (56, 2, 3), (56, 75, 76), (57, 17, 18), (57, 22, 23), (59, 13, 14), (61, 6, 7), (79, 8, 9), (83, 48, 49), (86, 2, 3), (87, 21, 22), (150, 8, 9), (152, 23, 24), (152, 26, 27), (152, 38, 39), (154, 3, 4), (155, 17, 18), (156, 74, 75), (166, 19, 20), (188, 5, 6), (222, 85, 86), (223, 37, 38), (237, 15, 16), (258, 13, 14), (262, 6, 7), (299, 5, 6), (353, 1, 2), (398, 33, 34), (483, 1, 2), (500, 6, 7), (516, 15, 16), (524, 11, 12), (541, 10, 11), (541, 16, 17), (549, 15, 16), (551, 20, 21), (551, 63, 64), (553, 21, 22), (555, 26, 27), (557, 5, 6), (557, 20, 21), (569, 6, 7), (578, 9, 10), (581, 48, 49), (593, 44, 45), (594, 34, 35), (601, 18, 19)]",55,4_UT_LJY_UU
深圳市,"[(52, 4, 5), (206, 26, 27), (227, 32, 33), (512, 23, 24)]",4,4_UT_LJY_UU
深圳机场,"[(237, 7, 9), (237, 41, 43)]",2,4_UT_LJY_UU
深圳湾,"[(165, 19, 20)]",1,4_UT_LJY_UU
王,"[(154, 23, 24), (154, 56, 57)]",2,4_UT_LJY_UU
百货,"[(237, 18, 19)]",1,4_UT_LJY_UU
皇岗,"[(191, 1, 2), (193, 23, 24)]",2,4_UT_LJY_UU
福田,"[(155, 38, 39), (156, 0, 1), (171, 12, 13), (190, 49, 50), (528, 84, 85)]",5,4_UT_LJY_UU
福田区,"[(237, 21, 22)]",1,4_UT_LJY_UU
福田口岸,"[(190, 92, 94)]",1,4_UT_LJY_UU
福田站,"[(526, 4, 5)]",1,4_UT_LJY_UU
笔架山公园,"[(209, 91, 93), (210, 5, 7)]",2,4_UT_LJY_UU
粤港大湾区,"[(295, 31, 34)]",1,4_UT_LJY_UU
罗湖,"[(57, 52, 53), (64, 19, 20), (154, 9, 10), (154, 15, 16), (155, 22, 23), (170, 14, 15), (190, 51, 52), (191, 9, 10), (191, 14, 15), (193, 20, 21), (584, 52, 53)]",11,4_UT_LJY_UU
罗湖火车站,"[(56, 53, 55), (56, 63, 65), (258, 27, 29)]",3,4_UT_LJY_UU
莲花山公园,"[(156, 65, 67), (210, 9, 11)]",2,4_UT_LJY_UU
西环路,"[(103, 21, 22)]",1,4_UT_LJY_UU
锦龙地铁站,"[(278, 42, 44)]",1,4_UT_LJY_UU
香山,"[(542, 51, 52)]",1,4_UT_LJY_UU
香港,"[(180, 59, 60), (183, 10, 11), (183, 29, 30), (183, 41, 42), (190, 69, 70), (190, 75, 76), (193, 55, 56), (540, 12, 13), (549, 2, 3), (549, 8, 9), (549, 32, 33), (550, 14, 15)]",12,4_UT_LJY_UU
香蜜公园,"[(520, 10, 12)]",1,4_UT_LJY_UU
马栏山,"[(514, 42, 43)]",1,4_UT_LJY_UU
黄木岗,"[(206, 7, 8), (206, 9, 10), (207, 28, 29), (208, 19, 20), (208, 35, 36), (230, 9, 10)]",6,4_UT_LJY_UU
龙岗,"[(26, 27, 28), (584, 50, 51), (593, 10, 11), (593, 14, 15), (598, 25, 26)]",5,4_UT_LJY_UU
