location_name,value,count,filename
万城,"[(713, 13, 14)]",1,5_CS+尤老师
万象城,"[(712, 3, 4), (713, 8, 9)]",2,5_CS+尤老师
东城纪念馆,"[(229, 16, 18)]",1,5_CS+尤老师
东湖公园,"[(154, 23, 25)]",1,5_CS+尤老师
东纵纪念,"[(224, 31, 33)]",1,5_CS+尤老师
东莞,"[(398, 8, 9), (451, 8, 9)]",2,5_CS+尤老师
东门,"[(555, 5, 6), (555, 8, 9)]",2,5_CS+尤老师
六和城,"[(90, 8, 9)]",1,5_CS+尤老师
关内,"[(436, 8, 9), (436, 11, 12)]",2,5_CS+尤老师
前海,"[(422, 83, 84)]",1,5_CS+尤老师
北京,"[(335, 21, 22), (337, 12, 13)]",2,5_CS+尤老师
华强北,"[(419, 14, 15)]",1,5_CS+尤老师
南京,"[(331, 15, 16)]",1,5_CS+尤老师
南头,"[(441, 7, 8)]",1,5_CS+尤老师
南山,"[(150, 5, 6), (160, 19, 20), (161, 14, 15), (264, 8, 9), (276, 82, 83), (411, 22, 23), (414, 9, 10), (422, 47, 48), (422, 76, 77), (434, 9, 10), (434, 22, 23), (436, 16, 17), (618, 5, 6), (630, 16, 17), (630, 21, 22), (724, 0, 1), (725, 3, 4), (725, 8, 9), (750, 4, 5)]",19,5_CS+尤老师
南山区,"[(420, 5, 6), (420, 10, 11), (421, 29, 30)]",3,5_CS+尤老师
坪山,"[(210, 9, 10), (224, 25, 26), (254, 6, 7), (393, 17, 18), (411, 17, 18), (635, 18, 19), (646, 10, 11), (650, 17, 18)]",8,5_CS+尤老师
坪河雅苑,"[(211, 32, 34)]",1,5_CS+尤老师
大亚湾,"[(91, 6, 7)]",1,5_CS+尤老师
大亚湾区,"[(312, 20, 21)]",1,5_CS+尤老师
大连,"[(672, 5, 6)]",1,5_CS+尤老师
宝安,"[(303, 14, 15), (430, 17, 18), (433, 4, 5), (434, 16, 17), (434, 24, 25), (725, 11, 12), (726, 12, 13)]",7,5_CS+尤老师
岗村,"[(621, 23, 24), (622, 3, 4)]",2,5_CS+尤老师
布吉,"[(301, 6, 7), (353, 15, 16)]",2,5_CS+尤老师
广东,"[(338, 22, 23)]",1,5_CS+尤老师
广州,"[(14, 7, 8), (196, 9, 10), (197, 3, 4), (269, 17, 18), (271, 5, 6), (272, 6, 7), (273, 9, 10), (274, 9, 10), (276, 6, 7), (276, 12, 13), (277, 9, 10), (280, 10, 11), (304, 12, 13), (339, 14, 15), (341, 9, 10), (341, 25, 26), (344, 13, 14), (346, 2, 3), (346, 14, 15), (348, 34, 35), (349, 24, 25), (351, 12, 13), (351, 16, 17), (398, 6, 7), (405, 8, 9), (405, 39, 40), (405, 60, 61), (405, 71, 72), (491, 5, 6), (492, 3, 4), (536, 24, 25), (537, 2, 3), (539, 0, 1), (539, 6, 7), (760, 6, 7)]",35,5_CS+尤老师
惠州,"[(307, 12, 13), (312, 15, 16)]",2,5_CS+尤老师
松山湖,"[(450, 14, 15), (451, 3, 4)]",2,5_CS+尤老师
松山湖公园,"[(414, 35, 37)]",1,5_CS+尤老师
梧桐山,"[(69, 3, 4), (154, 10, 11), (379, 3, 4), (413, 8, 9), (437, 9, 10), (437, 14, 15)]",6,5_CS+尤老师
水贝村,"[(611, 13, 14), (611, 16, 17)]",2,5_CS+尤老师
汕尾,"[(586, 31, 32)]",1,5_CS+尤老师
海南,"[(442, 13, 14)]",1,5_CS+尤老师
深圳,"[(1, 17, 18), (13, 4, 5), (25, 26, 27), (26, 10, 11), (32, 10, 11), (40, 10, 11), (44, 17, 18), (100, 5, 6), (148, 8, 9), (174, 11, 12), (187, 5, 6), (200, 3, 4), (201, 3, 4), (267, 5, 6), (273, 13, 14), (276, 64, 65), (276, 67, 68), (277, 15, 16), (278, 7, 8), (279, 11, 12), (279, 17, 18), (281, 7, 8), (282, 8, 9), (288, 22, 23), (288, 24, 25), (331, 26, 27), (339, 32, 33), (339, 50, 51), (339, 53, 54), (344, 7, 8), (346, 9, 10), (348, 8, 9), (348, 13, 14), (348, 38, 39), (349, 26, 27), (352, 17, 18), (353, 12, 13), (353, 13, 14), (355, 11, 12), (358, 0, 1), (359, 3, 4), (388, 3, 4), (396, 10, 11), (404, 15, 16), (405, 11, 12), (405, 57, 58), (408, 14, 15), (415, 14, 15), (415, 60, 61), (418, 17, 18), (419, 5, 6), (422, 7, 8), (429, 7, 8), (435, 4, 5), (436, 6, 7), (439, 9, 10), (489, 3, 4), (489, 5, 6), (496, 5, 6), (498, 37, 38), (536, 9, 10), (537, 5, 6), (585, 9, 10), (588, 22, 23), (592, 6, 7), (694, 11, 12), (694, 13, 14), (707, 13, 14), (708, 12, 13), (708, 22, 23), (734, 29, 30), (734, 34, 35), (760, 10, 11), (761, 4, 5)]",74,5_CS+尤老师
深圳博物馆,"[(188, 4, 6)]",1,5_CS+尤老师
深圳湾,"[(147, 13, 14)]",1,5_CS+尤老师
珠江,"[(276, 33, 34)]",1,5_CS+尤老师
田心村,"[(599, 1, 2), (601, 15, 16), (601, 17, 18), (601, 20, 21), (604, 16, 17)]",5,5_CS+尤老师
白云机场,"[(305, 3, 5)]",1,5_CS+尤老师
盐田,"[(436, 23, 24), (438, 10, 11)]",2,5_CS+尤老师
碧桂园,"[(415, 37, 38), (486, 6, 7)]",2,5_CS+尤老师
福田,"[(161, 12, 13), (264, 11, 12), (276, 84, 85), (419, 9, 10), (422, 45, 46), (422, 74, 75), (436, 14, 15), (580, 6, 7), (580, 9, 10), (630, 14, 15), (630, 19, 20), (631, 4, 5), (632, 3, 4), (657, 1, 2), (657, 2, 3), (722, 5, 6), (722, 7, 8)]",17,5_CS+尤老师
福田购物公园,"[(721, 3, 6)]",1,5_CS+尤老师
笋岗,"[(599, 0, 1)]",1,5_CS+尤老师
笋岗村,"[(601, 27, 28), (602, 0, 1), (604, 18, 19)]",3,5_CS+尤老师
