location_name,value,count,filename
东莞,"[(16, 8, 9)]",1,5_CS+钟老师
井田,"[(208, 13, 14)]",1,5_CS+钟老师
六合城,"[(768, 7, 8)]",1,5_CS+钟老师
六合成,"[(277, 8, 9)]",1,5_CS+钟老师
北京,"[(393, 8, 9), (395, 4, 5), (407, 10, 11), (676, 8, 9)]",4,5_CS+钟老师
华强北,"[(179, 8, 9), (368, 20, 21), (370, 10, 11), (738, 2, 3)]",4,5_CS+钟老师
南山,"[(189, 8, 9), (276, 11, 12), (280, 9, 10), (283, 6, 7), (531, 34, 35), (560, 4, 5), (709, 4, 5), (718, 10, 11), (724, 7, 8), (725, 19, 20), (735, 3, 4)]",11,5_CS+钟老师
南山区,"[(556, 5, 6), (746, 17, 18), (746, 23, 24)]",3,5_CS+钟老师
厦北,"[(463, 9, 10)]",1,5_CS+钟老师
后海,"[(284, 6, 7)]",1,5_CS+钟老师
坪山,"[(572, 5, 6), (573, 3, 4)]",2,5_CS+钟老师
坪山区,"[(96, 10, 11)]",1,5_CS+钟老师
坪山围,"[(295, 3, 4)]",1,5_CS+钟老师
大梅沙,"[(326, 6, 7), (327, 10, 11)]",2,5_CS+钟老师
宝安,"[(189, 6, 7), (196, 6, 7), (531, 36, 37), (569, 0, 1)]",4,5_CS+钟老师
宝安县,"[(196, 12, 13), (197, 9, 10)]",2,5_CS+钟老师
平山,"[(94, 10, 11), (276, 7, 8), (294, 6, 7), (632, 3, 4), (766, 17, 18)]",5,5_CS+钟老师
平山围,"[(297, 12, 13)]",1,5_CS+钟老师
广东,"[(8, 11, 12)]",1,5_CS+钟老师
广州,"[(393, 6, 7), (417, 13, 14), (426, 1, 2), (450, 15, 16)]",4,5_CS+钟老师
景田,"[(71, 6, 7), (151, 3, 4), (523, 8, 9)]",3,5_CS+钟老师
欢乐谷,"[(593, 8, 9), (594, 3, 4)]",2,5_CS+钟老师
深圳,"[(3, 21, 22), (3, 31, 32), (4, 7, 8), (5, 10, 11), (7, 10, 11), (8, 5, 6), (11, 7, 8), (16, 6, 7), (87, 5, 6), (87, 8, 9), (174, 6, 7), (174, 33, 34), (178, 6, 7), (197, 4, 5), (228, 13, 14), (329, 4, 5), (365, 5, 6), (373, 11, 12), (395, 24, 25), (403, 6, 7), (407, 6, 7), (410, 10, 11), (421, 5, 6), (424, 16, 17), (453, 5, 6), (459, 16, 17), (470, 7, 8), (471, 2, 3), (473, 11, 12), (476, 16, 17), (546, 10, 11), (547, 18, 19), (547, 22, 23), (548, 12, 13), (551, 8, 9), (579, 11, 12), (583, 5, 6), (588, 13, 14), (641, 15, 16), (676, 14, 15), (676, 21, 22), (700, 11, 12), (701, 3, 4), (807, 7, 8)]",44,5_CS+钟老师
深圳博物馆,"[(260, 16, 18)]",1,5_CS+钟老师
福田,"[(14, 15, 16), (15, 3, 4), (19, 12, 13), (21, 7, 8), (28, 2, 3), (29, 7, 8), (136, 5, 6), (187, 1, 2), (276, 10, 11), (280, 7, 8), (338, 5, 6), (380, 3, 4), (381, 6, 7), (382, 5, 6), (476, 6, 7), (506, 9, 10), (551, 9, 10), (556, 24, 25), (566, 12, 13), (584, 4, 5), (725, 11, 12), (754, 5, 6)]",22,5_CS+钟老师
福田区,"[(119, 3, 4), (136, 15, 16)]",2,5_CS+钟老师
福田站,"[(478, 3, 4)]",1,5_CS+钟老师
笋岗,"[(93, 3, 4)]",1,5_CS+钟老师
红岭,"[(145, 4, 5), (149, 5, 6)]",2,5_CS+钟老师
红岭北,"[(146, 3, 4), (150, 3, 4)]",2,5_CS+钟老师
罗湖,"[(202, 12, 13)]",1,5_CS+钟老师
罗湖区,"[(88, 4, 5), (89, 3, 4), (89, 14, 15), (91, 0, 1)]",4,5_CS+钟老师
莲花山,"[(121, 16, 17), (122, 3, 4), (134, 4, 5), (236, 10, 11), (249, 19, 20), (249, 23, 24), (251, 13, 14)]",7,5_CS+钟老师
车公庙,"[(730, 9, 10)]",1,5_CS+钟老师
金融,"[(311, 4, 5)]",1,5_CS+钟老师
龙华,"[(19, 3, 4), (19, 15, 16), (21, 10, 11), (575, 6, 7), (576, 11, 12)]",5,5_CS+钟老师
龙岗,"[(575, 7, 8), (576, 4, 5), (725, 27, 28)]",3,5_CS+钟老师
