location_name,value,count,filename
东富华侨城,"[(798, 1, 4)]",1,5_CS+黄先生
东门,"[(81, 0, 1)]",1,5_CS+黄先生
华城路,"[(238, 3, 4)]",1,5_CS+黄先生
华强,"[(285, 5, 6)]",1,5_CS+黄先生
华强北,"[(14, 3, 4), (20, 6, 7), (31, 16, 17), (52, 13, 14), (177, 13, 14), (186, 3, 4), (187, 7, 8), (221, 6, 7), (249, 5, 6), (250, 3, 4), (309, 5, 6), (369, 8, 9), (396, 12, 13), (414, 11, 12), (417, 14, 15), (440, 12, 13), (443, 18, 19), (467, 23, 24), (585, 13, 14), (610, 6, 7)]",20,5_CS+黄先生
华强地铁站,"[(112, 7, 9), (113, 1, 3)]",2,5_CS+黄先生
华强路,"[(240, 7, 8), (421, 3, 4), (467, 17, 18), (758, 6, 7)]",4,5_CS+黄先生
南山,"[(76, 7, 8), (347, 4, 5), (357, 3, 4), (358, 4, 5), (359, 12, 13), (360, 19, 20), (657, 6, 7), (662, 3, 4), (663, 16, 17), (663, 19, 20), (664, 2, 3)]",11,5_CS+黄先生
南山区,"[(76, 3, 4), (76, 22, 23)]",2,5_CS+黄先生
双龙,"[(283, 8, 9), (290, 0, 1), (292, 3, 4), (306, 4, 5), (314, 12, 13), (341, 6, 7), (341, 17, 18), (817, 4, 5)]",8,5_CS+黄先生
双龙地铁站,"[(306, 8, 10)]",1,5_CS+黄先生
双龙江,"[(759, 1, 2)]",1,5_CS+黄先生
双龙站,"[(280, 5, 6)]",1,5_CS+黄先生
坪山,"[(58, 6, 7), (59, 3, 4), (59, 11, 12), (64, 11, 12), (158, 6, 7), (159, 6, 7), (163, 3, 4), (164, 3, 4), (167, 5, 6), (208, 18, 19), (211, 12, 13), (283, 4, 5), (292, 11, 12), (295, 4, 5), (296, 0, 1), (298, 19, 20), (342, 5, 6), (637, 4, 5), (638, 3, 4), (728, 13, 14), (740, 1, 2), (740, 8, 9), (806, 3, 4)]",23,5_CS+黄先生
坪山公园,"[(157, 9, 11)]",1,5_CS+黄先生
坪山区,"[(208, 9, 10)]",1,5_CS+黄先生
宝安,"[(168, 4, 5), (169, 3, 4), (347, 2, 3), (357, 1, 2), (358, 3, 4), (359, 10, 11), (359, 17, 18), (360, 17, 18), (683, 2, 3)]",9,5_CS+黄先生
屏山,"[(336, 17, 18)]",1,5_CS+黄先生
平安大厦,"[(385, 5, 7)]",1,5_CS+黄先生
平昌,"[(306, 22, 23)]",1,5_CS+黄先生
广东市,"[(2, 4, 5)]",1,5_CS+黄先生
广东省,"[(3, 0, 1)]",1,5_CS+黄先生
广州,"[(520, 14, 15), (521, 7, 8), (526, 6, 7), (527, 6, 7), (529, 7, 8), (530, 3, 4), (530, 10, 11), (531, 4, 5), (541, 9, 10), (541, 14, 15), (541, 33, 34), (543, 20, 21), (544, 4, 5), (555, 4, 5)]",14,5_CS+黄先生
广州罗湖站,"[(266, 6, 8)]",1,5_CS+黄先生
惠州,"[(460, 28, 29), (588, 20, 21)]",2,5_CS+黄先生
梧桐山,"[(84, 19, 20), (86, 6, 7), (98, 3, 4), (604, 7, 8), (605, 4, 5), (608, 5, 6)]",6,5_CS+黄先生
欢乐谷,"[(70, 3, 4), (71, 3, 4), (73, 3, 4), (78, 2, 3), (416, 0, 1), (417, 4, 5), (421, 14, 15), (422, 4, 5)]",8,5_CS+黄先生
汕头市,"[(2, 5, 6), (3, 1, 2)]",2,5_CS+黄先生
沙头角,"[(91, 7, 8), (94, 3, 4)]",2,5_CS+黄先生
深圳,"[(1, 18, 19), (4, 11, 12), (7, 3, 4), (9, 8, 9), (18, 8, 9), (23, 3, 4), (27, 7, 8), (44, 5, 6), (68, 12, 13), (115, 11, 12), (115, 17, 18), (151, 25, 26), (160, 6, 7), (160, 11, 12), (160, 17, 18), (212, 13, 14), (269, 14, 15), (270, 5, 6), (271, 11, 12), (348, 6, 7), (378, 7, 8), (428, 6, 7), (431, 5, 6), (460, 39, 40), (460, 44, 45), (462, 14, 15), (463, 7, 8), (465, 6, 7), (466, 7, 8), (467, 27, 28), (467, 32, 33), (468, 4, 5), (476, 3, 4), (485, 8, 9), (493, 12, 13), (497, 12, 13), (518, 66, 67), (521, 28, 29), (524, 7, 8), (528, 8, 9), (530, 15, 16), (534, 14, 15), (541, 24, 25), (546, 7, 8), (548, 4, 5), (587, 14, 15), (595, 4, 5), (602, 6, 7), (602, 15, 16), (619, 14, 15), (636, 8, 9), (652, 5, 6), (662, 5, 6), (662, 12, 13), (663, 48, 49), (700, 0, 1), (709, 3, 4), (747, 6, 7), (749, 3, 4), (750, 5, 6), (751, 10, 11), (752, 3, 4), (768, 17, 18), (769, 6, 7), (778, 5, 6), (781, 10, 11)]",66,5_CS+黄先生
深圳北,"[(705, 15, 16)]",1,5_CS+黄先生
深圳北站,"[(393, 16, 18), (468, 16, 18)]",2,5_CS+黄先生
深圳市,"[(84, 9, 10)]",1,5_CS+黄先生
深圳湾公园,"[(151, 30, 32), (153, 10, 12)]",2,5_CS+黄先生
盐田区,"[(89, 5, 6)]",1,5_CS+黄先生
石井,"[(64, 13, 14)]",1,5_CS+黄先生
石井村,"[(64, 17, 18)]",1,5_CS+黄先生
福田,"[(11, 3, 4), (12, 3, 4), (64, 7, 8), (112, 5, 6), (150, 0, 1), (346, 12, 13), (348, 9, 10), (359, 4, 5), (388, 6, 7), (390, 3, 4), (390, 15, 16), (433, 3, 4), (440, 11, 12), (578, 8, 9), (644, 9, 10), (657, 11, 12), (659, 4, 5), (740, 3, 4), (805, 16, 17), (806, 5, 6), (813, 5, 6), (817, 8, 9)]",22,5_CS+黄先生
福田区,"[(286, 6, 7), (386, 12, 13), (390, 20, 21)]",3,5_CS+黄先生
罗湖,"[(79, 3, 4), (174, 3, 4), (231, 13, 14), (264, 9, 10), (268, 9, 10), (314, 14, 15), (314, 18, 19), (315, 3, 4), (319, 5, 6), (319, 7, 8), (346, 14, 15), (359, 6, 7), (388, 12, 13), (389, 7, 8), (389, 17, 18), (390, 11, 12), (551, 4, 5), (569, 3, 4), (570, 3, 4), (578, 10, 11)]",20,5_CS+黄先生
罗湖区,"[(390, 18, 19)]",1,5_CS+黄先生
罗湖站,"[(396, 9, 10), (551, 5, 6)]",2,5_CS+黄先生
赛格广场,"[(373, 4, 6), (377, 4, 6)]",2,5_CS+黄先生
车公庙,"[(216, 4, 5), (565, 1, 2)]",2,5_CS+黄先生
香蜜湖,"[(215, 1, 2), (216, 3, 4), (231, 7, 8)]",3,5_CS+黄先生
龙岗,"[(405, 9, 10), (454, 6, 7), (455, 3, 4), (459, 2, 3), (759, 0, 1)]",5,5_CS+黄先生
