location_name,value,count,filename
东莞,"[(127, 30, 31), (129, 88, 89)]",2,6_szulys_nw
仙湖植物园,"[(62, 21, 23)]",1,6_szulys_nw
光明,"[(129, 72, 73), (341, 1, 2)]",2,6_szulys_nw
关内,"[(93, 3, 4), (93, 26, 27)]",2,6_szulys_nw
北京,"[(363, 9, 10), (373, 6, 7), (374, 10, 11), (375, 4, 5), (376, 3, 4), (376, 12, 13), (376, 17, 18), (377, 0, 1)]",8,6_szulys_nw
南京,"[(7, 62, 63), (209, 5, 6), (363, 3, 4), (365, 19, 20), (365, 30, 31), (365, 64, 65)]",6,6_szulys_nw
南头关,"[(101, 24, 25), (107, 48, 49)]",2,6_szulys_nw
南山,"[(7, 85, 86), (8, 10, 11), (9, 5, 6), (9, 68, 69), (34, 32, 33), (93, 12, 13), (95, 5, 6), (120, 7, 8), (120, 52, 53), (120, 64, 65), (311, 28, 29), (327, 19, 20)]",12,6_szulys_nw
厦门,"[(7, 60, 61), (209, 3, 4)]",2,6_szulys_nw
坪山,"[(131, 31, 32), (135, 3, 4), (135, 6, 7), (135, 12, 13), (135, 31, 32), (135, 39, 40), (146, 32, 33), (146, 39, 40), (151, 42, 43)]",9,6_szulys_nw
大梅沙,"[(68, 14, 15)]",1,6_szulys_nw
宝安,"[(93, 14, 15), (93, 19, 20), (95, 7, 8), (95, 16, 17), (152, 50, 51), (164, 15, 16), (238, 19, 20)]",7,6_szulys_nw
布吉关,"[(107, 53, 54)]",1,6_szulys_nw
广州,"[(363, 6, 7), (373, 4, 5), (374, 3, 4), (377, 2, 3), (378, 16, 17), (379, 8, 9), (379, 13, 14), (380, 5, 6), (380, 13, 14)]",9,6_szulys_nw
文华,"[(327, 17, 18)]",1,6_szulys_nw
松冈,"[(143, 12, 13)]",1,6_szulys_nw
松岗,"[(127, 41, 42), (136, 7, 8), (136, 66, 67), (164, 65, 66), (340, 8, 9)]",5,6_szulys_nw
梅村,"[(38, 16, 17)]",1,6_szulys_nw
梅林,"[(9, 17, 18), (9, 19, 20), (9, 27, 28), (13, 22, 23), (14, 9, 10), (15, 7, 8), (15, 12, 13), (27, 41, 42), (27, 48, 49), (31, 6, 7), (31, 11, 12), (32, 14, 15), (32, 22, 23), (32, 51, 52), (34, 30, 31), (38, 9, 10), (39, 2, 3), (43, 11, 12), (62, 14, 15), (62, 18, 19), (62, 38, 39), (174, 3, 4), (175, 11, 12), (178, 3, 4), (178, 9, 10), (178, 22, 23), (178, 39, 40), (178, 43, 44), (185, 6, 7), (262, 5, 6), (276, 30, 31), (287, 15, 16)]",32,6_szulys_nw
梅林关,"[(101, 22, 23), (107, 50, 51), (155, 9, 10)]",3,6_szulys_nw
沙井,"[(127, 36, 37), (127, 39, 40), (136, 10, 11), (164, 63, 64), (340, 6, 7)]",5,6_szulys_nw
深圳,"[(6, 6, 7), (7, 24, 25), (7, 78, 79), (7, 81, 82), (8, 15, 16), (11, 5, 6), (27, 10, 11), (76, 13, 14), (77, 3, 4), (77, 8, 9), (79, 6, 7), (80, 12, 13), (90, 13, 14), (99, 24, 25), (101, 60, 61), (120, 45, 46), (144, 6, 7), (145, 6, 7), (151, 7, 8), (151, 27, 28), (182, 14, 15), (183, 12, 13), (212, 7, 8), (226, 1, 2), (233, 18, 19), (246, 5, 6), (261, 1, 2), (262, 3, 4), (270, 36, 37), (284, 6, 7), (287, 12, 13), (300, 12, 13), (318, 75, 76), (333, 11, 12), (338, 17, 18), (339, 14, 15), (349, 71, 72), (350, 15, 16), (356, 16, 17), (361, 72, 73), (369, 3, 4), (369, 29, 30), (369, 37, 38), (369, 72, 73), (370, 5, 6), (372, 2, 3), (379, 1, 2), (379, 28, 29), (383, 5, 6), (384, 3, 4)]",50,6_szulys_nw
深大,"[(32, 54, 55)]",1,6_szulys_nw
深大站,"[(41, 8, 9)]",1,6_szulys_nw
片区,"[(178, 23, 24)]",1,6_szulys_nw
盐田,"[(93, 16, 17), (95, 9, 10)]",2,6_szulys_nw
福田,"[(9, 23, 24), (9, 25, 26), (93, 10, 11), (95, 3, 4), (120, 5, 6), (120, 54, 55), (120, 66, 67), (131, 33, 34), (311, 30, 31), (327, 21, 22)]",10,6_szulys_nw
粤海,"[(9, 85, 86), (17, 34, 35), (18, 5, 6)]",3,6_szulys_nw
罗湖,"[(95, 12, 13), (114, 21, 22), (115, 3, 4), (116, 12, 13), (118, 33, 34), (118, 53, 54), (120, 27, 28), (120, 71, 72), (120, 74, 75), (152, 48, 49)]",10,6_szulys_nw
罗湖国贸,"[(118, 22, 24)]",1,6_szulys_nw
西乡,"[(164, 12, 13), (164, 61, 62)]",2,6_szulys_nw
观澜,"[(339, 57, 58)]",1,6_szulys_nw
车公庙,"[(39, 7, 8), (41, 3, 4), (262, 7, 8), (352, 3, 4), (359, 14, 15), (360, 4, 5)]",6,6_szulys_nw
长沙,"[(7, 58, 59)]",1,6_szulys_nw
龙华,"[(9, 61, 62), (12, 9, 10), (17, 19, 20), (18, 3, 4), (45, 8, 9), (148, 6, 7), (148, 11, 12), (155, 5, 6), (168, 34, 35), (238, 5, 6), (238, 17, 18), (311, 26, 27), (339, 55, 56), (390, 4, 5), (392, 4, 5), (392, 13, 14)]",16,6_szulys_nw
