location_name,value,count,filename
万象汇,"[(122, 9, 10)]",1,6_szulys_乔麦
三联桥,"[(158, 7, 8)]",1,6_szulys_乔麦
上海,"[(480, 30, 31)]",1,6_szulys_乔麦
东莞,"[(136, 88, 89)]",1,6_szulys_乔麦
东门,"[(120, 38, 39)]",1,6_szulys_乔麦
东门步行街,"[(118, 38, 40), (126, 31, 33), (126, 75, 77)]",3,6_szulys_乔麦
中国,"[(103, 10, 11)]",1,6_szulys_乔麦
临淄,"[(69, 10, 11), (167, 1, 2)]",2,6_szulys_乔麦
仙湖植物园,"[(136, 12, 14), (136, 29, 31), (292, 22, 24), (472, 66, 68)]",4,6_szulys_乔麦
仙湖站,"[(472, 62, 64)]",1,6_szulys_乔麦
关内,"[(492, 78, 79)]",1,6_szulys_乔麦
北京,"[(480, 27, 28), (486, 6, 7), (486, 9, 10), (486, 36, 37)]",4,6_szulys_乔麦
南京,"[(485, 15, 16)]",1,6_szulys_乔麦
南山,"[(21, 3, 4), (138, 15, 16), (381, 7, 8), (381, 9, 10), (381, 23, 24), (381, 42, 43), (383, 13, 14), (385, 7, 8), (391, 19, 20), (392, 12, 13), (394, 7, 8)]",11,6_szulys_乔麦
南山区,"[(20, 20, 21)]",1,6_szulys_乔麦
南山科技园,"[(138, 30, 32), (138, 36, 38)]",2,6_szulys_乔麦
南山高新园,"[(137, 22, 24)]",1,6_szulys_乔麦
坪山,"[(72, 8, 9), (73, 3, 4), (148, 2, 3), (149, 5, 6), (156, 9, 10), (492, 93, 94)]",6,6_szulys_乔麦
大冲,"[(235, 27, 28), (236, 11, 12), (236, 15, 16), (236, 16, 17), (236, 26, 27), (245, 8, 9), (246, 5, 6)]",7,6_szulys_乔麦
大梅沙,"[(476, 9, 10)]",1,6_szulys_乔麦
大王山,"[(156, 6, 7)]",1,6_szulys_乔麦
天河城,"[(122, 37, 38), (123, 5, 6), (284, 13, 14), (285, 4, 5), (286, 3, 4)]",5,6_szulys_乔麦
宝安,"[(14, 5, 6), (15, 3, 4), (21, 5, 6), (69, 7, 8), (119, 11, 12), (119, 13, 14), (119, 18, 19), (126, 22, 23), (154, 6, 7), (156, 12, 13), (290, 34, 35), (290, 46, 47), (383, 28, 29)]",13,6_szulys_乔麦
宝安区,"[(12, 7, 8), (20, 22, 23), (39, 42, 43), (39, 45, 46)]",4,6_szulys_乔麦
布吉,"[(122, 8, 9), (156, 69, 70), (158, 6, 7), (367, 23, 24)]",4,6_szulys_乔麦
广州,"[(136, 85, 86), (482, 2, 3)]",2,6_szulys_乔麦
广西,"[(226, 15, 16), (227, 4, 5)]",2,6_szulys_乔麦
惠州,"[(304, 16, 17), (307, 5, 6), (312, 24, 25)]",3,6_szulys_乔麦
梅林,"[(205, 11, 12)]",1,6_szulys_乔麦
梅沙,"[(136, 40, 41), (292, 36, 37), (315, 4, 5)]",3,6_szulys_乔麦
梅沙海滨公园,"[(475, 9, 12)]",1,6_szulys_乔麦
梧桐山,"[(136, 4, 5)]",1,6_szulys_乔麦
横岗,"[(151, 17, 18), (152, 5, 6), (153, 3, 4), (153, 5, 6), (154, 17, 18), (159, 4, 5)]",6,6_szulys_乔麦
武汉,"[(478, 6, 7), (479, 3, 4), (480, 4, 5)]",3,6_szulys_乔麦
法寺,"[(292, 28, 29)]",1,6_szulys_乔麦
海山,"[(472, 32, 33), (472, 36, 37)]",2,6_szulys_乔麦
淘金山,"[(292, 14, 15)]",1,6_szulys_乔麦
深圳,"[(1, 9, 10), (7, 17, 18), (8, 3, 4), (9, 53, 54), (28, 8, 9), (54, 8, 9), (56, 3, 4), (59, 7, 8), (72, 23, 24), (88, 35, 36), (103, 1, 2), (110, 21, 22), (113, 19, 20), (113, 26, 27), (115, 11, 12), (147, 12, 13), (190, 7, 8), (203, 8, 9), (220, 14, 15), (225, 30, 31), (227, 6, 7), (233, 14, 15), (234, 3, 4), (235, 13, 14), (240, 25, 26), (304, 12, 13), (308, 38, 39), (314, 26, 27), (314, 58, 59), (326, 7, 8), (344, 20, 21), (347, 15, 16), (379, 8, 9), (400, 8, 9), (426, 7, 8), (443, 12, 13), (461, 6, 7), (467, 10, 11), (469, 26, 27), (469, 29, 30), (483, 1, 2), (484, 3, 4), (484, 33, 34), (484, 42, 43), (486, 42, 43), (488, 5, 6), (489, 14, 15), (494, 0, 1), (494, 24, 25), (495, 16, 17), (500, 7, 8), (500, 86, 87)]",52,6_szulys_乔麦
深圳市,"[(308, 46, 47)]",1,6_szulys_乔麦
深圳湾,"[(132, 8, 9), (315, 5, 6), (472, 3, 4), (472, 5, 6)]",4,6_szulys_乔麦
深圳特区,"[(59, 14, 16)]",1,6_szulys_乔麦
湖北,"[(298, 3, 4), (299, 4, 5), (299, 6, 7)]",3,6_szulys_乔麦
石岩,"[(154, 8, 9)]",1,6_szulys_乔麦
福田,"[(383, 15, 16), (385, 9, 10)]",2,6_szulys_乔麦
笋岗,"[(255, 11, 12), (259, 5, 6), (259, 13, 14)]",3,6_szulys_乔麦
罗湖,"[(22, 26, 27), (115, 28, 29), (116, 8, 9), (120, 35, 36), (125, 13, 14), (136, 23, 24), (233, 11, 12), (235, 17, 18), (235, 21, 22), (235, 25, 26), (245, 6, 7), (246, 3, 4), (290, 28, 29), (290, 30, 31), (381, 37, 38), (381, 68, 69), (382, 5, 6), (383, 22, 23), (384, 4, 5), (390, 4, 5), (391, 3, 4), (391, 28, 29), (391, 33, 34), (397, 40, 41)]",24,6_szulys_乔麦
美国,"[(80, 12, 13)]",1,6_szulys_乔麦
长岭陂,"[(263, 7, 8)]",1,6_szulys_乔麦
长沙,"[(480, 18, 19)]",1,6_szulys_乔麦
