location_name,value,count,filename
万象天地,"[(91, 28, 30)]",1,7_SZUF_LT
上城,"[(278, 31, 32), (279, 50, 51)]",2,7_SZUF_LT
上水,"[(347, 24, 25)]",1,7_SZUF_LT
中国,"[(319, 19, 20)]",1,7_SZUF_LT
书城,"[(48, 13, 14)]",1,7_SZUF_LT
光明,"[(56, 35, 36), (65, 2, 3), (69, 6, 7), (82, 23, 24)]",4,7_SZUF_LT
华强北,"[(37, 17, 18), (37, 28, 29)]",2,7_SZUF_LT
卓悦中心,"[(132, 37, 39)]",1,7_SZUF_LT
南山,"[(55, 41, 42), (60, 16, 17), (60, 29, 30), (61, 5, 6), (61, 47, 48), (84, 8, 9), (85, 3, 4), (85, 20, 21), (123, 37, 38), (132, 17, 18), (132, 41, 42), (134, 24, 25), (148, 26, 27), (152, 10, 11), (152, 20, 21), (152, 44, 45), (241, 34, 35), (244, 7, 8), (338, 17, 18)]",19,7_SZUF_LT
后海站,"[(295, 87, 88)]",1,7_SZUF_LT
嘉州富苑,"[(13, 30, 32)]",1,7_SZUF_LT
坪山,"[(56, 44, 45), (69, 10, 11)]",2,7_SZUF_LT
大鹏,"[(56, 46, 47), (69, 12, 13)]",2,7_SZUF_LT
宝安,"[(56, 15, 16), (68, 16, 17), (73, 10, 11), (85, 23, 24), (85, 26, 27), (91, 39, 40), (241, 58, 59)]",7,7_SZUF_LT
岗厦,"[(132, 34, 35)]",1,7_SZUF_LT
岗厦北,"[(283, 22, 23), (284, 11, 12)]",2,7_SZUF_LT
广州,"[(249, 6, 7), (249, 9, 10), (249, 28, 29), (250, 1, 2), (250, 8, 9), (318, 6, 7), (318, 13, 14), (318, 18, 19), (318, 28, 29)]",9,7_SZUF_LT
新洲,"[(16, 5, 6), (158, 3, 4)]",2,7_SZUF_LT
新洲花园,"[(13, 22, 24)]",1,7_SZUF_LT
星巴克,"[(299, 29, 30), (305, 40, 41)]",2,7_SZUF_LT
杭州,"[(272, 8, 9), (272, 15, 16), (272, 21, 22), (275, 44, 45), (285, 32, 33)]",5,7_SZUF_LT
武汉,"[(321, 3, 4), (321, 9, 10), (322, 14, 15)]",3,7_SZUF_LT
民俗村,"[(330, 1, 2)]",1,7_SZUF_LT
沙尾,"[(16, 29, 30), (139, 19, 20), (152, 15, 16)]",3,7_SZUF_LT
深业,"[(278, 30, 31), (279, 49, 50)]",2,7_SZUF_LT
