location_name,value,count,filename
仙湖植物馆,"[(273, 8, 10)]",1,7_SZUF_大花
光明,"[(308, 28, 29), (308, 39, 40)]",2,7_SZUF_大花
前海,"[(312, 26, 27)]",1,7_SZUF_大花
前海石公园,"[(237, 47, 49)]",1,7_SZUF_大花
北站,"[(176, 28, 29)]",1,7_SZUF_大花
华侨城创意园,"[(237, 38, 41)]",1,7_SZUF_大花
卓悦中心,"[(294, 18, 20)]",1,7_SZUF_大花
南头,"[(237, 31, 32)]",1,7_SZUF_大花
南山,"[(37, 17, 18), (37, 24, 25), (42, 21, 22), (44, 41, 42), (74, 26, 27), (146, 46, 47), (273, 11, 12), (276, 4, 5), (277, 21, 22), (280, 1, 2), (281, 3, 4), (309, 15, 16), (309, 42, 43)]",13,7_SZUF_大花
厦北,"[(294, 11, 12)]",1,7_SZUF_大花
双拥街,"[(252, 41, 42)]",1,7_SZUF_大花
后海,"[(157, 7, 8), (180, 27, 28), (180, 55, 56), (312, 47, 48), (312, 51, 52)]",5,7_SZUF_大花
后海站,"[(315, 9, 10)]",1,7_SZUF_大花
固戍站,"[(223, 12, 13)]",1,7_SZUF_大花
地王大厦,"[(308, 5, 7)]",1,7_SZUF_大花
坪山,"[(146, 17, 18), (308, 26, 27), (310, 11, 12)]",3,7_SZUF_大花
大沙河生态,"[(237, 42, 44)]",1,7_SZUF_大花
大芬,"[(252, 43, 44)]",1,7_SZUF_大花
大芬油画村,"[(237, 34, 37)]",1,7_SZUF_大花
大鹏,"[(48, 16, 17), (79, 23, 24), (213, 10, 11), (214, 4, 5), (214, 74, 75), (310, 12, 13)]",6,7_SZUF_大花
宝安,"[(28, 16, 17), (37, 12, 13), (44, 43, 44), (146, 47, 48), (185, 32, 33), (216, 8, 9), (217, 28, 29), (309, 16, 17)]",8,7_SZUF_大花
宝安区,"[(223, 4, 5)]",1,7_SZUF_大花
左炮台东,"[(252, 45, 46)]",1,7_SZUF_大花
布吉,"[(152, 9, 10), (152, 29, 30)]",2,7_SZUF_大花
布吉站,"[(173, 53, 54)]",1,7_SZUF_大花
布心站,"[(205, 21, 22)]",1,7_SZUF_大花
广州,"[(164, 8, 9), (165, 14, 15), (169, 10, 11), (173, 27, 28), (175, 24, 25), (340, 4, 5)]",6,7_SZUF_大花
广州南站,"[(172, 8, 10)]",1,7_SZUF_大花
机场东,"[(157, 9, 10)]",1,7_SZUF_大花
洪湖站,"[(71, 29, 30)]",1,7_SZUF_大花
深圳,"[(1, 6, 7), (2, 23, 24), (5, 15, 16), (33, 10, 11), (33, 23, 24), (33, 67, 68), (38, 14, 15), (43, 16, 17), (46, 5, 6), (59, 7, 8), (62, 6, 7), (128, 13, 14), (130, 6, 7), (131, 12, 13), (142, 26, 27), (143, 8, 9), (143, 21, 22), (146, 44, 45), (147, 6, 7), (150, 24, 25), (163, 7, 8), (164, 44, 45), (165, 7, 8), (167, 10, 11), (173, 21, 22), (173, 33, 34), (175, 30, 31), (176, 27, 28), (179, 7, 8), (187, 8, 9), (215, 24, 25), (234, 14, 15), (239, 10, 11), (239, 31, 32), (243, 1, 2), (243, 20, 21), (245, 2, 3), (252, 78, 79), (267, 15, 16), (287, 7, 8), (289, 33, 34), (289, 52, 53), (289, 58, 59), (291, 10, 11), (305, 16, 17), (306, 1, 2), (329, 43, 44), (340, 18, 19), (342, 3, 4)]",49,7_SZUF_大花
深圳市,"[(157, 48, 49)]",1,7_SZUF_大花
深圳湾体育公园,"[(237, 27, 30)]",1,7_SZUF_大花
深圳湾公园,"[(239, 27, 29)]",1,7_SZUF_大花
福田,"[(1, 46, 47), (7, 23, 24), (12, 62, 63), (15, 13, 14), (34, 4, 5), (44, 18, 19), (51, 37, 38), (51, 43, 44), (74, 9, 10), (74, 12, 13), (153, 4, 5), (308, 13, 14)]",12,7_SZUF_大花
福田coco,"[(16, 14, 16)]",1,7_SZUF_大花
红岭,"[(52, 12, 13), (62, 19, 20)]",2,7_SZUF_大花
红岭荔枝公园,"[(58, 15, 18)]",1,7_SZUF_大花
纽约,"[(290, 6, 7)]",1,7_SZUF_大花
罗湖,"[(3, 13, 14), (3, 36, 37), (3, 60, 61), (7, 20, 21), (12, 60, 61), (15, 11, 12), (34, 11, 12), (36, 14, 15), (36, 37, 38), (37, 32, 33), (42, 12, 13), (44, 9, 10), (160, 15, 16), (180, 24, 25), (281, 11, 12), (285, 2, 3), (307, 22, 23)]",17,7_SZUF_大花
翠竹站,"[(205, 25, 26)]",1,7_SZUF_大花
老街站,"[(160, 9, 10)]",1,7_SZUF_大花
荔枝公园,"[(52, 17, 19)]",1,7_SZUF_大花
车公庙,"[(74, 28, 29), (319, 2, 3)]",2,7_SZUF_大花
黄贝岭,"[(71, 18, 19), (185, 51, 52)]",2,7_SZUF_大花
龙华,"[(99, 7, 8)]",1,7_SZUF_大花
龙华区,"[(308, 40, 41)]",1,7_SZUF_大花
龙岗,"[(3, 45, 46), (3, 52, 53)]",2,7_SZUF_大花
龙岗区,"[(152, 6, 7)]",1,7_SZUF_大花
