word,freq
1234商场,1
5环,1
cocopark,1
万城,1
万象城,9
万象天地,2
万象汇,7
三亚,1
上,1
上城,5
上步,1
上步路,1
上水,1
上沙,9
上海,51
上海宾馆,8
下北,1
下沙,7
下沙站,1
东乐花园,1
东京,9
东城纪念馆,1
东昌路,2
东晓路,1
东海,4
东海站,1
东涌,2
东湖,1
东湖公园,2
东湖水库,1
东纵纪念,1
东莞,29
东莞地区,1
东门,23
东门町,1
东门老街,2
东门街,1
中国,18
中国世贸大厦,1
中山,4
中山路,1
中海,2
中环,3
中英街,1
中银,3
中银花园,1
丹竹头,1
丽湖,1
乐园路,1
乐清,1
书城,1
书院街,1
二外,1
云南,2
云湖,1
五环,1
井冈山,7
亚洲,2
人民桥站,1
仙湖,5
仙湖植物园,1
仙湖植物馆,1
佛山,5
俄罗斯,2
保安,1
光明,18
光明农场,3
光明区,1
光明安,1
光明招待所,1
八卦岭,25
公主坟,1
六和城,1
关内,16
关外,7
凤凰山公园,1
凤岗,2
前海,26
前海石公园,1
北京,87
北斗,1
北方大厦,1
北村,1
北环,6
北站,1
华侨城创意园,1
华南城,1
华发路,2
华强,3
华强北,35
华强北站,2
华强北路,1
华强大厦,1
华强路,1
华润万象天地,1
华清园,5
卓悦中心,3
卓越汇商场,1
南京,1
南京路,1
南头,2
南头关,3
南头营,1
南山,314
南山书城,1
南山区,39
南山智园,1
南山站,1
南山道,1
南岭,3
南岭花园,3
南沙河,1
南海,1
南湾,2
南澳,1
南约,2
南路,2
印度,1
厦北,1
双拥街,1
双龙,6
台湾,2
同乐关,1
后海,22
后海站,2
和平路,1
和晒布,1
唐山,5
嘉州富苑,1
四川大厦,7
四海,1
四海站,1
四环,1
四路,2
园岭,3
固戍,4
固戍站,1
国贸,1
国贸大厦,2
圆岭,2
圆岭街道,1
地区,1
地王大厦,1
地铁站,1
圳湾,1
坂田,1
坪地,2
坪山,55
坪山区,2
坪山镇,1
坪河雅苑,1
城中村,2
塘朗,5
塘朗站,3
壹方城,5
大亚湾,2
大亚湾区,1
大兴,6
大冲,2
大梅沙,7
大沙河生态,1
大浪,2
大芬,1
大芬油画村,1
大运,1
大运体育馆,2
大连,1
大铲湾,4
大铲湾区,1
大鹏,22
大鹏新区,1
天地区域,1
天安,2
天安大厦,3
天安门广场,1
天河,1
天泽花园,1
天津,5
天鹅堡,4
太宁路,1
太安,6
太阳广场,1
太阳百货,1
妈岭,1
宁静路,1
安托山,2
安托山站,1
定南,1
宝安,120
宝安区,11
宝安广场,1
宝安新,1
宝安机场,3
宾馆,1
山姆会员,1
山湖居,2
山西,2
岗厦,9
岗厦北,11
岗厦站,5
岗夏,2
岗村,2
左炮台东,1
布吉,62
布吉站,2
布吉街,1
布心,25
布心地铁站,1
布心村,1
布心站,2
布心路,3
帝王大厦,1
平安大厦,2
平湖,13
广东,5
广东省,1
广州,134
广州南站,1
广西,1
建设路,1
彩田,1
德兴花园,1
德行,1
怡景,1
怡翠,1
惠州,28
成都,22
所城,1
文锦渡,1
文锦路,1
新加坡,2
新华宾馆,2
新岭站,1
新洲,4
新洲南,1
新洲花园,1
新洲路,4
新疆,6
新秀村,1
无锡,2
日本,11
星巴克,2
景田,6
月亮湾,2
月亮湾花园,1
木头龙,1
木棉湾,15
机场东,1
杭州,20
杭州东站,2
杭州机场,2
松山湖,2
松山湖公园,1
松岗,19
株洲,2
桃园,7
桃园村,1
桃园路,4
桃花园,2
桃花源,1
桥城东,1
梅岭,1
梅林,83
梅林公园,3
梅林关,8
梅林区域,1
梅林城,1
梅林村,1
梅林水库,3
梅林片区,1
梅林站,4
梅沙,1
梧桐山,11
横岗,3
欢乐海岸地铁站,1
武汉,8
民乐,1
民俗村,1
民治,1
水贝,4
水贝村,2
汕头,1
汕尾,2
沈阳,1
沙井,8
沙井关,1
沙头角,6
沙尾,3
沙河,2
沙河大街,1
沙河路,2
沙田,2
河北,4
河南,2
法国,3
泥岗,9
泥岗村,6
泰国,1
泰然,1
泰然九路,1
洛阳,3
洪湖,1
洪湖公园,3
洪湖站,2
浙大,1
海南,4
海山,8
海山站,1
海岸城,2
海月站,1
淘金山,1
淡水,2
深,1
深业,5
深业上城,5
深南,1
深南园博园,1
深南大道,2
深南路,15
深南路上海宾馆,1
深圳东站,3
深圳书城,2
深圳北,2
深圳北站,4
深圳博物馆,1
深圳大戏院,1
深圳机场,4
深圳机场深圳机场,1
深圳港湾,1
深圳湾,16
深圳湾体育公园,1
深圳湾公园,3
深圳火车站,4
深圳特区,1
深房广场,2
深汕,7
深莞,1
清水河,9
清湖,10
渔农村,3
港鹏新村,1
湖北,1
湖南,2
湖贝,2
湘潭,1
滨河,2
滨河大道,1
滨河路,3
澳门,4
灵芝,1
燕南,4
燕南站,3
牌坊街,1
犹他州,1
玉恒花园,1
玖钻,1
珠江,2
珠江三角洲,1
珠海,2
瓷砖大厦,1
甘坑,1
田心村,5
田贝,22
田贝地铁站,1
番禺,1
登良,1
登良站,1
白云机场,1
白石洲,3
白石龙,2
白马服装批发市场,1
白鸽笼,1
百仕达,1
皇岗,5
皇庭广场,2
益田,3
益田石厦,1
盐田,29
盐田区,3
盐田港,5
石厦,4
石厦站,1
石湖港,1
碧头,2
碧桂园,2
神户,1
福明,1
福民,1
福民站,3
福永,4
福永站,1
福田,359
福田coco,1
福田保税区,3
福田公园,1
福田区,70
福田口岸,5
福田地铁站,1
福田站,13
福田购物公园,1
福田高铁站,3
福祥路,1
福荣路,6
站,1
竹子林,10
竹子林站,1
竹村,1
笋岗,1
笋岗村,3
笋岗路,2
粤东,2
粤北,2
粤海门,6
粤西,2
紫金港,2
红山,6
红山寨,1
红山站,2
红岭,11
红岭荔枝公园,1
红树林,1
红磡,3
红磡站,1
纽约,4
绍兴,3
维也纳,1
维也纳酒店,2
维纳斯酒店,1
绿道,1
罗湖,408
罗湖体育馆,1
罗湖区,27
罗湖商城,1
罗湖火车站,3
罗湖站,5
罗湖馆,1
羊城,1
美国,5
翠竹,7
翠竹站,1
翠竹路,1
翠荫路,1
老街,8
老街站,1
苏联,1
茂业,1
荃湾,1
草埔,2
荔枝公园,7
莆田,1
莫斯科,2
莲塘,11
莲花,19
莲花北,1
莲花山,4
莲花山公园,1
莲花村,3
莲花路,1
萧山国际机场,1
落马洲,1
葵涌,1
蒋村,2
蔡屋,1
蔡屋围,2
蛇口,29
蛇口港,2
蛇口站,1
螺岭,10
衡阳,2
西丽,8
西丽站,2
西九龙,1
西乡,6
西北,1
西安,3
西涌,1
西藏,1
观澜,4
贝,1
贝丽南路,1
赣南,1
赣州,3
赤湾,4
越南,1
车公庙,84
车公庙地区,1
车公庙站,1
过关,1
迪士尼乐园,1
郑州,2
重庆,3
金中环,1
金座,1
金稻田,1
金稻田路,1
金鹏宾馆,1
金鹏酒店,1
釜山,1
银座,1
银湖,5
银湖汽车站,1
长春,3
长沙,8
阿里,1
雄安新区,1
青海,1
香,1
香港,94
香蜜湖,11
香蜜湖地区,1
香蜜湖站,1
香蜜站,1
马峦山,2
驻马店,1
高德,1
高新园,7
高新园站,1
麒麟山庄,1
黄冈,3
黄岗,2
黄岗口岸,1
黄浦江,1
黄贝岭,4
龙光,1
龙光城,1
龙华,56
龙华区,3
龙华县,1
龙华观澜,1
龙岗,138
龙岗cocopark,1
龙岗关,1
龙岗区,11
龙岗南岭花园,1
龙岗地区,1
龙岗大运城,1
龙港,1
龙湖,2
