word,freq
万象城,3
万象汇,1
上塘,3
上塘站,1
上步路,2
上沙,1
上海,16
上海宾馆,5
上海市,1
下梅林,1
东富华侨城,1
东晓,1
东晓街道,2
东湖,1
东湖公园,3
东莞,11
东门,12
东门老街,2
中山公园,1
中山市,2
中心城,1
丰盛町,2
丹竹头,1
主山,1
丽湖公园,2
九龙,2
井田,1
京基大厦,1
京基大楼,1
仙湖,2
仙湖植物园,2
伦敦,2
体育西路,1
保利剧院,3
保安,1
光明,5
光明区,1
八卦岭,6
公常路,1
公明,3
六合城,1
六合成,1
关内,6
关内关,1
关南,1
关外,1
前海,15
前海湾站,1
前海站,1
前海路,5
前湾公园站,1
前湾站,1
北京,39
北环,1
区域,1
华城路,1
华强,1
华强北,37
华强地铁站,2
华强路,4
南京,6
南头关,2
南山,120
南山区,11
南山市,1
南山科技园,3
南湖路,1
南湾,1
南湾街道,1
南田,1
博丰大厦,2
博罗,1
厦北,1
厦门,18
双龙,12
双龙地铁站,1
双龙江,1
双龙站,1
后亭,2
后海,6
后海站,3
嘉里,1
园岭,2
园林,1
园林大厦,1
固戍,1
固戍地铁站,1
国贸,2
地王大厦,2
坂田,2
坑梓,1
坪地,2
坪山,41
坪山公园,1
坪山区,6
坪山围,1
城中村,1
大厦,1
大梅沙,6
大浪街道,1
大湾区,1
大芬,2
大运,2
太白路,1
妈湾站,1
宝安,69
宝安中心,1
宝安中心区,1
宝安区,2
宝安县,3
宝安新区,1
宝安机场,3
宝安路,1
富华,1
屏山,1
岗厦,7
岗厦北,4
岗厦村,1
岗夏,2
岗夏村,1
岗夏站,1
巴登街,1
布吉,32
布吉关,3
布心,1
布澜路,3
平安大厦,2
平山,5
平山围,1
平昌,1
广东,1
广东市,1
广东省,1
广场北街,1
广州,48
广州罗湖站,1
弘法,1
弘法寺,1
强北,1
怡景,1
惠州,8
文华,1
新岭,1
新桥,2
新洲河,1
新特区,1
新生村,1
明治,3
春天,1
景田,3
智园,1
木棉湾,4
木棉湾站,2
杭州,4
松元公园,1
松元厦,5
松元厦地铁站,1
松冈,1
松园,1
松园西街,1
松岗,8
桂园,3
桂园路,1
桃园,1
桃源,1
梅岭,2
梅村,1
梅林,70
梅林关,5
梅林站,2
梅沙,2
梧桐山,7
横岗,11
欢乐谷,10
武汉,7
民治,2
水榭,1
汕头市,2
沃尔玛,1
沙井,14
沙嘴,11
沙嘴路,1
沙头角,4
沙田,1
沙田站,1
河源,1
泥巴路,1
淮安北,1
深南大道,1
深南路,3
深圳书城,2
深圳北,2
深圳北站,5
深圳博物馆,1
深圳国际会展中心,1
深圳湾公园,5
深圳特区,2
深圳证券,1
深大,1
深大站,1
深岗,3
深港,1
清水河,4
清湖,3
湖北,1
湖贝,6
煤场路,1
片区,2
白石洲,1
皇岗,1
皇岗村,4
益田,1
益田村,1
益田站,1
益田路,1
盐田,22
盐田区,4
盐田港,2
盐田港西,1
盐田路,3
石井,1
石井村,1
石厦,3
石岩,1
石芽岭,4
石芽岭地铁站,1
福州,8
福建,1
福建省,1
福强路,2
福永,1
福田,185
福田CBD,1
福田区,23
福田岗夏村,1
福田沙嘴,1
福田站,9
福田行政区,2
福田路,1
科技园,2
科苑,3
科苑站,6
稻草埔,1
站,2
笋岗,6
粤海,3
红山片区,2
红岭,16
红岭中路,3
红岭北,2
红岭路,6
红树林公园,2
红树林深圳湾公园,1
红树湾,1
红桂路,2
红荔路,2
纽卡斯尔,1
绿映居,1
罗湖,150
罗湖东湖公园,1
罗湖区,13
罗湖区域,1
罗湖国贸,1
罗湖市,1
罗湖火车站,7
罗湖站,3
罗湖老街,1
老东门,1
老街,2
联通大厦,1
英国,2
草埔,6
草埔站,1
荔枝公园,3
荣超,1
荣超大厦,1
莲塘,16
莲塘站,1
莲花,1
莲花山,13
蛇口,10
西丽,2
西乡,6
观湖,2
观澜,20
观澜汽车站,1
观澜湖,2
观澜湖生态园,1
观澜老街,1
观澜街道,1
贵州,1
赛格广场,2
赤尾,1
赤尾站,1
赤湾港,2
车公庙,21
车公庙地铁站,1
车公庙站,1
通业业,1
通业大厦,1
通业花园,1
通新岭,4
重庆,2
金田路,1
金融,1
钟书阁,1
银湖,1
长岭东,2
长沙,1
香港,18
香蜜湖,3
高德,2
高新南,2
黄木岗,5
黄木岗站,1
黄贝岭,2
龙华,89
龙华北站,1
龙华区,6
龙华大浪街道,1
龙华布吉,1
龙华布吉街道,1
龙华观澜街道,1
龙岗,99
龙岗区,11
龙胜,3
龙胜地铁站,1
龙胜站,5
