word,freq
万象城,4
万象汇,3
三亚,1
三联公园,1
三联桥,1
上步,1
上步区,1
上步路,1
上水,1
上水径,1
上沙,4
上海,18
东二,1
东京,2
东京湾,1
东湖,2
东站,1
东莞,34
东门,8
东门步行街,3
中国,4
中山,1
中山公园,1
中心,1
中心路,1
中英街,1
临淄,2
五华,1
五和,5
五和站,1
五河,1
五洲城,1
五湖,1
亚洲,4
人人购物广场,1
人民公园,2
人民桥,1
人民路,1
仙湖,3
仙湖植物园,4
仙湖站,1
佛山,1
保安,1
光明,18
光明科学城,1
光雅园,1
八卦岭,5
公园,1
公明,1
六合村,1
关内,9
关外,3
兴宁,1
兴宁汽车站,1
冈厦北,1
冬瓜岭,2
凤岗,5
前海,39
前海湾,1
北京,26
北环路,1
北站,1
区中区,1
华南城,1
华强,2
华强北,20
华润,1
华润大厦,1
华润大厦人才公园,1
南京,1
南坑,2
南坑站,2
南坪,2
南头,1
南头火车站,2
南山,196
南山体育,1
南山区,17
南山区科技园,1
南山科技园,6
南山高新园,1
南湾,2
南湾街道,1
博罗,1
厦,1
厦北地铁站,1
厦门,3
双拥街,1
双龙,17
口岸,2
台湾,2
台湾花园,2
吉星花园,1
吉祥,1
后海,5
后海大道,2
后海滨,1
啊园岭,1
四季,1
四季花城,5
四川,1
固戍,1
国贸,1
国贸大厦,2
地王,5
地王大厦,1
地王旁边,1
地铁站,1
圳北,1
坂田,15
坂田市场,1
坪地,4
坪山,95
坪山公园,1
坪山区,2
坪山新区,4
坪山高铁站,3
城中村,2
塘厦,2
塘坑,1
塘朗,1
塘朗山,1
增城,1
大中华区,1
大丰油画村,1
大亚湾,7
大冲,11
大冲村,5
大梅沙,4
大浪,2
大湾,1
大湾区,5
大王山,1
大芬,2
大运体育中心,1
大运体育馆,1
大运公园,1
大鹏,5
天安门,1
天河城,5
天虹,1
安徽,2
安托山,1
官田,3
官田站,1
宜宾,5
宝体,2
宝体站,1
宝安,133
宝安区,14
宝安县,6
宝安机场,4
宝龙,1
客家,1
尚美国际,1
就园岭,1
山姆,1
山姆会员,1
岗厦,13
岗厦北,6
岗厦北地铁站,1
巴丁街,2
布吉,134
布吉大丰油画村,1
布吉广场,1
布吉站,2
布吉镇,1
平山,2
平湖,11
平湖火车站,1
平湖镇,1
广东,4
广东省,1
广州,107
广州南站,1
广西,2
建设路,1
德国,1
惠州,32
惠州南站,2
惠阳,2
成都,3
所城,1
振兴,1
摩尔城,1
文锦渡,1
新区,1
新城大厦,1
新安公园,1
新疆,6
日本,4
明区,1
星河,2
景田,10
木岗,1
木棉湾,11
木棉湾地铁站,1
杭州,3
松井,1
松岗,9
松岗村,1
树林广场,1
桂园,1
桃园,2
桃源村,3
梅关,1
梅州,1
梅州市,1
梅林,9
梅林关,15
梅林站,2
梅沙,4
梅沙海滨公园,1
梧桐山,4
横岗,29
横港地,1
欧洲,1
武汉,4
比亚迪,2
民治,2
民治街道办东二市场,1
水山园,1
水贝,1
永福,2
汕头,1
沙井,3
沙头角,1
沙河,1
沙田,9
河源,1
河背,1
泉州,3
法寺,1
洪湖,4
洪湖公园,2
浪民治,1
海山,2
海珠区,3
淘金山,1
深,1
深南,1
深南大道,1
深南路,1
深圳书城,3
深圳北,1
深圳北站,1
深圳博物馆,1
深圳大剧院,1
深圳大道,1
深圳少年宫,1
深圳市少年宫,1
深圳帝王大厦,2
深圳机场,2
深圳湾,18
深圳湾地铁站,1
深圳特区,2
深圳站,1
深圳经济特区,2
深大,5
深大站,1
深惠路,3
深汕,3
深汕特别合作区,3
深港,1
清水,1
清水河,6
清湖,4
清湖站,2
清福站,1
清远,2
湖北,4
湖南,1
滨海大,1
澳门,1
爱联,1
牛地铺,1
王,2
珠海,2
田庙,1
白云县,1
白石洲,1
白马,1
百家购物广场,1
百货,1
百鸽笼,3
皇岗,5
盐田,7
盐田区,1
盐田港,1
盛天酒店,1
石岩,6
石岩湖,4
石芽岭,1
福山,4
福建,3
福永,3
福济,1
福田,242
福田区,17
福田口岸,1
福田民俗村,1
福田汽车站,1
福田滨海大道,1
福田站,6
福田高铁站,2
福福田,1
科技园,1
科苑,1
站,1
竹子林,2
笋岗,11
笋岗路,1
笔架山,1
