word,freq
1234商场,1
5环,1
cocopark,1
万城,1
万象城,12
万象天地,1
万象汇,2
上,1
上城,3
上塘,3
上塘站,1
上步,1
上步区,1
上步路,2
上水,1
上水径,1
上沙,7
上海,32
上海宾馆,5
上海市,1
下梅林,1
下沙站,1
东二,1
东京,11
东京湾,1
东城纪念馆,1
东富华侨城,1
东晓,1
东晓街道,2
东海,4
东海站,1
东涌,2
东湖,3
东湖公园,4
东湖水库,1
东站,1
东纵纪念,1
东莞,44
东莞地区,1
东门,24
东门町,1
东门老街,2
中国,6
中山,1
中山公园,2
中山市,2
中心,1
中心路,1
中海,2
中环,3
中银,3
中银花园,1
丰盛町,2
丹竹头,2
主山,1
乐清,1
云湖,1
五和,5
五和站,1
五河,1
五湖,1
五环,1
亚洲,4
京基大厦,1
京基大楼,1
人民公园,1
人民桥站,1
人民路,1
仙湖,3
仙湖植物园,2
佛山,3
保安,1
光明,22
光明区,1
光明招待所,1
光明科学城,1
光雅园,1
八卦岭,10
公主坟,1
公常路,1
公明,4
六合村,1
六和城,1
关内,17
关内关,1
关南,1
关外,7
兴宁,1
兴宁汽车站,1
冬瓜岭,2
凤凰山公园,1
凤岗,1
前海,44
前海湾,1
前海站,1
前海路,5
北京,77
北斗,1
北方大厦,1
北村,1
北环,4
北环路,1
华南城,2
华城路,1
华强,4
华强北,66
华强北站,2
华强北路,1
华强地铁站,2
华强路,4
华润,1
华润大厦,1
华清园,5
卓悦中心,1
卓越汇商场,1
南京,7
南坑,2
南坑站,2
南坪,1
南头,2
南头关,2
南头火车站,2
南山,306
南山书城,1
南山区,44
南山智园,1
南山科技园,4
南山站,1
南沙河,1
南海,1
南湖路,1
南湾,1
南湾街道,1
南澳,1
南路,1
博丰大厦,2
博罗,1
印度,1
厦门,14
双拥街,1
双龙,16
双龙地铁站,1
双龙江,1
双龙站,1
口岸,1
台湾,1
吉祥,1
后海,11
后海大道,2
后海滨,1
啊园岭,1
嘉里,1
四季,1
四季花城,5
四川大厦,4
四海,1
四海站,1
四环,1
园岭,2
园林,1
园林大厦,1
固戍,2
固戍地铁站,1
国贸,4
国贸大厦,2
地区,1
地王,3
地王大厦,3
地王旁边,1
圳湾,1
坂田,6
坑梓,1
坪地,5
坪山,99
坪山公园,1
坪山区,8
坪山新区,1
坪山高铁站,3
坪河雅苑,1
城中村,3
塘坑,1
塘朗,2
塘朗山,1
塘朗站,3
大亚湾,5
大亚湾区,1
大冲,4
大冲村,5
大厦,1
大梅沙,14
大浪,1
大浪街道,1
大湾区,6
大芬,2
大运,1
大运体育馆,1
大运公园,1
大连,1
大鹏,10
大鹏新区,1
天安,2
天安大厦,3
天河,1
天泽花园,1
天鹅堡,4
太宁路,1
太白路,1
妈岭,1
宁静路,1
安托山,1
宝安,165
宝安中心,1
宝安中心区,1
宝安区,12
宝安县,5
宝安新区,1
宝安机场,6
宝安路,1
宝龙,1
客家,1
宾馆,1
富华,1
就园岭,1
屏山,1
山姆,1
山姆会员,2
岗厦,8
岗厦北,8
岗厦北地铁站,1
岗厦村,1
岗厦站,5
岗夏,4
岗夏村,1
岗夏站,1
岗村,2
巴登街,1
布吉,92
布吉关,3
布心,1
布澜路,3
帝王大厦,1
平安大厦,3
平山,2
平昌,1
平湖,22
平湖火车站,1
平湖镇,1
广东,6
广东市,1
广东省,3
广场北街,1
广州,178
广州罗湖站,1
建设路,1
强北,1
彩田,1
德国,1
德行,1
怡景,2
怡翠,1
惠州,38
惠州南站,2
成都,20
振兴,1
文华,1
文锦渡,1
新区,1
新华宾馆,2
新城大厦,1
新岭,1
新岭站,1
新洲河,1
新洲路,4
新特区,1
新生村,1
新疆,6
无锡,2
日本,11
明区,1
星河,2
景田,15
智园,1
木棉湾,8
木棉湾地铁站,1
木棉湾站,2
杭州,5
松井,1
松元公园,1
松元厦,5
松元厦地铁站,1
松冈,1
松园,1
松园西街,1
松山湖,2
松山湖公园,1
松岗,32
松岗村,1
株洲,2
桂园,4
桃园村,1
桃源,1
桃源村,1
桃花园,2
桃花源,1
桥城东,1
梅关,1
梅岭,3
梅州,1
梅村,1
梅林,139
梅林公园,3
梅林关,22
梅林区域,1
梅林城,1
梅林村,1
梅林水库,3
梅林片区,1
梅林站,6
梅沙,3
梧桐山,19
横岗,33
欢乐海岸地铁站,1
欢乐谷,8
欧洲,1
武汉,4
比亚迪,2
民乐,1
民治,3
民治街道办东二市场,1
水贝,3
水贝村,2
汕头,1
汕头市,2
汕尾,2
沙井,10
沙井关,1
沙嘴,11
沙嘴路,1
沙头角,3
沙河,3
沙田,5
沙田站,1
河北,1
河源,2
泥岗,9
泥岗村,6
泥巴路,1
泰然,1
泰然九路,1
洪湖,5
洪湖公园,2
海南,2
海山,3
海山站,1
海岸城,2
海月站,1
淡水,2
淮安北,1
深,1
深业,3
深业上城,5
深南园博园,1
深南大道,2
深南路,12
深圳东站,3
深圳书城,2
深圳北,1
深圳北站,5
深圳博物馆,1
深圳国际会展中心,1
深圳大道,1
深圳帝王大厦,2
深圳机场,1
深圳湾,9
深圳湾公园,7
深圳火车站,1
深圳特区,2
深圳经济特区,2
深圳证券,1
深大,2
深大站,1
深岗,3
深惠路,1
深港,2
清水,1
清水河,13
清湖,11
清湖站,2
清福站,1
清远,1
渔农村,3
湖北,2
湖南,2
湖贝,2
湘潭,1
滨河,1
滨河大道,1
滨河路,3
滨海大,1
澳门,3
灵芝,1
煤场路,1
燕南,4
燕南站,3
爱联,1
片区,2
牛地铺,1
犹他州,1
玉恒花园,1
玖钻,1
珠江,2
珠江三角洲,1
珠海,4
瓷砖大厦,1
田庙,1
田心村,5
白云县,1
白云机场,1
白石洲,2
白石龙,2
百仕达,1
皇岗,3
皇岗村,4
皇庭广场,1
盐田,27
盐田区,6
盐田港,8
盐田路,3
盛天酒店,1
石井,1
石井村,1
石厦,3
石岩,1
石岩湖,4
石湖港,1
石芽岭,4
石芽岭地铁站,1
碧头,2
碧桂园,2
神户,1
福山,4
福州,8
福建,1
福建省,1
福明,1
福民,1
福民站,3
福永,2
福永站,1
福济,1
福田,419
福田CBD,1
福田保税区,3
福田区,68
福田口岸,5
福田地铁站,1
福田岗夏村,1
福田民俗村,1
福田汽车站,1
福田沙嘴,1
福田滨海大道,1
福田站,8
福田行政区,2
福田购物公园,1
福田高铁站,2
福祥路,1
福福田,1
福荣路,6
科技园,3
科苑,1
稻草埔,1
站,3
竹子林,9
竹子林站,1
笋岗,2
笋岗村,3
笋岗路,1
笔架山,1
第四工业区,1
粤东,2
粤北,2
粤海,3
粤港澳大湾区,2
粤西,2
红山,6
红山寨,1
红山站,2
红岭,16
红岭岭,1
红岭路,4
红树林,1
红树林公园,2
红树林深圳湾公园,1
红树湾,1
红桂路,2
红荔路,5
纽约,3
经济特区,1
绿映居,1
绿道,1
罗湖,464
罗湖东湖公园,1
罗湖书城,2
罗湖体育馆,1
罗湖区,30
罗湖区域,1
罗湖商城,1
罗湖国贸,1
罗湖地铁站,1
罗湖火车站,7
罗湖站,8
罗湖老街,1
美国,6
翠竹,1
老东门,1
老街,10
联通大厦,1
肇庆,3
花城,2
苏联,1
荃湾,1
草埔,7
草埔站,1
荔枝公园,7
荣超,1
荣超大厦,1
莆田,1
莲塘,22
莲塘站,1
莲花,17
莲花北,1
莲花山,15
莲花山公园,3
莲花村,5
莲花西,1
葵涌,1
蔡屋围,2
蛇口,39
蛇口港,4
蛇口自贸区,1
螺岭,10
街道,1
衡阳,2
西丽,7
西丽湖,1
西丽站,2
西乡,16
西噢西丽,1
西安,1
西涌,1
观湖,2
观澜,19
观澜汽车站,1
观澜湖,1
观澜湖生态园,1
观澜老街,1
观澜街道,1
观澜龙,1
解放路,15
谷歌,1
贝丽南路,1
贵州,1
赛格广场,2
赤尾,1
赤尾站,1
赤湾,4
赤湾港,2
越南,1
车公庙,74
车公庙地铁站,1
车公庙站,1
过关,1
通业业,1
通业大厦,1
通业花园,1
通新岭,4
郑州,4
重庆,5
金中环,1
金桥花园,1
钟书阁,1
铜锣湾,1
铜锣湾商场,1
银湖,12
银湖山,1
银湖汽车站,1
长岭,2
长岭东,2
长岭村,1
长沙,5
阳台山,2
阳台山公园,1
雄安新区,1
雅宝,1
青岛,1
韶关,2
香,1
香梅北,1
香梅路,1
香港,82
香蜜湖,7
香蜜湖站,1
马峦山,2
驻马店,1
高德,2
高新园,2
黄冈,1
黄冈山,1
黄岗,2
黄岗口岸,1
黄木岗,9
黄木岗站,3
黄港,1
黄贝岭,5
黄阁坑,1
黎光,1
龙光,1
龙光城,1
龙华,128
龙华北站,1
龙华区,11
龙华地铁站,2
龙华大浪街道,1
龙华工业区,1
龙华布吉,1
龙华布吉街道,1
龙华文化中心,1
龙华新区,1
龙华汽车站,4
龙华街道,1
龙华观澜街道,1
龙城,4
龙城公园站,1
龙岗,231
龙岗cocopark,1
龙岗区,32
龙岗地区,1
龙岗大道,2
龙岩,1
龙平路,1
龙湖,2
龙胜,4
龙胜站,1
龙龙华,1
龙龙岗,1
