word,freq
5环,1
万象城,6
万象天地,1
万象汇,10
三亚,2
三联公园,1
三联桥,1
上城,2
上步,1
上步路,2
上水,2
上水径,1
上沙,9
上海,55
上海宾馆,8
下北,1
下沙,7
东乐花园,1
东昌路,2
东晓,1
东晓街道,2
东晓路,1
东湖,1
东湖公园,1
东莞,33
东莞地区,1
东门,20
东门步行街,3
东门老街,2
东门街,1
中国,18
中国世贸大厦,1
中山,4
中山公园,1
中山路,1
中心城,1
中海,2
中英街,2
中银,3
中银花园,1
临淄,2
丹竹头,1
丽湖,1
丽湖公园,2
乐园路,1
九龙,2
书城,1
书院街,1
二外,1
云南,2
五华,1
五洲城,1
五环,1
井冈山,7
井田,1
亚洲,2
人人购物广场,1
人民公园,1
人民桥,1
仙湖,7
仙湖植物园,5
仙湖植物馆,1
仙湖站,1
伦敦,2
体育西路,1
佛山,3
俄罗斯,2
保利剧院,3
保安,2
光明,21
光明农场,3
光明区,1
光明安,1
八卦岭,32
公园,1
六合城,1
六合成,1
关内,17
关内关,1
关南,1
关外,7
冈厦北,1
凤凰山公园,1
凤岗,6
前海,37
前海湾站,1
前海石公园,1
前湾公园站,1
前湾站,1
北京,87
北斗,1
北环,3
北站,2
区中区,1
区域,1
华侨城创意园,1
华南城,1
华发路,2
华强,2
华强北,30
华强大厦,1
华强路,1
华润万象天地,1
华润大厦人才公园,1
卓悦中心,2
南京,1
南京路,1
南坪,1
南头,1
南头关,3
南头营,1
南山,377
南山体育,1
南山区,26
南山区科技园,1
南山市,1
南山科技园,5
南山道,1
南山高新园,1
南岭,3
南岭花园,3
南沙河,1
南湾,5
南湾街道,2
南田,1
南约,2
南路,1
博罗,1
印度,1
厦,1
厦北,2
厦北地铁站,1
厦门,7
双拥街,1
双龙,23
口岸,1
台湾,3
台湾花园,2
吉星花园,1
同乐关,1
后亭,2
后海,22
后海站,5
和平路,1
和晒布,1
唐山,5
嘉州富苑,1
四川,1
四川大厦,3
四环,1
四路,2
园岭,3
固戍,5
固戍站,1
国贸,2
国贸大厦,3
圆岭,2
圆岭街道,1
地王,2
地王大厦,2
地铁站,2
圳北,1
坂田,13
坂田市场,1
坑梓,1
坪地,6
坪山,99
坪山公园,1
坪山区,2
坪山围,1
坪山新区,3
坪山镇,1
城中村,2
塘厦,2
塘朗,4
增城,1
壹方城,5
大中华区,1
大丰油画村,1
大亚湾,4
大兴,6
大冲,9
大梅沙,3
大沙河生态,1
大浪,3
大湾,1
大王山,1
大芬,3
大芬油画村,1
大运,2
大运体育中心,1
大运体育馆,2
大铲湾,4
大铲湾区,1
大鹏,17
天地区域,1
天安,2
天安大厦,3
天安门,1
天安门广场,1
天河城,5
天津,5
天虹,1
太安,6
太阳广场,1
太阳百货,1
妈湾站,1
安徽,2
安托山,2
安托山站,1
官田,3
官田站,1
定南,1
宜宾,5
宝体,2
宝体站,1
宝安,198
宝安中心,1
宝安区,15
宝安县,4
宝安广场,1
宝安新,1
宝安机场,4
宝龙,1
富华,1
尚美国际,1
山湖居,2
山西,2
岗厦,21
岗厦北,13
左炮台东,1
巴丁街,2
布吉,172
布吉关,2
布吉大丰油画村,1
布吉广场,1
布吉站,4
布吉街,1
布吉镇,1
布心,25
布心地铁站,1
布心村,1
布心站,2
布心路,3
平安大厦,2
平山,5
平山围,1
平湖,24
平湖镇,1
广东,4
广州,117
广州南站,2
广西,3
建设路,1
弘法,1
弘法寺,1
强北,1
德兴花园,1
德行,1
怡景,1
怡翠,1
惠州,31
惠阳,2
成都,19
所城,2
摩尔城,1
文锦渡,1
文锦路,1
新加坡,2
新安公园,1
新桥,2
新洲,4
新洲南,1
新洲花园,1
新特区,1
新疆,6
新秀村,1
日本,5
明治,3
星巴克,2
春天,1
景田,4
月亮湾,2
月亮湾花园,1
木头龙,1
木岗,1
木棉湾,26
机场东,1
杭州,22
杭州东站,2
杭州机场,2
松岗,4
树林广场,1
桂园路,1
桃园,10
桃园路,4
桃源村,2
梅岭,1
梅州市,1
梅林,63
梅林公园,3
梅林关,7
梅林城,1
梅林村,1
梅林水库,3
梅林站,2
梅沙,5
梅沙海滨公园,1
梧桐山,3
横岗,16
横港地,1
欢乐谷,2
武汉,15
民俗村,1
民治,2
水山园,1
水榭,1
水贝,2
永福,2
汕头,1
沃尔玛,1
沈阳,1
沙井,15
沙头角,8
沙尾,3
沙河,2
沙河大街,1
沙河路,2
沙田,7
河北,3
河南,2
河背,1
泉州,3
法国,3
法寺,1
泥岗,9
泥岗村,6
泰国,1
洛阳,3
洪湖公园,3
洪湖站,2
浙大,1
浪民治,1
海南,2
海山,7
海珠区,3
淘金山,2
淮安北,1
深,1
深业,2
深南,2
深南园博园,1
深南大道,3
深南路,15
深南路上海宾馆,1
深圳东站,3
深圳书城,7
深圳北,4
深圳北站,6
深圳博物馆,2
深圳大剧院,1
深圳大戏院,1
深圳少年宫,1
深圳市少年宫,1
深圳机场,5
深圳机场深圳机场,1
深圳港湾,1
深圳湾,25
深圳湾体育公园,1
深圳湾公园,1
深圳湾地铁站,1
深圳火车站,3
深圳特区,3
深圳站,1
深圳证券,1
深大,4
深大站,1
深岗,3
深惠路,2
深房广场,2
深汕,10
深汕特别合作区,3
深莞,1
清水河,14
清湖,6
清远,1
港鹏新村,1
湖北,5
湖南,2
湖贝,6
滨河,1
澳门,4
牌坊街,1
王,2
甘坑,1
田贝,22
田贝地铁站,1
番禺,1
登良,1
登良站,1
白石洲,3
白马,1
白马服装批发市场,1
白鸽笼,1
百家购物广场,1
百货,1
百鸽笼,3
皇岗,9
皇庭广场,1
益田,4
益田村,1
益田石厦,1
益田站,1
益田路,1
盐田,33
盐田区,3
盐田港,1
盐田港西,1
盐田路,3
石厦,4
石厦站,1
石岩,6
石湖港,1
石芽岭,1
福建,3
福强路,2
福永,7
福田,421
福田coco,1
福田保税区,3
福田公园,1
福田区,52
福田口岸,1
福田地铁站,1
福田站,21
福田行政区,2
福田路,1
福田高铁站,3
科技园,1
科苑,3
科苑站,6
稻草埔,1
站,1
竹子林,4
竹村,1
笋岗,16
笋岗路,2
笔架山公园,3
粤海门,6
粤港大湾区,1
紫金港,2
红山片区,2
红岭,13
红岭中路,3
红岭北,4
红岭荔枝公园,1
红岭路,2
红磡,3
红磡站,1
红花岭,2
纽卡斯尔,1
纽约,1
绍兴,3
维也纳,1
维也纳酒店,2
维纳斯酒店,1
罗湖,406
罗湖书城,1
罗湖区,28
罗湖市,1
罗湖火车站,9
罗湖科学馆,1
罗湖站,3
罗湖馆,1
罗瑞河,1
罗龙岗,1
羊城,1
美国,2
翠竹,7
翠竹站,1
翠竹路,1
翠荫路,1
老街,8
老街站,1
花山,1
苏联,1
英国,2
茂业,1
茶光,1
草埔,7
草埔站,1
荔枝,1
荔枝公园,8
荷坳,4
荷坳地铁站,1
莫斯科,2
莲塘,17
莲花,16
莲花北,1
莲花山,12
莲花山公园,6
莲花村,5
莲花路,1
萧山国际机场,1
落马洲,1
蒋村,2
蔡屋,1
蔡屋围,1
蛇口,33
蛇口港,2
蛇口站,1
衡阳,2
西丽,18
西丽站,1
西九龙,1
西乡,2
西北,1
西安,2
西湖,1
西湖苑别墅,1
西环路,1
西藏,1
观澜,23
观澜湖,1
贝,1
贵州,1
赣南,1
赣州,3
赤湾,3
越南,1
车公庙,73
车公庙地区,1
车公庙地铁站,1
车公庙站,1
迪士尼乐园,1
重庆,1
金光华,1
金座,1
金田路,1
金稻田,1
金稻田路,1
金融,1
金鹏宾馆,1
金鹏酒店,1
釜山,1
钟书阁,1
银座,1
银湖,5
银湖汽车站,1
锦龙地铁站,1
长岭陂,4
长春,3
长沙,9
长隆,1
长龙地铁站,1
阿里,1
青海,1
韶关,1
香山,1
香港,114
香蜜公园,1
香蜜湖,8
香蜜湖地区,1
香蜜站,1
马栏山,1
高德,1
高新南,2
高新园,5
高新园站,1
高明,1
高桥,1
鸡公山,2
麒麟山庄,1
黄冈,3
黄岗,1
黄岗口岸,1
黄木岗,8
黄浦江,1
黄竹村,3
黄贝岭,8
龙华,118
龙华区,5
龙华县,1
龙华地铁站,1
龙华站,2
龙华观澜,1
龙岗,263
龙岗关,1
龙岗区,16
龙岗南岭花园,1
龙岗大运城,1
龙岗大道,1
龙港,1
龙湖,6
龙胜地铁站,1
龙胜站,4
龙门,1
