location_name,value,method,filename
3号线,"(17, 0, 0)",patch,10_SZTU-lx_何爷爷
水库,"(25, 0, 0)",patch,10_SZTU-lx_何爷爷
水库,"(31, 0, 0)",patch,10_SZTU-lx_何爷爷
上梅林,"(40, 0, 0)",patch,10_SZTU-lx_何爷爷
大剧院,"(87, 0, 0)",patch,10_SZTU-lx_何爷爷
大剧院,"(89, 0, 0)",patch,10_SZTU-lx_何爷爷
罗宝线,"(94, 0, 0)",patch,10_SZTU-lx_何爷爷
世界之窗,"(95, 0, 0)",patch,10_SZTU-lx_何爷爷
世界之窗,"(99, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(99, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(100, 0, 0)",patch,10_SZTU-lx_何爷爷
14号线,"(101, 0, 0)",patch,10_SZTU-lx_何爷爷
4号线,"(101, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(101, 0, 0)",patch,10_SZTU-lx_何爷爷
石芽岭站,"(103, 0, 0)",patch,10_SZTU-lx_何爷爷
14号线,"(106, 0, 0)",patch,10_SZTU-lx_何爷爷
4号线,"(106, 0, 0)",patch,10_SZTU-lx_何爷爷
11号线,"(120, 0, 0)",patch,10_SZTU-lx_何爷爷
1号线,"(120, 0, 0)",patch,10_SZTU-lx_何爷爷
世界之窗,"(120, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(120, 0, 0)",patch,10_SZTU-lx_何爷爷
会展中心,"(132, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(149, 0, 0)",patch,10_SZTU-lx_何爷爷
大和,"(160, 0, 0)",patch,10_SZTU-lx_何爷爷
会展中心,"(161, 0, 0)",patch,10_SZTU-lx_何爷爷
11号线,"(167, 0, 0)",patch,10_SZTU-lx_何爷爷
1号线,"(167, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(167, 0, 0)",patch,10_SZTU-lx_何爷爷
14号线,"(171, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(171, 0, 0)",patch,10_SZTU-lx_何爷爷
4号线,"(171, 0, 0)",patch,10_SZTU-lx_何爷爷
会展中心,"(171, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(173, 0, 0)",patch,10_SZTU-lx_何爷爷
石芽岭站,"(173, 0, 0)",patch,10_SZTU-lx_何爷爷
建设,"(195, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(203, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(204, 0, 0)",patch,10_SZTU-lx_何爷爷
华新站,"(242, 0, 0)",patch,10_SZTU-lx_何爷爷
14号线,"(244, 0, 0)",patch,10_SZTU-lx_何爷爷
4号线,"(244, 0, 0)",patch,10_SZTU-lx_何爷爷
机场,"(244, 0, 0)",patch,10_SZTU-lx_何爷爷
会展中心,"(246, 0, 0)",patch,10_SZTU-lx_何爷爷
会展中心,"(248, 0, 0)",patch,10_SZTU-lx_何爷爷
市民中心,"(250, 0, 0)",patch,10_SZTU-lx_何爷爷
市民中心,"(252, 0, 0)",patch,10_SZTU-lx_何爷爷
少年宫,"(253, 0, 0)",patch,10_SZTU-lx_何爷爷
市民中心,"(253, 0, 0)",patch,10_SZTU-lx_何爷爷
科学馆,"(253, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(254, 0, 0)",patch,10_SZTU-lx_何爷爷
少年宫,"(254, 0, 0)",patch,10_SZTU-lx_何爷爷
市民中心,"(256, 0, 0)",patch,10_SZTU-lx_何爷爷
市民中心,"(257, 0, 0)",patch,10_SZTU-lx_何爷爷
3号线,"(260, 0, 0)",patch,10_SZTU-lx_何爷爷
大小梅沙,"(279, 0, 0)",patch,10_SZTU-lx_何爷爷
小梅沙,"(279, 0, 0)",patch,10_SZTU-lx_何爷爷
