location_name,value,method,filename
天安数码,"(10, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
天安数码,"(18, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
天安数码,"(23, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
平湖街道,"(23, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
平湖街道,"(24, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
五联口,"(64, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
平湖中学,"(74, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
建设,"(115, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
皇岗口岸,"(143, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
富士康,"(151, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
大小梅沙,"(161, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
小梅沙,"(161, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
世界之窗,"(163, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
华侨城,"(163, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
锦绣中华,"(163, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
大小梧桐山,"(164, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
宝龙科技园,"(169, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
建设,"(181, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
建设,"(201, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
港口,"(201, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
福田城区,"(201, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
罗湖城区,"(201, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
东部,"(209, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
西部,"(209, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
东部,"(211, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
南山中心,"(211, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
福田中心,"(211, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
西部,"(211, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
中村,"(219, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
建设,"(222, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
建设,"(223, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
水径,"(297, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
水径,"(302, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
高峰,"(335, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
高峰,"(345, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
东部,"(363, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
大运站,"(363, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
市民中心,"(363, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
关口,"(366, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
海湾,"(366, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
海湾,"(368, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
大运站,"(371, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
高峰,"(396, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
高峰,"(408, 0, 0)",patch,10_SZTU-lx_凹凸曼&李先生
