location_name,value,method,filename
小学,"(1, 0, 0)",patch,11_SZUH_LEI
小学,"(3, 0, 0)",patch,11_SZUH_LEI
小学,"(13, 0, 0)",patch,11_SZUH_LEI
小学,"(17, 0, 0)",patch,11_SZUH_LEI
新建,"(25, 0, 0)",patch,11_SZUH_LEI
小学,"(31, 0, 0)",patch,11_SZUH_LEI
建设,"(52, 0, 0)",patch,11_SZUH_LEI
少年宫,"(54, 0, 0)",patch,11_SZUH_LEI
市中心,"(54, 0, 0)",patch,11_SZUH_LEI
新建,"(54, 0, 0)",patch,11_SZUH_LEI
建设,"(62, 0, 0)",patch,11_SZUH_LEI
市中心,"(66, 0, 0)",patch,11_SZUH_LEI
市中心,"(70, 0, 0)",patch,11_SZUH_LEI
市中心,"(78, 0, 0)",patch,11_SZUH_LEI
高峰,"(84, 0, 0)",patch,11_SZUH_LEI
小学,"(119, 0, 0)",patch,11_SZUH_LEI
幼儿园,"(119, 0, 0)",patch,11_SZUH_LEI
锦龙站,"(121, 0, 0)",patch,11_SZUH_LEI
14号线,"(123, 0, 0)",patch,11_SZUH_LEI
4号线,"(123, 0, 0)",patch,11_SZUH_LEI
3号线,"(125, 0, 0)",patch,11_SZUH_LEI
3号线,"(127, 0, 0)",patch,11_SZUH_LEI
中村,"(154, 0, 0)",patch,11_SZUH_LEI
大剧院,"(164, 0, 0)",patch,11_SZUH_LEI
大剧院站,"(164, 0, 0)",patch,11_SZUH_LEI
晒布站,"(164, 0, 0)",patch,11_SZUH_LEI
高峰,"(168, 0, 0)",patch,11_SZUH_LEI
大剧院,"(179, 0, 0)",patch,11_SZUH_LEI
少年宫,"(180, 0, 0)",patch,11_SZUH_LEI
少年宫,"(181, 0, 0)",patch,11_SZUH_LEI
大剧院,"(183, 0, 0)",patch,11_SZUH_LEI
大剧院站,"(183, 0, 0)",patch,11_SZUH_LEI
少年宫,"(183, 0, 0)",patch,11_SZUH_LEI
