location_name,value,method,filename
楼下,"(22, 0, 0)",patch,11_SZUH_YUNWEI
楼下,"(32, 0, 0)",patch,11_SZUH_YUNWEI
小学,"(44, 0, 0)",patch,11_SZUH_YUNWEI
幼儿园,"(44, 0, 0)",patch,11_SZUH_YUNWEI
市中心,"(50, 0, 0)",patch,11_SZUH_YUNWEI
市中心,"(51, 0, 0)",patch,11_SZUH_YUNWEI
市中心,"(56, 0, 0)",patch,11_SZUH_YUNWEI
建设,"(57, 0, 0)",patch,11_SZUH_YUNWEI
楼下,"(75, 0, 0)",patch,11_SZUH_YUNWEI
3号线,"(97, 0, 0)",patch,11_SZUH_YUNWEI
晒布站,"(98, 0, 0)",patch,11_SZUH_YUNWEI
晒布站,"(104, 0, 0)",patch,11_SZUH_YUNWEI
少年宫,"(105, 0, 0)",patch,11_SZUH_YUNWEI
侨香站,"(116, 0, 0)",patch,11_SZUH_YUNWEI
少年宫,"(174, 0, 0)",patch,11_SZUH_YUNWEI
少年宫,"(175, 0, 0)",patch,11_SZUH_YUNWEI
