location_name,value,method,filename
中心区,"(36, 0, 0)",patch,12_SZUL_Roson
中心区,"(37, 0, 0)",patch,12_SZUL_Roson
向东,"(40, 0, 0)",patch,12_SZUL_Roson
西边,"(40, 0, 0)",patch,12_SZUL_Roson
中心区,"(48, 0, 0)",patch,12_SZUL_Roson
南山中心,"(48, 0, 0)",patch,12_SZUL_Roson
中心区,"(50, 0, 0)",patch,12_SZUL_Roson
北环大道,"(59, 0, 0)",patch,12_SZUL_Roson
向东,"(63, 0, 0)",patch,12_SZUL_Roson
中心区,"(69, 0, 0)",patch,12_SZUL_Roson
市中心,"(69, 0, 0)",patch,12_SZUL_Roson
7号线,"(92, 0, 0)",patch,12_SZUL_Roson
沙尾站,"(92, 0, 0)",patch,12_SZUL_Roson
建设,"(126, 0, 0)",patch,12_SZUL_Roson
11号线,"(151, 0, 0)",patch,12_SZUL_Roson
1号线,"(151, 0, 0)",patch,12_SZUL_Roson
大剧院,"(151, 0, 0)",patch,12_SZUL_Roson
大剧院站,"(151, 0, 0)",patch,12_SZUL_Roson
机场,"(151, 0, 0)",patch,12_SZUL_Roson
新开,"(153, 0, 0)",patch,12_SZUL_Roson
