location_name,value,method,filename
西边,"(40, 0, 0)",patch,12_SZUL_夏天
中心区,"(44, 0, 0)",patch,12_SZUL_夏天
中心区,"(45, 0, 0)",patch,12_SZUL_夏天
皇岗口岸,"(45, 0, 0)",patch,12_SZUL_夏天
罗湖口岸,"(45, 0, 0)",patch,12_SZUL_夏天
建设,"(47, 0, 0)",patch,12_SZUL_夏天
皇岗口岸,"(49, 0, 0)",patch,12_SZUL_夏天
罗湖口岸,"(49, 0, 0)",patch,12_SZUL_夏天
关口,"(51, 0, 0)",patch,12_SZUL_夏天
市民中心,"(51, 0, 0)",patch,12_SZUL_夏天
建设,"(51, 0, 0)",patch,12_SZUL_夏天
新开,"(51, 0, 0)",patch,12_SZUL_夏天
粤海街道,"(51, 0, 0)",patch,12_SZUL_夏天
关口,"(57, 0, 0)",patch,12_SZUL_夏天
市中心,"(57, 0, 0)",patch,12_SZUL_夏天
机场,"(57, 0, 0)",patch,12_SZUL_夏天
机场,"(62, 0, 0)",patch,12_SZUL_夏天
高峰,"(68, 0, 0)",patch,12_SZUL_夏天
高峰,"(72, 0, 0)",patch,12_SZUL_夏天
1号线,"(74, 0, 0)",patch,12_SZUL_夏天
1号线,"(80, 0, 0)",patch,12_SZUL_夏天
1号线,"(82, 0, 0)",patch,12_SZUL_夏天
世界之窗,"(82, 0, 0)",patch,12_SZUL_夏天
1号线,"(84, 0, 0)",patch,12_SZUL_夏天
高峰,"(84, 0, 0)",patch,12_SZUL_夏天
高峰,"(118, 0, 0)",patch,12_SZUL_夏天
世界之窗,"(137, 0, 0)",patch,12_SZUL_夏天
海上世界,"(137, 0, 0)",patch,12_SZUL_夏天
新开,"(144, 0, 0)",patch,12_SZUL_夏天
新开,"(146, 0, 0)",patch,12_SZUL_夏天
沙井站,"(146, 0, 0)",patch,12_SZUL_夏天
高峰,"(164, 0, 0)",patch,12_SZUL_夏天
