location_name,value,method,filename
上梅林,"(27, 0, 0)",patch,12_SZUL_张律师
四村,"(27, 0, 0)",patch,12_SZUL_张律师
新村,"(27, 0, 0)",patch,12_SZUL_张律师
四村,"(28, 0, 0)",patch,12_SZUL_张律师
四村,"(30, 0, 0)",patch,12_SZUL_张律师
中心区,"(41, 0, 0)",patch,12_SZUL_张律师
会展中心,"(41, 0, 0)",patch,12_SZUL_张律师
市民中心,"(41, 0, 0)",patch,12_SZUL_张律师
中心区,"(42, 0, 0)",patch,12_SZUL_张律师
市民中心,"(42, 0, 0)",patch,12_SZUL_张律师
中心区,"(45, 0, 0)",patch,12_SZUL_张律师
中心区,"(47, 0, 0)",patch,12_SZUL_张律师
福田中心,"(47, 0, 0)",patch,12_SZUL_张律师
4号线,"(52, 0, 0)",patch,12_SZUL_张律师
建设,"(52, 0, 0)",patch,12_SZUL_张律师
建设,"(54, 0, 0)",patch,12_SZUL_张律师
建设,"(55, 0, 0)",patch,12_SZUL_张律师
建设,"(59, 0, 0)",patch,12_SZUL_张律师
4号线,"(61, 0, 0)",patch,12_SZUL_张律师
上梅林,"(61, 0, 0)",patch,12_SZUL_张律师
会展中心,"(61, 0, 0)",patch,12_SZUL_张律师
会展中心站,"(61, 0, 0)",patch,12_SZUL_张律师
建设,"(82, 0, 0)",patch,12_SZUL_张律师
4号线,"(89, 0, 0)",patch,12_SZUL_张律师
上梅林,"(89, 0, 0)",patch,12_SZUL_张律师
上梅林站,"(89, 0, 0)",patch,12_SZUL_张律师
高峰,"(89, 0, 0)",patch,12_SZUL_张律师
建设,"(96, 0, 0)",patch,12_SZUL_张律师
高峰,"(96, 0, 0)",patch,12_SZUL_张律师
建设,"(98, 0, 0)",patch,12_SZUL_张律师
1号线,"(104, 0, 0)",patch,12_SZUL_张律师
4号线,"(104, 0, 0)",patch,12_SZUL_张律师
会展中心,"(104, 0, 0)",patch,12_SZUL_张律师
建设,"(108, 0, 0)",patch,12_SZUL_张律师
楼下,"(112, 0, 0)",patch,12_SZUL_张律师
4号线,"(114, 0, 0)",patch,12_SZUL_张律师
东部,"(116, 0, 0)",patch,12_SZUL_张律师
