location_name,value,method,filename
中村,"(16, 0, 0)",patch,12_SZUL_美丽
中村,"(18, 0, 0)",patch,12_SZUL_美丽
中村,"(26, 0, 0)",patch,12_SZUL_美丽
西南,"(26, 0, 0)",patch,12_SZUL_美丽
中心区,"(49, 0, 0)",patch,12_SZUL_美丽
南山中心,"(54, 0, 0)",patch,12_SZUL_美丽
建设,"(60, 0, 0)",patch,12_SZUL_美丽
中心区,"(61, 0, 0)",patch,12_SZUL_美丽
7号线,"(85, 0, 0)",patch,12_SZUL_美丽
世界之窗,"(93, 0, 0)",patch,12_SZUL_美丽
中村,"(100, 0, 0)",patch,12_SZUL_美丽
南山中心,"(151, 0, 0)",patch,12_SZUL_美丽
福田中心,"(151, 0, 0)",patch,12_SZUL_美丽
11号线,"(153, 0, 0)",patch,12_SZUL_美丽
1号线,"(153, 0, 0)",patch,12_SZUL_美丽
岗厦北站,"(153, 0, 0)",patch,12_SZUL_美丽
新开,"(153, 0, 0)",patch,12_SZUL_美丽
岗厦北站,"(158, 0, 0)",patch,12_SZUL_美丽
新开,"(159, 0, 0)",patch,12_SZUL_美丽
机场,"(159, 0, 0)",patch,12_SZUL_美丽
