location_name,value,method,filename
建设,"(31, 0, 0)",patch,12_SZUL_花生
中心区,"(33, 0, 0)",patch,12_SZUL_花生
中心区,"(34, 0, 0)",patch,12_SZUL_花生
市民中心,"(34, 0, 0)",patch,12_SZUL_花生
新建,"(34, 0, 0)",patch,12_SZUL_花生
中心区,"(38, 0, 0)",patch,12_SZUL_花生
楼下,"(38, 0, 0)",patch,12_SZUL_花生
4号线,"(40, 0, 0)",patch,12_SZUL_花生
1号线,"(41, 0, 0)",patch,12_SZUL_花生
4号线,"(41, 0, 0)",patch,12_SZUL_花生
中村,"(41, 0, 0)",patch,12_SZUL_花生
新开,"(41, 0, 0)",patch,12_SZUL_花生
4号线,"(47, 0, 0)",patch,12_SZUL_花生
4号线,"(50, 0, 0)",patch,12_SZUL_花生
新开,"(52, 0, 0)",patch,12_SZUL_花生
4号线,"(54, 0, 0)",patch,12_SZUL_花生
高峰,"(54, 0, 0)",patch,12_SZUL_花生
4号线,"(58, 0, 0)",patch,12_SZUL_花生
上梅林,"(58, 0, 0)",patch,12_SZUL_花生
上梅林站,"(58, 0, 0)",patch,12_SZUL_花生
高峰,"(67, 0, 0)",patch,12_SZUL_花生
上梅林,"(69, 0, 0)",patch,12_SZUL_花生
高峰,"(71, 0, 0)",patch,12_SZUL_花生
11号线,"(73, 0, 0)",patch,12_SZUL_花生
1号线,"(73, 0, 0)",patch,12_SZUL_花生
机场,"(73, 0, 0)",patch,12_SZUL_花生
建设,"(92, 0, 0)",patch,12_SZUL_花生
建设,"(96, 0, 0)",patch,12_SZUL_花生
新建,"(96, 0, 0)",patch,12_SZUL_花生
中心区,"(97, 0, 0)",patch,12_SZUL_花生
中心区,"(98, 0, 0)",patch,12_SZUL_花生
罗湖口岸,"(100, 0, 0)",patch,12_SZUL_花生
中心区,"(102, 0, 0)",patch,12_SZUL_花生
会展中心,"(102, 0, 0)",patch,12_SZUL_花生
南山中心,"(102, 0, 0)",patch,12_SZUL_花生
高峰,"(102, 0, 0)",patch,12_SZUL_花生
高峰,"(108, 0, 0)",patch,12_SZUL_花生
关口,"(115, 0, 0)",patch,12_SZUL_花生
高峰,"(115, 0, 0)",patch,12_SZUL_花生
机场,"(116, 0, 0)",patch,12_SZUL_花生
小学,"(120, 0, 0)",patch,12_SZUL_花生
幼儿园,"(120, 0, 0)",patch,12_SZUL_花生
