location_name,value,method,filename
建设,"(28, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(30, 0, 0)",patch,13_SZTULJK_HYZ
文锦,"(32, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(34, 0, 0)",patch,13_SZTULJK_HYZ
文锦,"(34, 0, 0)",patch,13_SZTULJK_HYZ
花园,"(34, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(40, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(42, 0, 0)",patch,13_SZTULJK_HYZ
沙头,"(46, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(49, 0, 0)",patch,13_SZTULJK_HYZ
世界之窗,"(54, 0, 0)",patch,13_SZTULJK_HYZ
文化村,"(54, 0, 0)",patch,13_SZTULJK_HYZ
民俗文化村,"(54, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(58, 0, 0)",patch,13_SZTULJK_HYZ
花园,"(80, 0, 0)",patch,13_SZTULJK_HYZ
花园,"(81, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(94, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(95, 0, 0)",patch,13_SZTULJK_HYZ
市中心,"(100, 0, 0)",patch,13_SZTULJK_HYZ
新村,"(100, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(117, 0, 0)",patch,13_SZTULJK_HYZ
沙头,"(119, 0, 0)",patch,13_SZTULJK_HYZ
沙头,"(120, 0, 0)",patch,13_SZTULJK_HYZ
华侨城,"(141, 0, 0)",patch,13_SZTULJK_HYZ
14号线,"(180, 0, 0)",patch,13_SZTULJK_HYZ
4号线,"(180, 0, 0)",patch,13_SZTULJK_HYZ
世界之窗,"(190, 0, 0)",patch,13_SZTULJK_HYZ
华侨城,"(190, 0, 0)",patch,13_SZTULJK_HYZ
华侨城,"(191, 0, 0)",patch,13_SZTULJK_HYZ
花园,"(200, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(212, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(213, 0, 0)",patch,13_SZTULJK_HYZ
7号线,"(217, 0, 0)",patch,13_SZTULJK_HYZ
布新,"(219, 0, 0)",patch,13_SZTULJK_HYZ
沙头,"(238, 0, 0)",patch,13_SZTULJK_HYZ
图书馆,"(252, 0, 0)",patch,13_SZTULJK_HYZ
东部,"(258, 0, 0)",patch,13_SZTULJK_HYZ
东部华侨城,"(258, 0, 0)",patch,13_SZTULJK_HYZ
华侨城,"(258, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(274, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(293, 0, 0)",patch,13_SZTULJK_HYZ
新开,"(293, 0, 0)",patch,13_SZTULJK_HYZ
14号线,"(295, 0, 0)",patch,13_SZTULJK_HYZ
4号线,"(295, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(295, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(295, 0, 0)",patch,13_SZTULJK_HYZ
14号线,"(299, 0, 0)",patch,13_SZTULJK_HYZ
4号线,"(299, 0, 0)",patch,13_SZTULJK_HYZ
建设,"(299, 0, 0)",patch,13_SZTULJK_HYZ
沙头,"(299, 0, 0)",patch,13_SZTULJK_HYZ
7号线,"(303, 0, 0)",patch,13_SZTULJK_HYZ
西边,"(303, 0, 0)",patch,13_SZTULJK_HYZ
高峰,"(307, 0, 0)",patch,13_SZTULJK_HYZ
高峰,"(309, 0, 0)",patch,13_SZTULJK_HYZ
高峰,"(314, 0, 0)",patch,13_SZTULJK_HYZ
7号线,"(315, 0, 0)",patch,13_SZTULJK_HYZ
高峰,"(331, 0, 0)",patch,13_SZTULJK_HYZ
14号线,"(340, 0, 0)",patch,13_SZTULJK_HYZ
16号线,"(340, 0, 0)",patch,13_SZTULJK_HYZ
4号线,"(340, 0, 0)",patch,13_SZTULJK_HYZ
机场,"(345, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(355, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(356, 0, 0)",patch,13_SZTULJK_HYZ
大剧院,"(357, 0, 0)",patch,13_SZTULJK_HYZ
市民中心,"(376, 0, 0)",patch,13_SZTULJK_HYZ
市民中心,"(377, 0, 0)",patch,13_SZTULJK_HYZ
