location_name,value,method,filename
小学,"(16, 0, 0)",patch,13_SZTULJK_LDH
小学,"(22, 0, 0)",patch,13_SZTULJK_LDH
小学,"(24, 0, 0)",patch,13_SZTULJK_LDH
小学,"(25, 0, 0)",patch,13_SZTULJK_LDH
大剧院,"(35, 0, 0)",patch,13_SZTULJK_LDH
小学,"(58, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(92, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(94, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(95, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(103, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(104, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(106, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(107, 0, 0)",patch,13_SZTULJK_LDH
向南,"(108, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(108, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(118, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(118, 0, 0)",patch,13_SZTULJK_LDH
市中心区,"(118, 0, 0)",patch,13_SZTULJK_LDH
向南,"(121, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(124, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(125, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(125, 0, 0)",patch,13_SZTULJK_LDH
市中心区,"(125, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(127, 0, 0)",patch,13_SZTULJK_LDH
富士康,"(130, 0, 0)",patch,13_SZTULJK_LDH
体育馆,"(132, 0, 0)",patch,13_SZTULJK_LDH
体育馆,"(133, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(134, 0, 0)",patch,13_SZTULJK_LDH
体育馆,"(134, 0, 0)",patch,13_SZTULJK_LDH
市中心,"(134, 0, 0)",patch,13_SZTULJK_LDH
市中心区,"(134, 0, 0)",patch,13_SZTULJK_LDH
建设,"(135, 0, 0)",patch,13_SZTULJK_LDH
建设,"(137, 0, 0)",patch,13_SZTULJK_LDH
南科大,"(150, 0, 0)",patch,13_SZTULJK_LDH
大学城,"(150, 0, 0)",patch,13_SZTULJK_LDH
建设,"(150, 0, 0)",patch,13_SZTULJK_LDH
中村,"(151, 0, 0)",patch,13_SZTULJK_LDH
大剧院,"(152, 0, 0)",patch,13_SZTULJK_LDH
大剧院,"(154, 0, 0)",patch,13_SZTULJK_LDH
大剧院,"(155, 0, 0)",patch,13_SZTULJK_LDH
大剧院,"(156, 0, 0)",patch,13_SZTULJK_LDH
建设,"(160, 0, 0)",patch,13_SZTULJK_LDH
建设,"(161, 0, 0)",patch,13_SZTULJK_LDH
中村,"(163, 0, 0)",patch,13_SZTULJK_LDH
新村,"(163, 0, 0)",patch,13_SZTULJK_LDH
东湖街道,"(167, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(168, 0, 0)",patch,13_SZTULJK_LDH
中村,"(172, 0, 0)",patch,13_SZTULJK_LDH
布心山庄,"(172, 0, 0)",patch,13_SZTULJK_LDH
新村,"(172, 0, 0)",patch,13_SZTULJK_LDH
中村,"(185, 0, 0)",patch,13_SZTULJK_LDH
建设,"(191, 0, 0)",patch,13_SZTULJK_LDH
黄贝,"(200, 0, 0)",patch,13_SZTULJK_LDH
14号线,"(203, 0, 0)",patch,13_SZTULJK_LDH
4号线,"(203, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(276, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(277, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(281, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(283, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(285, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(286, 0, 0)",patch,13_SZTULJK_LDH
高峰,"(292, 0, 0)",patch,13_SZTULJK_LDH
建设,"(304, 0, 0)",patch,13_SZTULJK_LDH
楼下,"(304, 0, 0)",patch,13_SZTULJK_LDH
14号线,"(354, 0, 0)",patch,13_SZTULJK_LDH
4号线,"(354, 0, 0)",patch,13_SZTULJK_LDH
东部,"(354, 0, 0)",patch,13_SZTULJK_LDH
海湾,"(358, 0, 0)",patch,13_SZTULJK_LDH
海湾,"(360, 0, 0)",patch,13_SZTULJK_LDH
建设,"(378, 0, 0)",patch,13_SZTULJK_LDH
中心区,"(385, 0, 0)",patch,13_SZTULJK_LDH
向东,"(385, 0, 0)",patch,13_SZTULJK_LDH
