location_name,value,method,filename
花园,"(30, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(49, 0, 0)",patch,13_SZTULJK_LJP
公安,"(79, 0, 0)",patch,13_SZTULJK_LJP
市中心,"(93, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(94, 0, 0)",patch,13_SZTULJK_LJP
市民中心,"(94, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(95, 0, 0)",patch,13_SZTULJK_LJP
保税区,"(100, 0, 0)",patch,13_SZTULJK_LJP
保税区,"(102, 0, 0)",patch,13_SZTULJK_LJP
上梅林,"(104, 0, 0)",patch,13_SZTULJK_LJP
市民中心,"(107, 0, 0)",patch,13_SZTULJK_LJP
建设,"(107, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(109, 0, 0)",patch,13_SZTULJK_LJP
市中心,"(110, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(113, 0, 0)",patch,13_SZTULJK_LJP
海上世界,"(113, 0, 0)",patch,13_SZTULJK_LJP
中心公园,"(115, 0, 0)",patch,13_SZTULJK_LJP
世界之窗,"(118, 0, 0)",patch,13_SZTULJK_LJP
大运站,"(121, 0, 0)",patch,13_SZTULJK_LJP
中村,"(122, 0, 0)",patch,13_SZTULJK_LJP
中村,"(124, 0, 0)",patch,13_SZTULJK_LJP
11号线,"(126, 0, 0)",patch,13_SZTULJK_LJP
1号线,"(126, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(126, 0, 0)",patch,13_SZTULJK_LJP
大学城,"(127, 0, 0)",patch,13_SZTULJK_LJP
11号线,"(128, 0, 0)",patch,13_SZTULJK_LJP
1号线,"(128, 0, 0)",patch,13_SZTULJK_LJP
11号线,"(129, 0, 0)",patch,13_SZTULJK_LJP
1号线,"(129, 0, 0)",patch,13_SZTULJK_LJP
中村,"(129, 0, 0)",patch,13_SZTULJK_LJP
会展中心,"(129, 0, 0)",patch,13_SZTULJK_LJP
机场,"(129, 0, 0)",patch,13_SZTULJK_LJP
世界之窗,"(133, 0, 0)",patch,13_SZTULJK_LJP
14号线,"(162, 0, 0)",patch,13_SZTULJK_LJP
16号线,"(162, 0, 0)",patch,13_SZTULJK_LJP
4号线,"(162, 0, 0)",patch,13_SZTULJK_LJP
11号线,"(163, 0, 0)",patch,13_SZTULJK_LJP
1号线,"(163, 0, 0)",patch,13_SZTULJK_LJP
中心区,"(184, 0, 0)",patch,13_SZTULJK_LJP
