location_name,value,method,filename
西边,"(79, 0, 0)",patch,14_SZUlsr-jiachunxia
桃园站,"(91, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(112, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(134, 0, 0)",patch,14_SZUlsr-jiachunxia
1号线,"(149, 0, 0)",patch,14_SZUlsr-jiachunxia
会展中心,"(149, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(149, 0, 0)",patch,14_SZUlsr-jiachunxia
图书馆,"(210, 0, 0)",patch,14_SZUlsr-jiachunxia
市民中心,"(210, 0, 0)",patch,14_SZUlsr-jiachunxia
建设,"(210, 0, 0)",patch,14_SZUlsr-jiachunxia
北环大道,"(215, 0, 0)",patch,14_SZUlsr-jiachunxia
中心区,"(240, 0, 0)",patch,14_SZUlsr-jiachunxia
西南,"(277, 0, 0)",patch,14_SZUlsr-jiachunxia
西南,"(278, 0, 0)",patch,14_SZUlsr-jiachunxia
西南,"(280, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(294, 0, 0)",patch,14_SZUlsr-jiachunxia
罗宝线,"(295, 0, 0)",patch,14_SZUlsr-jiachunxia
罗宝线,"(296, 0, 0)",patch,14_SZUlsr-jiachunxia
建设,"(333, 0, 0)",patch,14_SZUlsr-jiachunxia
4号线,"(334, 0, 0)",patch,14_SZUlsr-jiachunxia
4号线,"(337, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(366, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(372, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(396, 0, 0)",patch,14_SZUlsr-jiachunxia
机场,"(443, 0, 0)",patch,14_SZUlsr-jiachunxia
