location_name,value,method,filename
高峰,"(36, 0, 0)",patch,14_SZUlsr-wuxin
关口,"(129, 0, 0)",patch,14_SZUlsr-wuxin
关口,"(131, 0, 0)",patch,14_SZUlsr-wuxin
中村,"(182, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(199, 0, 0)",patch,14_SZUlsr-wuxin
建设,"(219, 0, 0)",patch,14_SZUlsr-wuxin
建设,"(220, 0, 0)",patch,14_SZUlsr-wuxin
4号线,"(225, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(229, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(234, 0, 0)",patch,14_SZUlsr-wuxin
花园,"(237, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(248, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(249, 0, 0)",patch,14_SZUlsr-wuxin
机场,"(249, 0, 0)",patch,14_SZUlsr-wuxin
1号线,"(254, 0, 0)",patch,14_SZUlsr-wuxin
海湾,"(264, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(276, 0, 0)",patch,14_SZUlsr-wuxin
南科大,"(354, 0, 0)",patch,14_SZUlsr-wuxin
南科大,"(355, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(426, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(428, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(429, 0, 0)",patch,14_SZUlsr-wuxin
大水坑,"(442, 0, 0)",patch,14_SZUlsr-wuxin
世界之窗,"(466, 0, 0)",patch,14_SZUlsr-wuxin
机场,"(471, 0, 0)",patch,14_SZUlsr-wuxin
机场,"(473, 0, 0)",patch,14_SZUlsr-wuxin
市中心,"(497, 0, 0)",patch,14_SZUlsr-wuxin
1号线,"(527, 0, 0)",patch,14_SZUlsr-wuxin
新建,"(532, 0, 0)",patch,14_SZUlsr-wuxin
