location_name,value,method,filename
小学,"(19, 0, 0)",patch,15_PKU+DYE_Suning
幼儿园,"(19, 0, 0)",patch,15_PKU+DYE_Suning
沙头,"(53, 0, 0)",patch,15_PKU+DYE_Suning
小学,"(67, 0, 0)",patch,15_PKU+DYE_Suning
市中心,"(67, 0, 0)",patch,15_PKU+DYE_Suning
市中心,"(74, 0, 0)",patch,15_PKU+DYE_Suning
龙岗中心城,"(81, 0, 0)",patch,15_PKU+DYE_Suning
龙岗中心城,"(82, 0, 0)",patch,15_PKU+DYE_Suning
龙岗中心城,"(86, 0, 0)",patch,15_PKU+DYE_Suning
中村,"(90, 0, 0)",patch,15_PKU+DYE_Suning
14号线,"(124, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(124, 0, 0)",patch,15_PKU+DYE_Suning
14号线,"(126, 0, 0)",patch,15_PKU+DYE_Suning
16号线,"(126, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(126, 0, 0)",patch,15_PKU+DYE_Suning
14号线,"(139, 0, 0)",patch,15_PKU+DYE_Suning
16号线,"(139, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(139, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(183, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(185, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(206, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(209, 0, 0)",patch,15_PKU+DYE_Suning
上梅林,"(222, 0, 0)",patch,15_PKU+DYE_Suning
上梅林,"(223, 0, 0)",patch,15_PKU+DYE_Suning
上梅林,"(224, 0, 0)",patch,15_PKU+DYE_Suning
上梅林,"(226, 0, 0)",patch,15_PKU+DYE_Suning
高峰,"(251, 0, 0)",patch,15_PKU+DYE_Suning
高峰,"(255, 0, 0)",patch,15_PKU+DYE_Suning
高峰,"(265, 0, 0)",patch,15_PKU+DYE_Suning
龙岗中心城,"(298, 0, 0)",patch,15_PKU+DYE_Suning
龙岗中心城,"(308, 0, 0)",patch,15_PKU+DYE_Suning
14号线,"(309, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(309, 0, 0)",patch,15_PKU+DYE_Suning
14号线,"(319, 0, 0)",patch,15_PKU+DYE_Suning
3号线,"(319, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(319, 0, 0)",patch,15_PKU+DYE_Suning
4号线,"(321, 0, 0)",patch,15_PKU+DYE_Suning
会展中心,"(321, 0, 0)",patch,15_PKU+DYE_Suning
市民中心,"(321, 0, 0)",patch,15_PKU+DYE_Suning
田下,"(331, 0, 0)",patch,15_PKU+DYE_Suning
沙头,"(369, 0, 0)",patch,15_PKU+DYE_Suning
市中心,"(379, 0, 0)",patch,15_PKU+DYE_Suning
