location_name,value,method,filename
西边,"(92, 0, 0)",patch,15_PKU+DYE_Xin
中村,"(104, 0, 0)",patch,15_PKU+DYE_Xin
花园,"(106, 0, 0)",patch,15_PKU+DYE_Xin
花园,"(108, 0, 0)",patch,15_PKU+DYE_Xin
市中心,"(122, 0, 0)",patch,15_PKU+DYE_Xin
高峰,"(126, 0, 0)",patch,15_PKU+DYE_Xin
会展中心,"(178, 0, 0)",patch,15_PKU+DYE_Xin
红岭站,"(178, 0, 0)",patch,15_PKU+DYE_Xin
西边,"(178, 0, 0)",patch,15_PKU+DYE_Xin
市中心,"(184, 0, 0)",patch,15_PKU+DYE_Xin
桃园站,"(184, 0, 0)",patch,15_PKU+DYE_Xin
中心区,"(205, 0, 0)",patch,15_PKU+DYE_Xin
福田中心,"(205, 0, 0)",patch,15_PKU+DYE_Xin
少年宫,"(207, 0, 0)",patch,15_PKU+DYE_Xin
市民中心,"(207, 0, 0)",patch,15_PKU+DYE_Xin
中心区,"(209, 0, 0)",patch,15_PKU+DYE_Xin
福田中心,"(209, 0, 0)",patch,15_PKU+DYE_Xin
市民中心,"(210, 0, 0)",patch,15_PKU+DYE_Xin
市民中心站,"(210, 0, 0)",patch,15_PKU+DYE_Xin
高峰,"(211, 0, 0)",patch,15_PKU+DYE_Xin
楼下,"(212, 0, 0)",patch,15_PKU+DYE_Xin
高新南站,"(212, 0, 0)",patch,15_PKU+DYE_Xin
4号线,"(214, 0, 0)",patch,15_PKU+DYE_Xin
上梅林,"(214, 0, 0)",patch,15_PKU+DYE_Xin
上梅林,"(216, 0, 0)",patch,15_PKU+DYE_Xin
湖贝站,"(216, 0, 0)",patch,15_PKU+DYE_Xin
海湾,"(225, 0, 0)",patch,15_PKU+DYE_Xin
会展中心,"(231, 0, 0)",patch,15_PKU+DYE_Xin
市民中心,"(231, 0, 0)",patch,15_PKU+DYE_Xin
上梅林,"(233, 0, 0)",patch,15_PKU+DYE_Xin
会展中心,"(233, 0, 0)",patch,15_PKU+DYE_Xin
大记,"(233, 0, 0)",patch,15_PKU+DYE_Xin
少年宫,"(233, 0, 0)",patch,15_PKU+DYE_Xin
市民中心,"(233, 0, 0)",patch,15_PKU+DYE_Xin
高新南站,"(233, 0, 0)",patch,15_PKU+DYE_Xin
中心区,"(234, 0, 0)",patch,15_PKU+DYE_Xin
福田中心,"(234, 0, 0)",patch,15_PKU+DYE_Xin
妈湾,"(235, 0, 0)",patch,15_PKU+DYE_Xin
海湾,"(235, 0, 0)",patch,15_PKU+DYE_Xin
