location_name,value,method,filename
小学,"(20, 0, 0)",patch,15_PKU+DYE_Xuan
幼儿园,"(20, 0, 0)",patch,15_PKU+DYE_Xuan
粤海街道,"(26, 0, 0)",patch,15_PKU+DYE_Xuan
新建,"(53, 0, 0)",patch,15_PKU+DYE_Xuan
小学,"(68, 0, 0)",patch,15_PKU+DYE_Xuan
小学,"(89, 0, 0)",patch,15_PKU+DYE_Xuan
百花,"(98, 0, 0)",patch,15_PKU+DYE_Xuan
小学,"(100, 0, 0)",patch,15_PKU+DYE_Xuan
幼儿园,"(100, 0, 0)",patch,15_PKU+DYE_Xuan
中心区,"(177, 0, 0)",patch,15_PKU+DYE_Xuan
体育馆,"(183, 0, 0)",patch,15_PKU+DYE_Xuan
体育馆,"(184, 0, 0)",patch,15_PKU+DYE_Xuan
小学,"(186, 0, 0)",patch,15_PKU+DYE_Xuan
小学,"(222, 0, 0)",patch,15_PKU+DYE_Xuan
7号线,"(261, 0, 0)",patch,15_PKU+DYE_Xuan
中心区,"(307, 0, 0)",patch,15_PKU+DYE_Xuan
购物公园,"(307, 0, 0)",patch,15_PKU+DYE_Xuan
