location_name,value,method,filename
3号线,"(17, 0, 0)",patch,17_SCNUC_小于先生
建设,"(20, 0, 0)",patch,17_SCNUC_小于先生
中心区,"(28, 0, 0)",patch,17_SCNUC_小于先生
福田中心,"(28, 0, 0)",patch,17_SCNUC_小于先生
罗湖口岸,"(28, 0, 0)",patch,17_SCNUC_小于先生
向南,"(32, 0, 0)",patch,17_SCNUC_小于先生
市中心,"(32, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(34, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(34, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(34, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(34, 0, 0)",patch,17_SCNUC_小于先生
东部,"(34, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(38, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(38, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(38, 0, 0)",patch,17_SCNUC_小于先生
建设,"(38, 0, 0)",patch,17_SCNUC_小于先生
福田口岸站,"(38, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(40, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(40, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(40, 0, 0)",patch,17_SCNUC_小于先生
世界之窗,"(46, 0, 0)",patch,17_SCNUC_小于先生
1号线,"(48, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(48, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(55, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(55, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(66, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(66, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(67, 0, 0)",patch,17_SCNUC_小于先生
西南,"(67, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(69, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(69, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(69, 0, 0)",patch,17_SCNUC_小于先生
大运站,"(69, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(71, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(71, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(71, 0, 0)",patch,17_SCNUC_小于先生
7号线,"(71, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(73, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(73, 0, 0)",patch,17_SCNUC_小于先生
大行,"(86, 0, 0)",patch,17_SCNUC_小于先生
东部,"(87, 0, 0)",patch,17_SCNUC_小于先生
市中心,"(87, 0, 0)",patch,17_SCNUC_小于先生
西部,"(87, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(97, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(110, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(110, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(110, 0, 0)",patch,17_SCNUC_小于先生
建设,"(110, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(111, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(111, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(111, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(112, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(112, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(112, 0, 0)",patch,17_SCNUC_小于先生
大运站,"(112, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(113, 0, 0)",patch,17_SCNUC_小于先生
16号线,"(113, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(113, 0, 0)",patch,17_SCNUC_小于先生
大运站,"(113, 0, 0)",patch,17_SCNUC_小于先生
14号线,"(116, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(116, 0, 0)",patch,17_SCNUC_小于先生
4号线,"(116, 0, 0)",patch,17_SCNUC_小于先生
龙岗中心城,"(116, 0, 0)",patch,17_SCNUC_小于先生
3号线,"(119, 0, 0)",patch,17_SCNUC_小于先生
