location_name,value,method,filename
科学馆,"(26, 0, 0)",patch,17_SCNUC_小于女士
机场,"(28, 0, 0)",patch,17_SCNUC_小于女士
科学馆,"(30, 0, 0)",patch,17_SCNUC_小于女士
科学馆,"(35, 0, 0)",patch,17_SCNUC_小于女士
科学馆,"(36, 0, 0)",patch,17_SCNUC_小于女士
科学馆,"(37, 0, 0)",patch,17_SCNUC_小于女士
科学馆,"(38, 0, 0)",patch,17_SCNUC_小于女士
关口,"(61, 0, 0)",patch,17_SCNUC_小于女士
中心区,"(65, 0, 0)",patch,17_SCNUC_小于女士
关口,"(67, 0, 0)",patch,17_SCNUC_小于女士
机场,"(77, 0, 0)",patch,17_SCNUC_小于女士
中心区,"(79, 0, 0)",patch,17_SCNUC_小于女士
中心区,"(80, 0, 0)",patch,17_SCNUC_小于女士
机场,"(99, 0, 0)",patch,17_SCNUC_小于女士
新安,"(126, 0, 0)",patch,17_SCNUC_小于女士
新安公园站,"(126, 0, 0)",patch,17_SCNUC_小于女士
楼下,"(126, 0, 0)",patch,17_SCNUC_小于女士
图书馆,"(136, 0, 0)",patch,17_SCNUC_小于女士
中村,"(151, 0, 0)",patch,17_SCNUC_小于女士
中村,"(153, 0, 0)",patch,17_SCNUC_小于女士
高峰,"(183, 0, 0)",patch,17_SCNUC_小于女士
