location_name,value,method,filename
幼儿园,"(14, 0, 0)",patch,18_SZU_XZA_HE
华侨城,"(22, 0, 0)",patch,18_SZU_XZA_HE
东部,"(23, 0, 0)",patch,18_SZU_XZA_HE
东部华侨城,"(23, 0, 0)",patch,18_SZU_XZA_HE
华侨城,"(23, 0, 0)",patch,18_SZU_XZA_HE
远来,"(30, 0, 0)",patch,18_SZU_XZA_HE
体育馆,"(42, 0, 0)",patch,18_SZU_XZA_HE
小学,"(42, 0, 0)",patch,18_SZU_XZA_HE
水库,"(42, 0, 0)",patch,18_SZU_XZA_HE
华侨城,"(48, 0, 0)",patch,18_SZU_XZA_HE
体育馆,"(57, 0, 0)",patch,18_SZU_XZA_HE
体育馆站,"(57, 0, 0)",patch,18_SZU_XZA_HE
锦绣中华,"(62, 0, 0)",patch,18_SZU_XZA_HE
东部,"(63, 0, 0)",patch,18_SZU_XZA_HE
西部,"(63, 0, 0)",patch,18_SZU_XZA_HE
马峦,"(63, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(89, 0, 0)",patch,18_SZU_XZA_HE
马峦,"(98, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(100, 0, 0)",patch,18_SZU_XZA_HE
3号线,"(102, 0, 0)",patch,18_SZU_XZA_HE
黄贝,"(102, 0, 0)",patch,18_SZU_XZA_HE
黄贝岭站,"(102, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(143, 0, 0)",patch,18_SZU_XZA_HE
3号线,"(157, 0, 0)",patch,18_SZU_XZA_HE
高峰,"(167, 0, 0)",patch,18_SZU_XZA_HE
3号线,"(169, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(171, 0, 0)",patch,18_SZU_XZA_HE
机场,"(191, 0, 0)",patch,18_SZU_XZA_HE
11号线,"(193, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(193, 0, 0)",patch,18_SZU_XZA_HE
11号线,"(194, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(194, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(196, 0, 0)",patch,18_SZU_XZA_HE
新开,"(210, 0, 0)",patch,18_SZU_XZA_HE
高峰,"(210, 0, 0)",patch,18_SZU_XZA_HE
机场,"(214, 0, 0)",patch,18_SZU_XZA_HE
1号线,"(215, 0, 0)",patch,18_SZU_XZA_HE
高峰,"(223, 0, 0)",patch,18_SZU_XZA_HE
机场,"(227, 0, 0)",patch,18_SZU_XZA_HE
机场,"(229, 0, 0)",patch,18_SZU_XZA_HE
