location_name,value,method,filename
田龙,"(29, 0, 0)",patch,19_sustech_qk_He
西边,"(32, 0, 0)",patch,19_sustech_qk_He
大学城,"(45, 0, 0)",patch,19_sustech_qk_He
杨美,"(64, 0, 0)",patch,19_sustech_qk_He
杨美站,"(64, 0, 0)",patch,19_sustech_qk_He
建设,"(87, 0, 0)",patch,19_sustech_qk_He
建设,"(92, 0, 0)",patch,19_sustech_qk_He
中村,"(93, 0, 0)",patch,19_sustech_qk_He
中村,"(94, 0, 0)",patch,19_sustech_qk_He
14号线,"(128, 0, 0)",patch,19_sustech_qk_He
4号线,"(128, 0, 0)",patch,19_sustech_qk_He
4号线,"(142, 0, 0)",patch,19_sustech_qk_He
4号线,"(149, 0, 0)",patch,19_sustech_qk_He
7号线,"(149, 0, 0)",patch,19_sustech_qk_He
1号线,"(158, 0, 0)",patch,19_sustech_qk_He
4号线,"(158, 0, 0)",patch,19_sustech_qk_He
高峰,"(158, 0, 0)",patch,19_sustech_qk_He
1号线,"(162, 0, 0)",patch,19_sustech_qk_He
7号线,"(164, 0, 0)",patch,19_sustech_qk_He
4号线,"(176, 0, 0)",patch,19_sustech_qk_He
高峰,"(176, 0, 0)",patch,19_sustech_qk_He
4号线,"(177, 0, 0)",patch,19_sustech_qk_He
4号线,"(179, 0, 0)",patch,19_sustech_qk_He
4号线,"(180, 0, 0)",patch,19_sustech_qk_He
高峰,"(180, 0, 0)",patch,19_sustech_qk_He
高峰,"(183, 0, 0)",patch,19_sustech_qk_He
4号线,"(185, 0, 0)",patch,19_sustech_qk_He
楼下,"(188, 0, 0)",patch,19_sustech_qk_He
高峰,"(189, 0, 0)",patch,19_sustech_qk_He
14号线,"(204, 0, 0)",patch,19_sustech_qk_He
4号线,"(204, 0, 0)",patch,19_sustech_qk_He
14号线,"(285, 0, 0)",patch,19_sustech_qk_He
4号线,"(285, 0, 0)",patch,19_sustech_qk_He
东部,"(285, 0, 0)",patch,19_sustech_qk_He
14号线,"(286, 0, 0)",patch,19_sustech_qk_He
4号线,"(286, 0, 0)",patch,19_sustech_qk_He
14号线,"(289, 0, 0)",patch,19_sustech_qk_He
4号线,"(289, 0, 0)",patch,19_sustech_qk_He
机场,"(296, 0, 0)",patch,19_sustech_qk_He
机场,"(297, 0, 0)",patch,19_sustech_qk_He
11号线,"(298, 0, 0)",patch,19_sustech_qk_He
1号线,"(298, 0, 0)",patch,19_sustech_qk_He
机场,"(298, 0, 0)",patch,19_sustech_qk_He
11号线,"(299, 0, 0)",patch,19_sustech_qk_He
1号线,"(299, 0, 0)",patch,19_sustech_qk_He
机场,"(299, 0, 0)",patch,19_sustech_qk_He
机场东站,"(299, 0, 0)",patch,19_sustech_qk_He
海湾,"(299, 0, 0)",patch,19_sustech_qk_He
11号线,"(301, 0, 0)",patch,19_sustech_qk_He
1号线,"(301, 0, 0)",patch,19_sustech_qk_He
机场,"(301, 0, 0)",patch,19_sustech_qk_He
机场东站,"(301, 0, 0)",patch,19_sustech_qk_He
11号线,"(311, 0, 0)",patch,19_sustech_qk_He
1号线,"(311, 0, 0)",patch,19_sustech_qk_He
14号线,"(313, 0, 0)",patch,19_sustech_qk_He
4号线,"(313, 0, 0)",patch,19_sustech_qk_He
14号线,"(323, 0, 0)",patch,19_sustech_qk_He
4号线,"(323, 0, 0)",patch,19_sustech_qk_He
14号线,"(324, 0, 0)",patch,19_sustech_qk_He
4号线,"(324, 0, 0)",patch,19_sustech_qk_He
14号线,"(326, 0, 0)",patch,19_sustech_qk_He
4号线,"(326, 0, 0)",patch,19_sustech_qk_He
高峰,"(332, 0, 0)",patch,19_sustech_qk_He
1号线,"(335, 0, 0)",patch,19_sustech_qk_He
高峰,"(335, 0, 0)",patch,19_sustech_qk_He
高峰,"(336, 0, 0)",patch,19_sustech_qk_He
大学城,"(344, 0, 0)",patch,19_sustech_qk_He
大学城,"(345, 0, 0)",patch,19_sustech_qk_He
大学城,"(348, 0, 0)",patch,19_sustech_qk_He
大学城,"(349, 0, 0)",patch,19_sustech_qk_He
7号线,"(350, 0, 0)",patch,19_sustech_qk_He
大学城,"(350, 0, 0)",patch,19_sustech_qk_He
11号线,"(352, 0, 0)",patch,19_sustech_qk_He
1号线,"(352, 0, 0)",patch,19_sustech_qk_He
11号线,"(354, 0, 0)",patch,19_sustech_qk_He
1号线,"(354, 0, 0)",patch,19_sustech_qk_He
