location_name,value,method,filename
一村,"(30, 0, 0)",patch,19_sustech_qk_meng
中心公园,"(43, 0, 0)",patch,19_sustech_qk_meng
保税区,"(43, 0, 0)",patch,19_sustech_qk_meng
上梅林,"(47, 0, 0)",patch,19_sustech_qk_meng
冬瓜岭站,"(51, 0, 0)",patch,19_sustech_qk_meng
高峰,"(56, 0, 0)",patch,19_sustech_qk_meng
东部,"(76, 0, 0)",patch,19_sustech_qk_meng
东部华侨城,"(76, 0, 0)",patch,19_sustech_qk_meng
华侨城,"(76, 0, 0)",patch,19_sustech_qk_meng
一村,"(91, 0, 0)",patch,19_sustech_qk_meng
一村,"(95, 0, 0)",patch,19_sustech_qk_meng
幼儿园,"(104, 0, 0)",patch,19_sustech_qk_meng
高峰,"(117, 0, 0)",patch,19_sustech_qk_meng
世界之窗,"(135, 0, 0)",patch,19_sustech_qk_meng
4号线,"(142, 0, 0)",patch,19_sustech_qk_meng
4号线,"(144, 0, 0)",patch,19_sustech_qk_meng
4号线,"(145, 0, 0)",patch,19_sustech_qk_meng
4号线,"(150, 0, 0)",patch,19_sustech_qk_meng
7号线,"(152, 0, 0)",patch,19_sustech_qk_meng
7号线,"(156, 0, 0)",patch,19_sustech_qk_meng
市民中心,"(162, 0, 0)",patch,19_sustech_qk_meng
3号线,"(166, 0, 0)",patch,19_sustech_qk_meng
中心区,"(170, 0, 0)",patch,19_sustech_qk_meng
市民中心,"(170, 0, 0)",patch,19_sustech_qk_meng
建设,"(170, 0, 0)",patch,19_sustech_qk_meng
福田中心,"(170, 0, 0)",patch,19_sustech_qk_meng
大剧院,"(174, 0, 0)",patch,19_sustech_qk_meng
会展中心,"(175, 0, 0)",patch,19_sustech_qk_meng
华侨城,"(175, 0, 0)",patch,19_sustech_qk_meng
大剧院,"(175, 0, 0)",patch,19_sustech_qk_meng
建设,"(175, 0, 0)",patch,19_sustech_qk_meng
机场,"(175, 0, 0)",patch,19_sustech_qk_meng
体育馆,"(177, 0, 0)",patch,19_sustech_qk_meng
建设,"(177, 0, 0)",patch,19_sustech_qk_meng
机场,"(177, 0, 0)",patch,19_sustech_qk_meng
西边,"(177, 0, 0)",patch,19_sustech_qk_meng
西边,"(178, 0, 0)",patch,19_sustech_qk_meng
世界之窗,"(179, 0, 0)",patch,19_sustech_qk_meng
罗宝线,"(182, 0, 0)",patch,19_sustech_qk_meng
14号线,"(183, 0, 0)",patch,19_sustech_qk_meng
3号线,"(183, 0, 0)",patch,19_sustech_qk_meng
4号线,"(183, 0, 0)",patch,19_sustech_qk_meng
罗宝线,"(183, 0, 0)",patch,19_sustech_qk_meng
4号线,"(189, 0, 0)",patch,19_sustech_qk_meng
建设,"(189, 0, 0)",patch,19_sustech_qk_meng
市中心,"(190, 0, 0)",patch,19_sustech_qk_meng
中心区,"(195, 0, 0)",patch,19_sustech_qk_meng
花园,"(198, 0, 0)",patch,19_sustech_qk_meng
龙岗中心城,"(198, 0, 0)",patch,19_sustech_qk_meng
会展中心,"(199, 0, 0)",patch,19_sustech_qk_meng
机场,"(204, 0, 0)",patch,19_sustech_qk_meng
机场,"(209, 0, 0)",patch,19_sustech_qk_meng
会展中心,"(210, 0, 0)",patch,19_sustech_qk_meng
市民中心,"(210, 0, 0)",patch,19_sustech_qk_meng
机场,"(210, 0, 0)",patch,19_sustech_qk_meng
幼儿园,"(222, 0, 0)",patch,19_sustech_qk_meng
16号线,"(229, 0, 0)",patch,19_sustech_qk_meng
建设,"(237, 0, 0)",patch,19_sustech_qk_meng
14号线,"(240, 0, 0)",patch,19_sustech_qk_meng
4号线,"(240, 0, 0)",patch,19_sustech_qk_meng
新开,"(240, 0, 0)",patch,19_sustech_qk_meng
西边,"(243, 0, 0)",patch,19_sustech_qk_meng
水库,"(248, 0, 0)",patch,19_sustech_qk_meng
4号线,"(257, 0, 0)",patch,19_sustech_qk_meng
中心区,"(257, 0, 0)",patch,19_sustech_qk_meng
4号线,"(258, 0, 0)",patch,19_sustech_qk_meng
会展中心,"(290, 0, 0)",patch,19_sustech_qk_meng
黄贝,"(299, 0, 0)",patch,19_sustech_qk_meng
高峰,"(300, 0, 0)",patch,19_sustech_qk_meng
4号线,"(305, 0, 0)",patch,19_sustech_qk_meng
4号线,"(326, 0, 0)",patch,19_sustech_qk_meng
1号线,"(338, 0, 0)",patch,19_sustech_qk_meng
高峰,"(348, 0, 0)",patch,19_sustech_qk_meng
高峰,"(349, 0, 0)",patch,19_sustech_qk_meng
高峰,"(352, 0, 0)",patch,19_sustech_qk_meng
中村,"(357, 0, 0)",patch,19_sustech_qk_meng
中村,"(358, 0, 0)",patch,19_sustech_qk_meng
中村,"(362, 0, 0)",patch,19_sustech_qk_meng
楼下,"(364, 0, 0)",patch,19_sustech_qk_meng
14号线,"(369, 0, 0)",patch,19_sustech_qk_meng
4号线,"(369, 0, 0)",patch,19_sustech_qk_meng
4号线,"(373, 0, 0)",patch,19_sustech_qk_meng
