location_name,value,method,filename
东二市场,"(3, 0, 0)",patch,1_SZUZJY_来深33年邹先生
民治街道办,"(3, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心区,"(17, 0, 0)",patch,1_SZUZJY_来深33年邹先生
花园,"(17, 0, 0)",patch,1_SZUZJY_来深33年邹先生
邮局,"(17, 0, 0)",patch,1_SZUZJY_来深33年邹先生
玩具加工厂,"(26, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心区,"(29, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心区,"(31, 0, 0)",patch,1_SZUZJY_来深33年邹先生
汕头合作区,"(32, 0, 0)",patch,1_SZUZJY_来深33年邹先生
花园,"(34, 0, 0)",patch,1_SZUZJY_来深33年邹先生
市中心,"(36, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心区,"(40, 0, 0)",patch,1_SZUZJY_来深33年邹先生
市中心,"(40, 0, 0)",patch,1_SZUZJY_来深33年邹先生
市中心区,"(40, 0, 0)",patch,1_SZUZJY_来深33年邹先生
建设,"(40, 0, 0)",patch,1_SZUZJY_来深33年邹先生
4号线,"(41, 0, 0)",patch,1_SZUZJY_来深33年邹先生
东二市场,"(64, 0, 0)",patch,1_SZUZJY_来深33年邹先生
民治街道办,"(64, 0, 0)",patch,1_SZUZJY_来深33年邹先生
4号线,"(81, 0, 0)",patch,1_SZUZJY_来深33年邹先生
高峰,"(81, 0, 0)",patch,1_SZUZJY_来深33年邹先生
高峰,"(83, 0, 0)",patch,1_SZUZJY_来深33年邹先生
小学,"(104, 0, 0)",patch,1_SZUZJY_来深33年邹先生
幼儿园,"(104, 0, 0)",patch,1_SZUZJY_来深33年邹先生
高峰,"(114, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心区,"(119, 0, 0)",patch,1_SZUZJY_来深33年邹先生
前进,"(126, 0, 0)",patch,1_SZUZJY_来深33年邹先生
中心公园,"(130, 0, 0)",patch,1_SZUZJY_来深33年邹先生
会展中心,"(130, 0, 0)",patch,1_SZUZJY_来深33年邹先生
大剧院,"(130, 0, 0)",patch,1_SZUZJY_来深33年邹先生
11号线,"(133, 0, 0)",patch,1_SZUZJY_来深33年邹先生
1号线,"(133, 0, 0)",patch,1_SZUZJY_来深33年邹先生
机场,"(133, 0, 0)",patch,1_SZUZJY_来深33年邹先生
海湾,"(133, 0, 0)",patch,1_SZUZJY_来深33年邹先生
11号线,"(134, 0, 0)",patch,1_SZUZJY_来深33年邹先生
1号线,"(134, 0, 0)",patch,1_SZUZJY_来深33年邹先生
海湾,"(135, 0, 0)",patch,1_SZUZJY_来深33年邹先生
建设,"(155, 0, 0)",patch,1_SZUZJY_来深33年邹先生
邮局,"(170, 0, 0)",patch,1_SZUZJY_来深33年邹先生
大剧院,"(178, 0, 0)",patch,1_SZUZJY_来深33年邹先生
公安,"(194, 0, 0)",patch,1_SZUZJY_来深33年邹先生
