location_name,value,method,filename
粤海街道,"(13, 0, 0)",patch,2_JNU LLW_DB
粤海街道,"(15, 0, 0)",patch,2_JNU LLW_DB
小学,"(35, 0, 0)",patch,2_JNU LLW_DB
小学,"(65, 0, 0)",patch,2_JNU LLW_DB
龙岗中心城,"(84, 0, 0)",patch,2_JNU LLW_DB
黄贝,"(100, 0, 0)",patch,2_JNU LLW_DB
文锦,"(111, 0, 0)",patch,2_JNU LLW_DB
文锦渡口岸,"(111, 0, 0)",patch,2_JNU LLW_DB
罗湖口岸,"(111, 0, 0)",patch,2_JNU LLW_DB
关口,"(113, 0, 0)",patch,2_JNU LLW_DB
罗湖口岸,"(113, 0, 0)",patch,2_JNU LLW_DB
关口,"(115, 0, 0)",patch,2_JNU LLW_DB
关口,"(127, 0, 0)",patch,2_JNU LLW_DB
关口,"(129, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(159, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(161, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(165, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(167, 0, 0)",patch,2_JNU LLW_DB
新开,"(171, 0, 0)",patch,2_JNU LLW_DB
高峰,"(214, 0, 0)",patch,2_JNU LLW_DB
高峰,"(226, 0, 0)",patch,2_JNU LLW_DB
铁路公园站,"(247, 0, 0)",patch,2_JNU LLW_DB
黄贝,"(250, 0, 0)",patch,2_JNU LLW_DB
机场,"(278, 0, 0)",patch,2_JNU LLW_DB
机场,"(280, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(315, 0, 0)",patch,2_JNU LLW_DB
向南,"(317, 0, 0)",patch,2_JNU LLW_DB
4号线,"(319, 0, 0)",patch,2_JNU LLW_DB
会展中心,"(319, 0, 0)",patch,2_JNU LLW_DB
大剧院,"(327, 0, 0)",patch,2_JNU LLW_DB
小学,"(357, 0, 0)",patch,2_JNU LLW_DB
