location_name,value,method,filename
田心,"(107, 0, 0)",patch,2_JNU LLW_LXS
田心,"(108, 0, 0)",patch,2_JNU LLW_LXS
田心,"(109, 0, 0)",patch,2_JNU LLW_LXS
田心,"(112, 0, 0)",patch,2_JNU LLW_LXS
田心,"(113, 0, 0)",patch,2_JNU LLW_LXS
田心,"(114, 0, 0)",patch,2_JNU LLW_LXS
海滨路,"(194, 0, 0)",patch,2_JNU LLW_LXS
建设,"(199, 0, 0)",patch,2_JNU LLW_LXS
河西,"(199, 0, 0)",patch,2_JNU LLW_LXS
河西路,"(199, 0, 0)",patch,2_JNU LLW_LXS
建设,"(201, 0, 0)",patch,2_JNU LLW_LXS
松山,"(286, 0, 0)",patch,2_JNU LLW_LXS
松山仔,"(286, 0, 0)",patch,2_JNU LLW_LXS
少年宫,"(325, 0, 0)",patch,2_JNU LLW_LXS
大剧院,"(331, 0, 0)",patch,2_JNU LLW_LXS
少年宫,"(341, 0, 0)",patch,2_JNU LLW_LXS
中心公园,"(346, 0, 0)",patch,2_JNU LLW_LXS
公安,"(346, 0, 0)",patch,2_JNU LLW_LXS
中村,"(385, 0, 0)",patch,2_JNU LLW_LXS
中村,"(386, 0, 0)",patch,2_JNU LLW_LXS
中村,"(388, 0, 0)",patch,2_JNU LLW_LXS
中村,"(389, 0, 0)",patch,2_JNU LLW_LXS
中村,"(390, 0, 0)",patch,2_JNU LLW_LXS
中村,"(397, 0, 0)",patch,2_JNU LLW_LXS
中村,"(407, 0, 0)",patch,2_JNU LLW_LXS
中心区,"(408, 0, 0)",patch,2_JNU LLW_LXS
中村,"(408, 0, 0)",patch,2_JNU LLW_LXS
福田中心,"(408, 0, 0)",patch,2_JNU LLW_LXS
中心区,"(409, 0, 0)",patch,2_JNU LLW_LXS
福田中心,"(409, 0, 0)",patch,2_JNU LLW_LXS
中心区,"(410, 0, 0)",patch,2_JNU LLW_LXS
中村,"(412, 0, 0)",patch,2_JNU LLW_LXS
会展中心,"(414, 0, 0)",patch,2_JNU LLW_LXS
中村,"(426, 0, 0)",patch,2_JNU LLW_LXS
中村,"(432, 0, 0)",patch,2_JNU LLW_LXS
世界之窗,"(440, 0, 0)",patch,2_JNU LLW_LXS
下横岗,"(451, 0, 0)",patch,2_JNU LLW_LXS
世界之窗,"(477, 0, 0)",patch,2_JNU LLW_LXS
世界之窗,"(478, 0, 0)",patch,2_JNU LLW_LXS
爱联站,"(509, 0, 0)",patch,2_JNU LLW_LXS
上其,"(521, 0, 0)",patch,2_JNU LLW_LXS
高峰,"(534, 0, 0)",patch,2_JNU LLW_LXS
高峰,"(535, 0, 0)",patch,2_JNU LLW_LXS
世界之窗,"(570, 0, 0)",patch,2_JNU LLW_LXS
世界之窗,"(574, 0, 0)",patch,2_JNU LLW_LXS
机场,"(586, 0, 0)",patch,2_JNU LLW_LXS
4号线,"(599, 0, 0)",patch,2_JNU LLW_LXS
16号线,"(600, 0, 0)",patch,2_JNU LLW_LXS
