location_name,value,method,filename
小学,"(2, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(55, 0, 0)",patch,2_JNU LLW_RRAY
龙岗中心城,"(58, 0, 0)",patch,2_JNU LLW_RRAY
龙岗中心城,"(59, 0, 0)",patch,2_JNU LLW_RRAY
14号线,"(64, 0, 0)",patch,2_JNU LLW_RRAY
4号线,"(64, 0, 0)",patch,2_JNU LLW_RRAY
体育馆,"(138, 0, 0)",patch,2_JNU LLW_RRAY
花园,"(138, 0, 0)",patch,2_JNU LLW_RRAY
花园,"(140, 0, 0)",patch,2_JNU LLW_RRAY
巴丁,"(141, 0, 0)",patch,2_JNU LLW_RRAY
体育馆,"(143, 0, 0)",patch,2_JNU LLW_RRAY
巴丁,"(143, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(166, 0, 0)",patch,2_JNU LLW_RRAY
皇岗口岸,"(192, 0, 0)",patch,2_JNU LLW_RRAY
罗湖口岸,"(192, 0, 0)",patch,2_JNU LLW_RRAY
罗宝线,"(269, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(273, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(313, 0, 0)",patch,2_JNU LLW_RRAY
大剧院,"(421, 0, 0)",patch,2_JNU LLW_RRAY
大剧院,"(422, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(423, 0, 0)",patch,2_JNU LLW_RRAY
机场,"(423, 0, 0)",patch,2_JNU LLW_RRAY
罗湖口岸,"(425, 0, 0)",patch,2_JNU LLW_RRAY
机场,"(427, 0, 0)",patch,2_JNU LLW_RRAY
宝安站,"(428, 0, 0)",patch,2_JNU LLW_RRAY
机场,"(428, 0, 0)",patch,2_JNU LLW_RRAY
机场站,"(428, 0, 0)",patch,2_JNU LLW_RRAY
机场,"(429, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(476, 0, 0)",patch,2_JNU LLW_RRAY
龙岗中心城,"(477, 0, 0)",patch,2_JNU LLW_RRAY
世界之窗,"(484, 0, 0)",patch,2_JNU LLW_RRAY
