location_name,value,method,filename
华侨城,"(4, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(10, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(12, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(14, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(15, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(19, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(20, 0, 0)",patch,2_JNU LLW_SYJZ
向西,"(42, 0, 0)",patch,2_JNU LLW_SYJZ
市民中心,"(42, 0, 0)",patch,2_JNU LLW_SYJZ
同乐,"(70, 0, 0)",patch,2_JNU LLW_SYJZ
中村,"(98, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(98, 0, 0)",patch,2_JNU LLW_SYJZ
11号线,"(99, 0, 0)",patch,2_JNU LLW_SYJZ
1号线,"(99, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(99, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(109, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城站,"(109, 0, 0)",patch,2_JNU LLW_SYJZ
向西,"(117, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(117, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(118, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(118, 0, 0)",patch,2_JNU LLW_SYJZ
11号线,"(119, 0, 0)",patch,2_JNU LLW_SYJZ
1号线,"(119, 0, 0)",patch,2_JNU LLW_SYJZ
科学馆,"(129, 0, 0)",patch,2_JNU LLW_SYJZ
科学馆,"(132, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(149, 0, 0)",patch,2_JNU LLW_SYJZ
向东,"(161, 0, 0)",patch,2_JNU LLW_SYJZ
高峰,"(161, 0, 0)",patch,2_JNU LLW_SYJZ
11号线,"(163, 0, 0)",patch,2_JNU LLW_SYJZ
1号线,"(163, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(163, 0, 0)",patch,2_JNU LLW_SYJZ
11号线,"(174, 0, 0)",patch,2_JNU LLW_SYJZ
1号线,"(174, 0, 0)",patch,2_JNU LLW_SYJZ
3号线,"(174, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(177, 0, 0)",patch,2_JNU LLW_SYJZ
向东,"(191, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(195, 0, 0)",patch,2_JNU LLW_SYJZ
粤海街道,"(195, 0, 0)",patch,2_JNU LLW_SYJZ
世界之窗,"(199, 0, 0)",patch,2_JNU LLW_SYJZ
世界之窗站,"(199, 0, 0)",patch,2_JNU LLW_SYJZ
少年宫,"(199, 0, 0)",patch,2_JNU LLW_SYJZ
市民中心,"(199, 0, 0)",patch,2_JNU LLW_SYJZ
机场,"(199, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城,"(209, 0, 0)",patch,2_JNU LLW_SYJZ
华侨城站,"(209, 0, 0)",patch,2_JNU LLW_SYJZ
小学,"(215, 0, 0)",patch,2_JNU LLW_SYJZ
市民中心,"(215, 0, 0)",patch,2_JNU LLW_SYJZ
