location_name,value,method,filename
公安,"(28, 0, 0)",patch,2_JNU LLW_XBB
中心公园,"(73, 0, 0)",patch,2_JNU LLW_XBB
中心公园,"(74, 0, 0)",patch,2_JNU LLW_XBB
中心公园,"(75, 0, 0)",patch,2_JNU LLW_XBB
上梅林,"(91, 0, 0)",patch,2_JNU LLW_XBB
中心公园,"(97, 0, 0)",patch,2_JNU LLW_XBB
建设,"(150, 0, 0)",patch,2_JNU LLW_XBB
建设,"(178, 0, 0)",patch,2_JNU LLW_XBB
建设,"(179, 0, 0)",patch,2_JNU LLW_XBB
建设,"(184, 0, 0)",patch,2_JNU LLW_XBB
建设,"(186, 0, 0)",patch,2_JNU LLW_XBB
建设,"(191, 0, 0)",patch,2_JNU LLW_XBB
建设,"(193, 0, 0)",patch,2_JNU LLW_XBB
水库,"(209, 0, 0)",patch,2_JNU LLW_XBB
中心区,"(269, 0, 0)",patch,2_JNU LLW_XBB
建设,"(283, 0, 0)",patch,2_JNU LLW_XBB
3号线,"(295, 0, 0)",patch,2_JNU LLW_XBB
高峰,"(295, 0, 0)",patch,2_JNU LLW_XBB
高峰,"(300, 0, 0)",patch,2_JNU LLW_XBB
小学,"(327, 0, 0)",patch,2_JNU LLW_XBB
7号线,"(338, 0, 0)",patch,2_JNU LLW_XBB
3号线,"(347, 0, 0)",patch,2_JNU LLW_XBB
7号线,"(347, 0, 0)",patch,2_JNU LLW_XBB
3号线,"(385, 0, 0)",patch,2_JNU LLW_XBB
7号线,"(385, 0, 0)",patch,2_JNU LLW_XBB
高峰,"(419, 0, 0)",patch,2_JNU LLW_XBB
高峰,"(435, 0, 0)",patch,2_JNU LLW_XBB
机场,"(461, 0, 0)",patch,2_JNU LLW_XBB
公安,"(469, 0, 0)",patch,2_JNU LLW_XBB
沙头,"(489, 0, 0)",patch,2_JNU LLW_XBB
建设,"(501, 0, 0)",patch,2_JNU LLW_XBB
机场,"(516, 0, 0)",patch,2_JNU LLW_XBB
建设,"(518, 0, 0)",patch,2_JNU LLW_XBB
新建,"(545, 0, 0)",patch,2_JNU LLW_XBB
建设,"(547, 0, 0)",patch,2_JNU LLW_XBB
建设,"(551, 0, 0)",patch,2_JNU LLW_XBB
建设,"(559, 0, 0)",patch,2_JNU LLW_XBB
公安,"(585, 0, 0)",patch,2_JNU LLW_XBB
