location_name,value,method,filename
图书馆,"(23, 0, 0)",patch,3_SZTUWWX_李先生
图书馆,"(24, 0, 0)",patch,3_SZTUWWX_李先生
莲塘街道,"(43, 0, 0)",patch,3_SZTUWWX_李先生
体育馆,"(49, 0, 0)",patch,3_SZTUWWX_李先生
体育馆站,"(49, 0, 0)",patch,3_SZTUWWX_李先生
百花,"(55, 0, 0)",patch,3_SZTUWWX_李先生
上梅林,"(59, 0, 0)",patch,3_SZTUWWX_李先生
上梅林,"(60, 0, 0)",patch,3_SZTUWWX_李先生
公交总站,"(61, 0, 0)",patch,3_SZTUWWX_李先生
7号线,"(65, 0, 0)",patch,3_SZTUWWX_李先生
西边,"(69, 0, 0)",patch,3_SZTUWWX_李先生
体育馆,"(75, 0, 0)",patch,3_SZTUWWX_李先生
体育馆站,"(75, 0, 0)",patch,3_SZTUWWX_李先生
体育馆,"(76, 0, 0)",patch,3_SZTUWWX_李先生
百花,"(76, 0, 0)",patch,3_SZTUWWX_李先生
一村,"(85, 0, 0)",patch,3_SZTUWWX_李先生
梅林一村,"(85, 0, 0)",patch,3_SZTUWWX_李先生
体育馆,"(87, 0, 0)",patch,3_SZTUWWX_李先生
3号线,"(94, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(121, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(124, 0, 0)",patch,3_SZTUWWX_李先生
龙岗中心城,"(125, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(139, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(140, 0, 0)",patch,3_SZTUWWX_李先生
中心区,"(142, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(142, 0, 0)",patch,3_SZTUWWX_李先生
三和,"(146, 0, 0)",patch,3_SZTUWWX_李先生
中村,"(146, 0, 0)",patch,3_SZTUWWX_李先生
三和,"(147, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(148, 0, 0)",patch,3_SZTUWWX_李先生
中村,"(148, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(148, 0, 0)",patch,3_SZTUWWX_李先生
市中心,"(158, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(177, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(178, 0, 0)",patch,3_SZTUWWX_李先生
机场,"(188, 0, 0)",patch,3_SZTUWWX_李先生
科学馆,"(188, 0, 0)",patch,3_SZTUWWX_李先生
科学馆站,"(188, 0, 0)",patch,3_SZTUWWX_李先生
机场,"(190, 0, 0)",patch,3_SZTUWWX_李先生
科学馆,"(190, 0, 0)",patch,3_SZTUWWX_李先生
机场,"(193, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(202, 0, 0)",patch,3_SZTUWWX_李先生
儿童医院,"(225, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(239, 0, 0)",patch,3_SZTUWWX_李先生
上梅林,"(242, 0, 0)",patch,3_SZTUWWX_李先生
上梅林站,"(242, 0, 0)",patch,3_SZTUWWX_李先生
下梅林站,"(242, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(243, 0, 0)",patch,3_SZTUWWX_李先生
上梅林,"(243, 0, 0)",patch,3_SZTUWWX_李先生
上梅林,"(244, 0, 0)",patch,3_SZTUWWX_李先生
小学,"(251, 0, 0)",patch,3_SZTUWWX_李先生
高峰,"(290, 0, 0)",patch,3_SZTUWWX_李先生
世界之窗,"(304, 0, 0)",patch,3_SZTUWWX_李先生
龙岗中心城,"(339, 0, 0)",patch,3_SZTUWWX_李先生
少年宫,"(357, 0, 0)",patch,3_SZTUWWX_李先生
购物公园,"(357, 0, 0)",patch,3_SZTUWWX_李先生
购物公园,"(358, 0, 0)",patch,3_SZTUWWX_李先生
14号线,"(368, 0, 0)",patch,3_SZTUWWX_李先生
4号线,"(368, 0, 0)",patch,3_SZTUWWX_李先生
7号线,"(368, 0, 0)",patch,3_SZTUWWX_李先生
体育馆,"(376, 0, 0)",patch,3_SZTUWWX_李先生
厦门地铁,"(384, 0, 0)",patch,3_SZTUWWX_李先生
