location_name,value,method,filename
世界之窗,"(16, 0, 0)",patch,3_SZTUWWX_许女士
粤海街道,"(17, 0, 0)",patch,3_SZTUWWX_许女士
莲花街道,"(22, 0, 0)",patch,3_SZTUWWX_许女士
新村,"(29, 0, 0)",patch,3_SZTUWWX_许女士
幼儿园,"(50, 0, 0)",patch,3_SZTUWWX_许女士
幼儿园,"(58, 0, 0)",patch,3_SZTUWWX_许女士
小学,"(64, 0, 0)",patch,3_SZTUWWX_许女士
14号线,"(69, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(69, 0, 0)",patch,3_SZTUWWX_许女士
关口,"(69, 0, 0)",patch,3_SZTUWWX_许女士
市中心,"(69, 0, 0)",patch,3_SZTUWWX_许女士
市民中心,"(69, 0, 0)",patch,3_SZTUWWX_许女士
关口,"(70, 0, 0)",patch,3_SZTUWWX_许女士
小学,"(71, 0, 0)",patch,3_SZTUWWX_许女士
市中心,"(72, 0, 0)",patch,3_SZTUWWX_许女士
14号线,"(101, 0, 0)",patch,3_SZTUWWX_许女士
3号线,"(101, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(101, 0, 0)",patch,3_SZTUWWX_许女士
新开,"(102, 0, 0)",patch,3_SZTUWWX_许女士
小学,"(117, 0, 0)",patch,3_SZTUWWX_许女士
小学,"(122, 0, 0)",patch,3_SZTUWWX_许女士
小学,"(123, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(129, 0, 0)",patch,3_SZTUWWX_许女士
7号线,"(129, 0, 0)",patch,3_SZTUWWX_许女士
上梅林,"(129, 0, 0)",patch,3_SZTUWWX_许女士
上梅林站,"(129, 0, 0)",patch,3_SZTUWWX_许女士
7号线,"(131, 0, 0)",patch,3_SZTUWWX_许女士
上梅林,"(131, 0, 0)",patch,3_SZTUWWX_许女士
上梅林站,"(131, 0, 0)",patch,3_SZTUWWX_许女士
7号线,"(132, 0, 0)",patch,3_SZTUWWX_许女士
上梅林,"(137, 0, 0)",patch,3_SZTUWWX_许女士
会展中心,"(141, 0, 0)",patch,3_SZTUWWX_许女士
会展中心,"(143, 0, 0)",patch,3_SZTUWWX_许女士
大剧院,"(143, 0, 0)",patch,3_SZTUWWX_许女士
百鸽笼站,"(143, 0, 0)",patch,3_SZTUWWX_许女士
黄贝,"(143, 0, 0)",patch,3_SZTUWWX_许女士
14号线,"(149, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(149, 0, 0)",patch,3_SZTUWWX_许女士
黄贝,"(152, 0, 0)",patch,3_SZTUWWX_许女士
14号线,"(153, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(153, 0, 0)",patch,3_SZTUWWX_许女士
14号线,"(158, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(158, 0, 0)",patch,3_SZTUWWX_许女士
上其,"(171, 0, 0)",patch,3_SZTUWWX_许女士
莲花村站,"(174, 0, 0)",patch,3_SZTUWWX_许女士
高峰,"(191, 0, 0)",patch,3_SZTUWWX_许女士
会展中心,"(209, 0, 0)",patch,3_SZTUWWX_许女士
市中心,"(209, 0, 0)",patch,3_SZTUWWX_许女士
会展中心,"(213, 0, 0)",patch,3_SZTUWWX_许女士
4号线,"(215, 0, 0)",patch,3_SZTUWWX_许女士
厦门地铁,"(218, 0, 0)",patch,3_SZTUWWX_许女士
