location_name,value,method,filename
莲花街道,"(17, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
莲花街道,"(18, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
莲花街道,"(29, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(47, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(47, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(51, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(51, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(52, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(53, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(53, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
水库,"(53, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
水库,"(56, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
水库,"(57, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
市中心,"(59, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
市中心,"(61, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
花园,"(61, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
花园,"(62, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
花园,"(63, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
水库,"(68, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(69, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(69, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
水库,"(69, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
花园,"(69, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
上梅林,"(70, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
上梅林,"(71, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(73, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(73, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(74, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(74, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(80, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(80, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
体育馆,"(87, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
图书馆,"(87, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
凤凰,"(106, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
新村,"(113, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
新村,"(114, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
新村,"(115, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
一村,"(147, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
梅林一村,"(147, 0, 0)",patch,3_SZTUWWX_谭女士霍先生
