location_name,value,method,filename
小学,"(33, 0, 0)",patch,3_SZTUWWX_邓先生王女士
幼儿园,"(33, 0, 0)",patch,3_SZTUWWX_邓先生王女士
水库,"(39, 0, 0)",patch,3_SZTUWWX_邓先生王女士
水库,"(49, 0, 0)",patch,3_SZTUWWX_邓先生王女士
小学,"(68, 0, 0)",patch,3_SZTUWWX_邓先生王女士
市中心,"(68, 0, 0)",patch,3_SZTUWWX_邓先生王女士
新村,"(70, 0, 0)",patch,3_SZTUWWX_邓先生王女士
水库,"(70, 0, 0)",patch,3_SZTUWWX_邓先生王女士
新村,"(71, 0, 0)",patch,3_SZTUWWX_邓先生王女士
水库,"(71, 0, 0)",patch,3_SZTUWWX_邓先生王女士
市中心,"(92, 0, 0)",patch,3_SZTUWWX_邓先生王女士
龙岗中心城,"(104, 0, 0)",patch,3_SZTUWWX_邓先生王女士
富士康,"(112, 0, 0)",patch,3_SZTUWWX_邓先生王女士
富士康,"(126, 0, 0)",patch,3_SZTUWWX_邓先生王女士
富士康,"(127, 0, 0)",patch,3_SZTUWWX_邓先生王女士
富士康,"(128, 0, 0)",patch,3_SZTUWWX_邓先生王女士
小梅沙,"(136, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(140, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(140, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(143, 0, 0)",patch,3_SZTUWWX_邓先生王女士
1号线,"(155, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(155, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(155, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(156, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(157, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(158, 0, 0)",patch,3_SZTUWWX_邓先生王女士
11号线,"(163, 0, 0)",patch,3_SZTUWWX_邓先生王女士
1号线,"(163, 0, 0)",patch,3_SZTUWWX_邓先生王女士
华侨城,"(184, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(192, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(194, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(205, 0, 0)",patch,3_SZTUWWX_邓先生王女士
黄贝,"(207, 0, 0)",patch,3_SZTUWWX_邓先生王女士
黄贝,"(208, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(211, 0, 0)",patch,3_SZTUWWX_邓先生王女士
横岗站,"(211, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(213, 0, 0)",patch,3_SZTUWWX_邓先生王女士
中心区,"(273, 0, 0)",patch,3_SZTUWWX_邓先生王女士
花园,"(273, 0, 0)",patch,3_SZTUWWX_邓先生王女士
14号线,"(280, 0, 0)",patch,3_SZTUWWX_邓先生王女士
16号线,"(280, 0, 0)",patch,3_SZTUWWX_邓先生王女士
1号线,"(280, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(280, 0, 0)",patch,3_SZTUWWX_邓先生王女士
16号线,"(282, 0, 0)",patch,3_SZTUWWX_邓先生王女士
11号线,"(291, 0, 0)",patch,3_SZTUWWX_邓先生王女士
1号线,"(291, 0, 0)",patch,3_SZTUWWX_邓先生王女士
3号线,"(291, 0, 0)",patch,3_SZTUWWX_邓先生王女士
7号线,"(291, 0, 0)",patch,3_SZTUWWX_邓先生王女士
14号线,"(297, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(297, 0, 0)",patch,3_SZTUWWX_邓先生王女士
4号线,"(309, 0, 0)",patch,3_SZTUWWX_邓先生王女士
