location_name,value,method,filename
花园,"(20, 0, 0)",patch,3_SZTUWWX_陈女士
花园,"(45, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(62, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(65, 0, 0)",patch,3_SZTUWWX_陈女士
7号线,"(68, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(68, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(68, 0, 0)",patch,3_SZTUWWX_陈女士
市中心,"(100, 0, 0)",patch,3_SZTUWWX_陈女士
市中心,"(106, 0, 0)",patch,3_SZTUWWX_陈女士
市中心,"(107, 0, 0)",patch,3_SZTUWWX_陈女士
花园,"(154, 0, 0)",patch,3_SZTUWWX_陈女士
3号线,"(158, 0, 0)",patch,3_SZTUWWX_陈女士
花园,"(158, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(164, 0, 0)",patch,3_SZTUWWX_陈女士
3号线,"(173, 0, 0)",patch,3_SZTUWWX_陈女士
7号线,"(173, 0, 0)",patch,3_SZTUWWX_陈女士
中村,"(173, 0, 0)",patch,3_SZTUWWX_陈女士
新建,"(173, 0, 0)",patch,3_SZTUWWX_陈女士
中村,"(177, 0, 0)",patch,3_SZTUWWX_陈女士
中村,"(178, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(178, 0, 0)",patch,3_SZTUWWX_陈女士
大剧院,"(184, 0, 0)",patch,3_SZTUWWX_陈女士
大剧院,"(185, 0, 0)",patch,3_SZTUWWX_陈女士
大剧院,"(186, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(188, 0, 0)",patch,3_SZTUWWX_陈女士
大剧院,"(193, 0, 0)",patch,3_SZTUWWX_陈女士
大剧院,"(194, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(207, 0, 0)",patch,3_SZTUWWX_陈女士
少年宫,"(207, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(209, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(211, 0, 0)",patch,3_SZTUWWX_陈女士
花园,"(211, 0, 0)",patch,3_SZTUWWX_陈女士
少年宫,"(212, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(213, 0, 0)",patch,3_SZTUWWX_陈女士
花园,"(215, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(217, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(220, 0, 0)",patch,3_SZTUWWX_陈女士
7号线,"(228, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(229, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(230, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(232, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(233, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(234, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(235, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(247, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(248, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(249, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(251, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(257, 0, 0)",patch,3_SZTUWWX_陈女士
高峰,"(259, 0, 0)",patch,3_SZTUWWX_陈女士
高峰,"(260, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(263, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(267, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(268, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(269, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(270, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(271, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(272, 0, 0)",patch,3_SZTUWWX_陈女士
图书馆,"(275, 0, 0)",patch,3_SZTUWWX_陈女士
7号线,"(280, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(297, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(298, 0, 0)",patch,3_SZTUWWX_陈女士
小学,"(299, 0, 0)",patch,3_SZTUWWX_陈女士
高峰,"(303, 0, 0)",patch,3_SZTUWWX_陈女士
高峰,"(308, 0, 0)",patch,3_SZTUWWX_陈女士
高峰,"(339, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(422, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(427, 0, 0)",patch,3_SZTUWWX_陈女士
机场,"(430, 0, 0)",patch,3_SZTUWWX_陈女士
