location_name,value,method,filename
新开,"(6, 0, 0)",patch,4_UT_LJY_UU
新建,"(31, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(32, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(35, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(36, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(38, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(41, 0, 0)",patch,4_UT_LJY_UU
7号线,"(43, 0, 0)",patch,4_UT_LJY_UU
14号线,"(51, 0, 0)",patch,4_UT_LJY_UU
4号线,"(51, 0, 0)",patch,4_UT_LJY_UU
14号线,"(55, 0, 0)",patch,4_UT_LJY_UU
16号线,"(55, 0, 0)",patch,4_UT_LJY_UU
4号线,"(55, 0, 0)",patch,4_UT_LJY_UU
花园,"(62, 0, 0)",patch,4_UT_LJY_UU
机场,"(89, 0, 0)",patch,4_UT_LJY_UU
建设,"(91, 0, 0)",patch,4_UT_LJY_UU
向西,"(99, 0, 0)",patch,4_UT_LJY_UU
少年宫,"(99, 0, 0)",patch,4_UT_LJY_UU
市民中心,"(99, 0, 0)",patch,4_UT_LJY_UU
建设,"(99, 0, 0)",patch,4_UT_LJY_UU
南山体育中心,"(100, 0, 0)",patch,4_UT_LJY_UU
滨海之窗,"(100, 0, 0)",patch,4_UT_LJY_UU
建设,"(105, 0, 0)",patch,4_UT_LJY_UU
7号线,"(118, 0, 0)",patch,4_UT_LJY_UU
皇岗口岸,"(118, 0, 0)",patch,4_UT_LJY_UU
罗湖口岸,"(118, 0, 0)",patch,4_UT_LJY_UU
7号线,"(119, 0, 0)",patch,4_UT_LJY_UU
皇岗口岸,"(119, 0, 0)",patch,4_UT_LJY_UU
14号线,"(125, 0, 0)",patch,4_UT_LJY_UU
4号线,"(125, 0, 0)",patch,4_UT_LJY_UU
7号线,"(125, 0, 0)",patch,4_UT_LJY_UU
市民中心,"(132, 0, 0)",patch,4_UT_LJY_UU
大学城,"(133, 0, 0)",patch,4_UT_LJY_UU
建设,"(133, 0, 0)",patch,4_UT_LJY_UU
14号线,"(135, 0, 0)",patch,4_UT_LJY_UU
4号线,"(135, 0, 0)",patch,4_UT_LJY_UU
深惠交界,"(135, 0, 0)",patch,4_UT_LJY_UU
7号线,"(136, 0, 0)",patch,4_UT_LJY_UU
会展中心,"(140, 0, 0)",patch,4_UT_LJY_UU
机场,"(140, 0, 0)",patch,4_UT_LJY_UU
湿地公园,"(140, 0, 0)",patch,4_UT_LJY_UU
世界之窗,"(157, 0, 0)",patch,4_UT_LJY_UU
建设,"(166, 0, 0)",patch,4_UT_LJY_UU
14号线,"(169, 0, 0)",patch,4_UT_LJY_UU
4号线,"(169, 0, 0)",patch,4_UT_LJY_UU
坪山中心站,"(169, 0, 0)",patch,4_UT_LJY_UU
11号线,"(180, 0, 0)",patch,4_UT_LJY_UU
1号线,"(180, 0, 0)",patch,4_UT_LJY_UU
坪山中心站,"(180, 0, 0)",patch,4_UT_LJY_UU
机场,"(180, 0, 0)",patch,4_UT_LJY_UU
14号线,"(201, 0, 0)",patch,4_UT_LJY_UU
4号线,"(201, 0, 0)",patch,4_UT_LJY_UU
小学,"(225, 0, 0)",patch,4_UT_LJY_UU
建设,"(314, 0, 0)",patch,4_UT_LJY_UU
建设,"(320, 0, 0)",patch,4_UT_LJY_UU
14号线,"(336, 0, 0)",patch,4_UT_LJY_UU
4号线,"(336, 0, 0)",patch,4_UT_LJY_UU
粤港澳大湾区画展,"(339, 0, 0)",patch,4_UT_LJY_UU
13号线,"(341, 0, 0)",patch,4_UT_LJY_UU
3号线,"(341, 0, 0)",patch,4_UT_LJY_UU
新开,"(341, 0, 0)",patch,4_UT_LJY_UU
11号线,"(342, 0, 0)",patch,4_UT_LJY_UU
14号线,"(342, 0, 0)",patch,4_UT_LJY_UU
1号线,"(342, 0, 0)",patch,4_UT_LJY_UU
4号线,"(342, 0, 0)",patch,4_UT_LJY_UU
14号线,"(343, 0, 0)",patch,4_UT_LJY_UU
4号线,"(343, 0, 0)",patch,4_UT_LJY_UU
高峰,"(343, 0, 0)",patch,4_UT_LJY_UU
建设,"(353, 0, 0)",patch,4_UT_LJY_UU
新建,"(353, 0, 0)",patch,4_UT_LJY_UU
14号线,"(366, 0, 0)",patch,4_UT_LJY_UU
4号线,"(366, 0, 0)",patch,4_UT_LJY_UU
新开,"(366, 0, 0)",patch,4_UT_LJY_UU
16号线,"(370, 0, 0)",patch,4_UT_LJY_UU
大万,"(372, 0, 0)",patch,4_UT_LJY_UU
